,performanceId,ticker,name,securityType,exchangeCode,frankedRate,exDate,payDate,divCashAmount,__typename
0,0P00006XZ6,H2G,GreenHy2 Ltd,ST,ASX,100.0,1997-04-04,1997-04-30,0.188118,ScreenerSecurity
1,0P00006Y54,AVE,Avecho Biotechnology Ltd,ST,ASX,0.0,1997-05-19,1997-06-06,0.015377,ScreenerSecurity
2,0P00006XY4,EGY,Energy Technologies Ltd,ST,ASX,100.0,1999-09-01,1999-09-15,5.502393,ScreenerSecurity
3,0P00006WHN,FRM,Farm Pride Foods Ltd,ST,ASX,100.0,1999-09-17,1999-09-30,0.011383,ScreenerSecurity
4,0P00006WK1,DXB,Dimerix Ltd,ST,ASX,100.0,1999-09-24,1999-10-29,1.215138,ScreenerSecurity
5,0P00006Y5G,GRX,GreenX Metals Ltd,ST,ASX,100.0,2000-05-09,2000-05-22,0.297638,ScreenerSecurity
6,0P00006WY7,PRM,Prominence Energy Ltd,ST,ASX,0.0,2002-07-16,2002-08-21,129.687652,ScreenerSecurity
7,0P00006WGW,ECT,Environmental Clean Technologies Ltd,ST,ASX,0.0,2002-10-10,2002-10-31,0.1125,ScreenerSecurity
8,0P00006Y0F,1MC,Morella Corp Ltd,ST,ASX,0.0,2002-11-25,2002-12-13,0.13114,ScreenerSecurity
9,0P00006WX5,SIT,Site Group International Ltd,ST,ASX,100.0,2003-11-13,2003-12-08,0.00621,ScreenerSecurity
10,0P00006WZG,TVN,Tivan Ltd,ST,ASX,100.0,2004-02-02,2004-02-13,0.011247,ScreenerSecurity
11,0P00006WDR,OPT,Opthea Ltd,ST,ASX,0.0,2004-10-11,2004-10-29,0.10184,ScreenerSecurity
12,0P00006Y8I,TAT,Tartana Minerals Ltd,ST,ASX,100.0,2005-09-29,2005-10-21,12.31019,ScreenerSecurity
13,0P00006WJL,IVT,Inventis Ltd,ST,ASX,100.0,2006-09-25,2006-10-16,0.116926,ScreenerSecurity
14,0P00006XVA,BCM,Brazilian Critical Minerals Ltd,ST,ASX,100.0,2007-04-10,2007-04-30,0.008519,ScreenerSecurity
15,0P00006WKU,HGL,Hudson Investment Group Ltd,ST,ASX,0.0,2007-06-20,2007-07-09,0.05,ScreenerSecurity
16,0P00006Y50,PNN,Power Minerals Ltd,ST,ASX,100.0,2007-12-04,2007-12-17,3.736909,ScreenerSecurity
17,0P0000A0X7,FLC,Fluence Corp Ltd,ST,ASX,66.7,2008-09-25,2008-10-10,2.632653,ScreenerSecurity
18,0P00006WZQ,FGR,First Graphene Ltd,ST,ASX,100.0,2008-10-13,2008-10-27,0.085,ScreenerSecurity
19,0P00006WRL,DUB,Dubber Corp Ltd,ST,ASX,100.0,2008-11-27,2008-12-15,0.31036,ScreenerSecurity
20,0P00006W8Z,ASP,Aspermont Ltd,ST,ASX,0.0,2008-10-20,2009-01-30,0.000789,ScreenerSecurity
21,0P00006WRK,OLH,Oldfields Holdings Ltd,ST,ASX,100.0,2009-05-11,2009-06-16,0.008685,ScreenerSecurity
22,0P00006W6O,AJL,AJ Lucas Group Ltd,ST,ASX,100.0,2009-09-01,2009-09-28,0.03797,ScreenerSecurity
23,0P00006WLU,IDT,IDT Australia Ltd,ST,ASX,100.0,2010-04-12,2010-04-30,0.008388,ScreenerSecurity
24,0P00006WML,JLL,Jindalee Lithium Ltd,ST,ASX,100.0,2010-07-09,2010-07-23,0.517929,ScreenerSecurity
25,0P00006WGQ,ERA,Energy Resources of Australia Ltd,ST,ASX,100.0,2010-08-09,2010-08-27,0.002825,ScreenerSecurity
26,0P00006Y8W,TEG,Triangle Energy(Global) Ltd,ST,ASX,0.0,2010-09-10,2010-09-30,0.05678,ScreenerSecurity
27,0P0000PWGH,TSO,Tesoro Gold Ltd,ST,ASX,,2010-10-12,2010-11-01,0.140717,ScreenerSecurity
28,0P00009Y1X,ARC,ARC Funds Ltd,ST,ASX,100.0,2010-10-15,2010-11-04,0.09375,ScreenerSecurity
29,0P0000A1IN,IPT,Impact Minerals Ltd,ST,ASX,0.0,2011-02-09,2011-02-25,0.018852,ScreenerSecurity
30,0P00006WCR,IGN,Ignite Ltd,ST,ASX,100.0,2012-03-05,2012-03-26,0.008846,ScreenerSecurity
31,0P0000A0YD,KRM,Kingsrose Mining Ltd,ST,ASX,0.0,2012-06-13,2012-07-04,0.04,ScreenerSecurity
32,0P00006WYV,MPR,MPower Group Ltd,ST,ASX,0.0,2012-09-20,2012-10-04,0.008596,ScreenerSecurity
33,0P0000FWXA,RUL,RPMGlobal Holdings Ltd,ST,ASX,25.0,2012-09-10,2012-10-05,0.02,ScreenerSecurity
34,0P00006WB4,BTC,BTC Health Ltd,ST,ASX,0.0,2012-10-19,2012-11-12,0.01,ScreenerSecurity
35,0P00006WC4,HPP,Health and Plant Protein Group Ltd,ST,ASX,0.0,2013-05-13,2013-05-31,0.025705,ScreenerSecurity
36,0P00006Y7Y,TTI,Traffic Technologies Ltd,ST,ASX,100.0,2013-09-02,2013-09-20,0.001896,ScreenerSecurity
37,0P00006WI9,TOY,Toys R Us ANZ Ltd,ST,ASX,100.0,2013-11-14,2013-11-27,1.160714,ScreenerSecurity
38,0P00006XWM,CXM,Centrex Ltd,ST,ASX,100.0,2014-01-29,2014-02-21,0.044389,ScreenerSecurity
39,0P00006W91,ATR,Astron Corp Ltd,ST,ASX,0.0,2014-04-16,2014-05-28,0.747894,ScreenerSecurity
40,0P00006Y1C,A1M,AIC Mines Ltd,ST,ASX,0.0,2014-06-03,2014-06-16,5.485077,ScreenerSecurity
41,0P0000A1MS,BCI,BCI Minerals Ltd,ST,ASX,100.0,2014-09-01,2014-09-25,0.12138,ScreenerSecurity
42,0P00006WCT,CLE,Cyclone Metals Ltd,ST,ASX,100.0,2015-01-28,2015-02-27,0.4,ScreenerSecurity
43,0P0000A11V,TFL,TasFoods Ltd,ST,ASX,0.0,2015-02-19,2015-03-20,0.081925,ScreenerSecurity
44,0P0000SRUK,MCA,Murray Cod Australia Ltd,ST,ASX,0.0,2015-03-17,2015-03-23,0.006611,ScreenerSecurity
45,0P00006XXS,DGR,DGR Global Ltd,ST,ASX,100.0,2015-07-08,2015-07-31,0.002102,ScreenerSecurity
46,0P00006Y64,ERG,Eneco Refresh Ltd,ST,ASX,100.0,2015-09-04,2015-09-22,0.001,ScreenerSecurity
47,0P0000A1HL,VBC,Verbrec Ltd,ST,ASX,50.0,2015-09-09,2015-09-25,0.034067,ScreenerSecurity
48,0P00014MBM,SIO,Simonds Group Ltd,ST,ASX,100.0,2015-08-26,2015-09-25,0.051747,ScreenerSecurity
49,0P0000MQTR,MCE,Matrix Composites & Engineering Ltd,ST,ASX,100.0,2015-09-14,2015-09-30,0.009649,ScreenerSecurity
50,0P000111IY,ASV,Asset Vison Co Ltd,ST,ASX,100.0,2016-03-30,2016-04-13,0.024047,ScreenerSecurity
51,0P00006Y2B,SPA,Spacetalk Ltd,ST,ASX,0.0,2016-09-22,2016-10-26,0.001147,ScreenerSecurity
52,0P00016IS8,BFC,Beston Global Food Co Ltd,ST,ASX,0.0,2016-09-07,2016-10-31,0.00532,ScreenerSecurity
53,0P00006X27,GLH,Global Health Ltd,ST,ASX,0.0,2017-03-01,2017-03-09,0.0096,ScreenerSecurity
54,0P00006Y3G,FFM,FireFly Metals Ltd,ST,ASX,0.0,2017-05-19,2017-06-23,0.00396,ScreenerSecurity
55,0P00006Y76,ION,Iondrive Ltd,ST,ASX,0.0,2017-07-03,2017-08-30,0.021,ScreenerSecurity
56,0P0001630U,SLC,Superloop Ltd,ST,ASX,100.0,2017-09-01,2017-09-18,0.004751,ScreenerSecurity
57,0P00006WBH,MLX,Metals X Ltd,ST,ASX,0.0,2017-09-06,2017-09-19,0.009699,ScreenerSecurity
58,0P00006Y6B,RFG,Retail Food Group Ltd,ST,ASX,100.0,2017-09-11,2017-10-17,0.15,ScreenerSecurity
59,0P00006X0G,DNA,Donaco International Ltd,ST,ASX,0.0,2017-10-05,2017-10-20,0.005,ScreenerSecurity
60,0P000146BR,INP,IncentiaPay Ltd,ST,ASX,100.0,2017-12-14,2018-01-09,0.020755,ScreenerSecurity
61,0P00006XYN,ENR,Encounter Resources Ltd,ST,ASX,0.0,2017-12-28,2018-01-29,0.004,ScreenerSecurity
62,0P0000SGYJ,NML,Navarre Minerals Ltd,ST,ASX,0.0,2018-05-08,2018-06-10,0.001338,ScreenerSecurity
63,0P00006Y80,TKL,Traka Resources Ltd,ST,ASX,0.0,2018-05-29,2018-06-29,0.000213,ScreenerSecurity
64,0P0000A1HC,LTR,Liontown Resources Ltd,ST,ASX,0.0,2018-05-29,2018-06-30,0.000235,ScreenerSecurity
65,0P0000UD9Q,EAX,Energy Action Ltd,ST,ASX,100.0,2018-08-24,2018-09-27,0.04,ScreenerSecurity
66,0P00015HLX,EXP,Experience Co Ltd,ST,ASX,100.0,2018-09-14,2018-09-28,0.009808,ScreenerSecurity
