da,strategy_name,code,weight
2021-05-04,capex,AAPL,0.0
2021-05-05,capex,AAPL,0.0
2021-05-06,capex,AAPL,0.0
2021-05-07,capex,AAPL,0.0
2021-05-10,capex,AAPL,0.0
2021-05-11,capex,AAPL,0.0
2021-05-12,capex,AAPL,0.0
2021-05-13,capex,AAPL,0.0
2021-05-14,capex,AAPL,0.0
2021-05-17,capex,AAPL,0.0
2021-05-18,capex,AAPL,0.0
2021-05-19,capex,AAPL,0.0
2021-05-20,capex,AAPL,0.0
2021-05-21,capex,AAPL,0.0
2021-05-24,capex,AAPL,0.0
2021-05-25,capex,AAPL,0.0
2021-05-26,capex,AAPL,0.0
2021-05-27,capex,AAPL,0.0
2021-05-28,capex,AAPL,0.0
2021-06-01,capex,AAPL,0.0
2021-06-02,capex,AAPL,0.0
2021-06-03,capex,AAPL,0.0
2021-06-04,capex,AAPL,0.0
2021-06-07,capex,AAPL,0.0
2021-06-08,capex,AAPL,0.0
2021-06-09,capex,AAPL,0.0
2021-06-10,capex,AAPL,0.0
2021-06-11,capex,AAPL,0.0
2021-06-14,capex,AAPL,0.0
2021-06-15,capex,AAPL,0.0
2021-06-16,capex,AAPL,0.0
2021-06-17,capex,AAPL,0.0
2021-06-18,capex,AAPL,0.0
2021-06-21,capex,AAPL,0.0
2021-06-22,capex,AAPL,0.0
2021-06-23,capex,AAPL,0.0
2021-06-24,capex,AAPL,0.0
2021-06-25,capex,AAPL,0.0
2021-06-28,capex,AAPL,0.0
2021-06-29,capex,AAPL,0.0
2021-06-30,capex,AAPL,0.0
2021-07-01,capex,AAPL,0.0
2021-07-02,capex,AAPL,0.0
2021-07-06,capex,AAPL,0.0
2021-07-07,capex,AAPL,0.0
2021-07-08,capex,AAPL,0.0
2021-07-09,capex,AAPL,0.0
2021-07-12,capex,AAPL,0.0
2021-07-13,capex,AAPL,0.0
2021-07-14,capex,AAPL,0.0
2021-07-15,capex,AAPL,0.0
2021-07-16,capex,AAPL,0.0
2021-07-19,capex,AAPL,0.0
2021-07-20,capex,AAPL,0.0
2021-07-21,capex,AAPL,0.0
2021-07-22,capex,AAPL,0.0
2021-07-23,capex,AAPL,0.0
2021-07-26,capex,AAPL,0.0
2021-07-27,capex,AAPL,0.0
2021-07-28,capex,AAPL,0.0
2021-07-29,capex,AAPL,0.0
2021-07-30,capex,AAPL,0.0
2021-08-02,capex,AAPL,0.0
2021-08-03,capex,AAPL,0.0
2021-08-04,capex,AAPL,0.0
2021-08-05,capex,AAPL,0.0
2021-08-06,capex,AAPL,0.0
2021-08-09,capex,AAPL,0.0
2021-08-10,capex,AAPL,0.0
2021-08-11,capex,AAPL,0.0
2021-08-12,capex,AAPL,0.0
2021-08-13,capex,AAPL,0.0
2021-08-16,capex,AAPL,0.0
2021-08-17,capex,AAPL,0.0
2021-08-18,capex,AAPL,0.0
2021-08-19,capex,AAPL,0.0
2021-08-20,capex,AAPL,0.0
2021-08-23,capex,AAPL,0.0
2021-08-24,capex,AAPL,0.0
2021-08-25,capex,AAPL,0.0
2021-08-26,capex,AAPL,0.0
2021-08-27,capex,AAPL,0.0
2021-08-30,capex,AAPL,0.0
2021-08-31,capex,AAPL,0.0
2021-09-01,capex,AAPL,0.0
2021-09-02,capex,AAPL,0.0
2021-09-03,capex,AAPL,0.0
2021-09-07,capex,AAPL,0.0
2021-09-08,capex,AAPL,0.0
2021-09-09,capex,AAPL,0.0
2021-09-10,capex,AAPL,0.0
2021-09-13,capex,AAPL,0.0
2021-09-14,capex,AAPL,0.0
2021-09-15,capex,AAPL,0.0
2021-09-16,capex,AAPL,0.0
2021-09-17,capex,AAPL,0.0
2021-09-20,capex,AAPL,0.0
2021-09-21,capex,AAPL,0.0
2021-09-22,capex,AAPL,0.0
2021-09-23,capex,AAPL,0.0
2021-09-24,capex,AAPL,0.0
2021-09-27,capex,AAPL,0.0
2021-09-28,capex,AAPL,0.0
2021-09-29,capex,AAPL,0.0
2021-09-30,capex,AAPL,0.0
2021-10-01,capex,AAPL,0.0
2021-10-04,capex,AAPL,0.0
2021-10-05,capex,AAPL,0.0
2021-10-06,capex,AAPL,0.0
2021-10-07,capex,AAPL,0.0
2021-10-08,capex,AAPL,0.0
2021-10-11,capex,AAPL,0.0
2021-10-12,capex,AAPL,0.0
2021-10-13,capex,AAPL,0.0
2021-10-14,capex,AAPL,0.0
2021-10-15,capex,AAPL,0.0
2021-10-18,capex,AAPL,0.0
2021-10-19,capex,AAPL,0.0
2021-10-20,capex,AAPL,0.0
2021-10-21,capex,AAPL,0.0
2021-10-22,capex,AAPL,0.0
2021-10-25,capex,AAPL,0.0
2021-10-26,capex,AAPL,0.0
2021-10-27,capex,AAPL,0.0
