,0
0,AAPL
1,GOOGL
2,GOOG
3,JPM
4,WMT
5,MA
6,PG
7,COST
8,PEP
9,TMUS
10,MCD
11,ABT
12,GE
13,ISRG
14,RTX
15,GS
16,CMCSA
17,UNP
18,LMT
19,TJX
20,BLK
21,SYK
22,VRTX
23,SCHW
24,BSX
25,C
26,UPS
27,MMC
28,ADP
29,KLAC
30,VOO
31,IEFA
32,IJR
33,IEMG
34,ITOT
35,VYM
36,EFA
37,QUAL
38,VV
39,VNQ
40,DFAC
41,XLI
42,IUSG
43,IUSV
44,XLY
45,IYW
46,ACWI
47,EEM
48,SCHA
49,JEPQ
50,VGLT
51,IDEV
52,OEF
53,ESGU
54,VOOG
55,SPSM
56,HDV
57,IWY
58,SPEM
59,SCHE
60,FTCS
61,AMLP
62,VDE
63,MGV
64,PAVE
65,XLRE
66,VDC
67,AVUS
68,BBEU
69,BBCA
70,IJT
71,DBEF
72,FNDE
