,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,ASML,71.63760000000012,0.0912678351168249,16395.110402233342,32833.078329367425,1051547.1818115574,2.3416310641119766
1,PRX,47.88728000000023,0.2190087921786942,7852.744884986469,23711.398593444912,829752.9376641614,5.562928220512479
2,INGA,35.49646500000017,0.1659132215615016,4979.260195880484,11051.882476926268,217087.9863633001,2.601860674992841
3,ADYEN,88.23014999999997,0.1235223355461883,14854786.7913045,43965491.15200891,1162407513.2402637,2.3618850865296155
4,ASM,110.3072500000004,0.1005515562480833,27330817.304058813,64399188.34922335,1023049609.8110676,2.4950107479677235
5,EXO,36.32223999999994,0.3662239544956795,396.34953751032674,1638.4695092698116,39126.38893181491,2.1904109657716795
6,CVC,57.14837000000031,0.1275842066462206,157701.75784228567,320911.4150243461,7000348.715538474,2.594827667640514
7,ABN,81.86691200000018,0.4848318632076216,3561531.795495505,4588257.283996172,62471861.98997317,6.65162081208345
9,ASRNL,58.833389999999895,0.1245701038964877,140298.26863672605,305492.1824589461,5403971.885275686,2.797014128867356
10,INPST,72.58776000000036,0.40604439378665,349574.0625221522,1079915.3594160466,8644720.71672216,4.555414697133276
11,IMCD,46.79013000000016,0.2798325220960286,5539.321642622837,14314.716752403136,239233.79457394851,2.351527114171477
12,APAM,38.79741000000038,0.6181153215346581,5969.11886503192,15652.28305990842,211625.3007384325,2.511937516748832
13,ECMPA,25.122759999999992,0.9898452091266662,2704.696356757854,4284.671148283384,48887.27228227397,5.160244587887938
14,HEIJM,59.72488999999984,0.2366750994014133,8992.217817945495,25179.003393150742,784893.3580839917,4.017106996582811
15,PNL,26.14869899999982,0.4035126038621479,499.42830130133314,1174.6795847492026,20370.69955398688,5.248771498771422
