,symbol1,symbol2,balance
293,VTV,GBTC,2.060398081984038
59,VOO,GBTC,1.8270912637694299
102,IVV,GBTC,1.823919071269588
149,VTI,GBTC,1.7450806911224066
22,SPY,GBTC,1.7410164731422546
262,VEA,GBTC,1.6762803183063384
323,IEFA,GBTC,1.6615371823710994
412,IWF,GBTC,1.6100532792645839
450,IJH,GBTC,1.5510112642546416
194,QQQ,GBTC,1.495925642730458
221,VUG,SMH,1.4602340124022146
134,VTI,SMH,1.4353303183199537
230,VUG,GBTC,1.4267569336949824
45,VOO,SMH,1.4162109527856663
281,VTV,SMH,1.411568568712173
13,SPY,SMH,1.409242550538215
183,QQQ,SMH,1.4012294417000408
89,IVV,SMH,1.3970431459171628
403,IWF,SMH,1.375289877711484
373,BND,GBTC,1.3583260320974284
156,VTI,SOXX,1.3477670095519974
65,VOO,SOXX,1.3451094927726104
27,SPY,SOXX,1.3337341426256413
107,IVV,SOXX,1.3207555137523233
298,VTV,SOXX,1.319602554912561
235,VUG,SOXX,1.2908514158140247
201,QQQ,SOXX,1.2516256397241015
285,VTV,IYW,1.2456823168219957
333,AGG,IAU,1.2309552807379156
331,AGG,GLD,1.2274057483618233
357,BND,IAU,1.2270372370201321
349,BND,GLD,1.2233481836367566
341,AGG,SLV,1.2193985779224759
417,IWF,SOXX,1.2184596310950309
19,SPY,IYW,1.21375315272458
54,VOO,IYW,1.212266537299015
189,QQQ,IYW,1.211288730841149
360,BND,SMH,1.2111835409163492
97,IVV,IYW,1.2001170253263804
317,IEFA,SMH,1.1836678148217363
407,IWF,IYW,1.1770658434673014
251,VEA,SMH,1.1628995561022377
355,BND,XLE,1.1563613684056466
276,VTV,QQQM,1.1518502153704453
282,VTV,VONG,1.1502827545042016
332,AGG,XLE,1.1495798611313135
14,SPY,VONG,1.1477260514210321
380,BND,SOXX,1.1459982854346327
133,VTI,COWZ,1.140947113031588
47,VOO,VONG,1.139677016414747
91,IVV,VONG,1.1390135479233705
284,VTV,IUSG,1.1345460797768274
272,VTV,IVW,1.1327187363540965
456,IJH,IWN,1.127367998847674
9,SPY,QQQM,1.1266768879553233
468,VIG,IWM,1.1266480275144632
173,QQQ,QQQM,1.1265446572262123
64,VOO,OEF,1.124929025378381
26,SPY,OEF,1.123358074290785
432,IJH,QQQM,1.1213886172057097
83,IVV,QQQM,1.1200344833394549
36,VOO,QUAL,1.1191845524260111
436,IJH,COWZ,1.1170322636209769
106,IVV,OEF,1.1157894982025163
465,VIG,IJH,1.1145802732855556
466,VIG,IJR,1.1035928985592691
458,IJH,RDVY,1.1027446532490754
437,IJH,MDY,1.1025807909216685
461,IJH,SPSM,1.100524302263329
423,IJH,IJR,1.098076442366632
464,IJH,VTWO,1.097505512944678
430,IJH,VNQ,1.0970560013528785
478,VIG,IAU,1.0961373613606122
30,VOO,IVV,1.0960373323105863
327,IEFA,SOXX,1.0934296167221609
424,IJH,IWM,1.0933009528372328
467,VIG,GLD,1.0915119982201615
438,IJH,SDY,1.0908995979871494
0,SPY,VOO,1.0882968221753917
447,IJH,FNDX,1.0872210505550302
463,IJH,SPMD,1.0865582108277543
434,IJH,VBR,1.0859328499482406
5,SPY,SPLG,1.0855696374329917
61,VOO,DGRW,1.0841930102385935
455,IJH,GSLC,1.083863238681313
473,VIG,XLF,1.083318203731213
446,IJH,VHT,1.0826680253087053
72,IVV,VOO,1.0813295213531215
152,VTI,DGRW,1.0810392360904717
256,VEA,IYW,1.078891583326208
79,IVV,SPLG,1.078553318568964
429,IJH,XLF,1.0778046814765851
24,SPY,DGRW,1.0774598698169033
422,IJH,VTV,1.0772476818036414
444,IJH,VOE,1.0770095275883542
264,VEA,SOXX,1.075663062603815
53,VOO,IUSV,1.0753902819613115
474,VIG,VNQ,1.0744786785088398
31,VOO,IJH,1.0742409239239732
257,VEA,XLU,1.0742044231037684
427,IJH,VB,1.0741885310926402
459,IJH,IWO,1.0732482915584316
113,VTI,IJH,1.072941558732502
454,IJH,IWS,1.0721245231922651
147,VTI,FNDX,1.071720048879892
67,VOO,GSLC,1.0715047371976956
184,QQQ,USMV,1.0710480437193912
431,IJH,IVE,1.0709689722937499
116,VTI,ITOT,1.0707224067779773
32,VOO,VIG,1.0692461379456528
104,IVV,DGRW,1.0692134065136634
441,IJH,DVY,1.068826583507227
120,VTI,XLF,1.0682257698337607
143,VTI,IUSV,1.0681563292285117
253,VEA,VONG,1.0680723635863099
443,IJH,SCHA,1.0680245966358475
34,VOO,SCHD,1.0670601818677916
37,VOO,XLF,1.066076938028011
252,VEA,USMV,1.0656975500175558
1,SPY,IJH,1.0656455873115367
18,SPY,IUSV,1.065431652222316
160,VTI,RDVY,1.065210044386206
2,SPY,VIG,1.0648300928561933
470,VIG,VB,1.0648163190178153
74,IVV,IJH,1.0631585607628513
425,IJH,RSP,1.0628689239339588
337,AGG,XLU,1.0628261097411476
442,IJH,IUSV,1.0626841707189778
46,VOO,MDY,1.062548255710688
227,VUG,VHT,1.062431622834708
268,VTV,IJR,1.0622534682522846
428,IJH,VYM,1.0618125257628297
135,VTI,MDY,1.05873871517295
462,IJH,SCHV,1.0581976690219452
136,VTI,SDY,1.057699148755696
75,IVV,VIG,1.057489950412328
48,VOO,SDY,1.0553517417913134
96,IVV,IUSV,1.0548795958547277
115,VTI,SCHD,1.054577607820888
215,VUG,IAU,1.0543330400093862
267,VTV,IJH,1.0527316777597748
379,BND,AVUV,1.0526051235395764
43,VOO,DGRO,1.0522071237455661
90,IVV,MDY,1.0518653108472018
92,IVV,SDY,1.0514393967301208
471,VIG,VYM,1.0501946663789614
209,VUG,GLD,1.0500188431810953
366,BND,XLU,1.0483922959334357
261,VEA,XLP,1.0481655654325222
472,VIG,IWD,1.04811282590803
118,VTI,VYM,1.0476726154336313
158,VTI,IWN,1.0474156468022708
270,VTV,IWM,1.0471999522227133
35,VOO,VYM,1.047116504550854
300,VTV,IWO,1.04693801774249
42,VOO,VBR,1.0459043303201419
6,SPY,XLF,1.0454661246911936
3,SPY,SCHD,1.0453301574802045
299,VTV,IWN,1.045184270870051
302,VTV,SPSM,1.0447500099515357
303,VTV,VTWO,1.044106280410626
245,VEA,SPLG,1.0431908492222481
449,IJH,IWP,1.0430397365429764
68,VOO,IWN,1.0422236582950362
130,VTI,VBR,1.041728129216596
77,IVV,SCHD,1.0412598436374843
176,QQQ,IAU,1.041019466403136
273,VTV,XLF,1.0405346541074971
440,IJH,VXF,1.0403668060729532
278,VTV,IAU,1.0397286935714993
