,symbol1,symbol2,balance
9111,XLP,GBTC,2.193574759906925
4622,QQQM,GBTC,2.0964551691384137
5500,SPYG,GBTC,2.0487409770530496
2871,IVW,GBTC,2.0413448870721567
1955,XLK,GBTC,2.0141607418927254
11259,ESGU,GBTC,2.0055762755489788
654,QQQ,GBTC,1.9840317656866835
1311,VIG,GBTC,1.9698170717543606
5154,SCHG,GBTC,1.9490798084575072
6368,VONG,GBTC,1.8848413243019506
12068,IWY,GBTC,1.8769996719063022
9225,EMXC,GBTC,1.8666508863944078
11376,VOOG,GBTC,1.846681103875999
3119,QUAL,GBTC,1.8261405804572763
6175,MGK,GBTC,1.8180565695589601
376,IVV,GBTC,1.8068278714078072
3311,SPLG,GBTC,1.8015866783658254
7309,IUSG,GBTC,1.7996332345309674
517,VTI,GBTC,1.7813896340047235
2999,SCHX,GBTC,1.7786842396572111
777,VUG,GBTC,1.7737437878963818
100,SPY,GBTC,1.7683962938985642
11552,GSLC,GBTC,1.759321925939882
236,VOO,GBTC,1.751311873311477
1129,IWF,GBTC,1.7472916702086878
4098,IWB,GBTC,1.72375999223165
3908,VV,GBTC,1.7061112432867658
11943,FTEC,GBTC,1.6960925107619358
7724,ACWI,GBTC,1.6921455674596426
1729,VGT,GBTC,1.6697591201812862
2370,ITOT,GBTC,1.660658623822623
10961,SOXX,GBTC,1.653665093056291
7273,IUSG,SMH,1.6340544673481192
9460,IWP,GBTC,1.6334717504079872
10868,OEF,GBTC,1.6290565987051668
5284,SCHB,GBTC,1.6262691462898031
9926,DGRW,GBTC,1.619957592503998
7911,XLC,GBTC,1.6193079744965213
10188,EFG,GBTC,1.6163852759641053
8020,IYW,GBTC,1.6059394767151727
9797,IWV,GBTC,1.5902215571258915
9334,SLV,GBTC,1.5873033966254486
6037,SMH,GBTC,1.546250093940351
3553,VT,GBTC,1.5336311454186344
7326,IUSG,SOXX,1.5239865492536588
12589,BBJP,GBTC,1.5235817370173237
8110,XLU,GBTC,1.500915067811897
11644,NOBL,GBTC,1.4897838138542625
2613,VYM,GBTC,1.4832609924921638
6717,USHY,SMH,1.4603563931980885
4585,QQQM,SMH,1.458414246499981
4379,DIA,GBTC,1.4570823187592465
10310,VOT,GBTC,1.446801550390611
6762,USHY,SOXX,1.4436002717583392
1923,XLK,SMH,1.4434121808460574
11344,VOOG,SMH,1.4428952967334412
9304,SLV,SMH,1.442769911116081
619,QQQ,SMH,1.4414845565414187
10736,AVUV,GBTC,1.4338989308066703
742,VUG,SMH,1.4282096207154045
6749,USHY,GBTC,1.4248494511185366
6144,MGK,SMH,1.4181532249327418
1699,VGT,SMH,1.417910441566461
6544,SDY,GBTC,1.417137379992589
12030,IWY,SMH,1.4168152440042348
11223,ESGU,SMH,1.416359256155042
5119,SCHG,SMH,1.4142927826900327
9891,DGRW,SMH,1.4097251969362512
5466,SPYG,SMH,1.4073359338193885
10609,EWJ,GBTC,1.4041091615974521
7160,XLY,GBTC,1.4038019258314218
3872,VV,SMH,1.4020289682762577
3273,SPLG,SMH,1.4020173096883626
7293,IUSG,IYW,1.401082902793424
12706,SCHV,GBTC,1.3980781479231263
9347,SLV,SOXX,1.3975179961611843
6331,VONG,SMH,1.3967719723532235
61,SPY,SMH,1.3952484786532675
11273,ESGU,SOXX,1.3939491826477417
337,IVV,SMH,1.3937044310937552
6832,XLI,GBTC,1.3936874812440947
11517,GSLC,SMH,1.3892294091896003
3922,VV,SOXX,1.3885904029857965
2962,SCHX,SMH,1.3883533695865093
3520,VT,SMH,1.3882775299599475
480,VTI,SMH,1.3864300914123566
198,VOO,SMH,1.3858674672030082
7989,IYW,SMH,1.381935218667464
116,SPY,SOXX,1.3812259019630932
5249,SCHB,SMH,1.3810152026446925
1283,VIG,SMH,1.3808378408183253
2050,IWM,SMH,1.3794089281306794
7878,XLC,SMH,1.3790805598683227
10832,OEF,SMH,1.3773801352122066
