,Symbol
0,3984
1,6232
2,2792
3,6995
4,6504
5,4755
6,7467
7,2782
8,6701
9,3104
10,9719
11,7272
12,9790
13,7247
14,7915
15,4323
16,4523
17,4704
18,3447
19,9704
20,3673
21,8515
22,6088
23,7721
24,3772
25,4248
26,4350
27,3681
28,3665
29,6645
30,7840
31,2802
32,7940
33,3903
34,2153
35,3371
36,1815
37,4820
38,3176
39,6724
40,6941
41,5986
42,4331
43,4651
44,7095
45,6501
46,3901
47,2354
48,6629
49,8473
50,5408
51,6798
52,4448
53,3561
54,8541
55,7060
56,2587
57,4548
58,2429
59,3686
60,9702
61,6915
62,9717
63,8343
64,1861
65,2198
66,4577
67,6254
68,2427
69,4433
70,8163
71,9788
72,2763
73,8194
74,8086
75,3902
76,8035
77,7734
78,8628
79,3825
80,9534
81,3415
82,8137
83,7004
84,5602
85,3107
86,2060
87,7419
88,9861
89,9143
90,7554
91,4221
92,4478
93,4680
94,8338
95,4483
96,1833
97,5741
98,5821
99,1871
100,6561
101,4475
102,8358
103,7458
104,5020
105,7532
106,8750
107,3836
108,1873
109,6387
110,2154
111,8377
112,4435
113,7816
114,3193
115,9505
116,8020
117,8158
118,1716
119,4641
120,1925
121,4078
122,2001
123,1719
124,5202
125,7203
126,8550
127,3109
128,8285
129,6517
130,8705
131,8306
132,5208
133,7148
134,6622
135,7701
136,6718
137,8267
138,3393
139,7270
140,7990
141,6080
142,3030
143,6666
144,9946
145,8360
146,4970
147,3277
148,7832
149,5809
150,3762
151,8622
152,3196
153,8739
154,6908
155,9827
156,6779
157,6309
158,1822
159,8059
160,5445
161,4880
162,6480
163,4997
164,3558
165,2475
166,6289
167,3612
168,9900
169,9889
170,4308
171,9479
172,5563
173,4008
174,2908
175,3021
176,6464
177,8217
178,6266
179,6363
180,9066
181,6339
182,9307
183,3655
184,1921
185,2698
186,3940
187,6676
188,6200
189,3341
190,9058
191,8160
192,9936
193,3900
194,8803
195,1979
196,9532
197,9502
198,4022
199,2681
200,8919
201,4819
202,4369
203,6981
204,5269
205,9869
206,2488
207,2659
208,8139
209,1333
210,3788
211,7550
212,4503
213,6298
214,6135
215,6273
216,7971
217,7817
218,6707
219,2742
220,9672
221,5932
222,2579
223,9064
224,6554
225,4911
226,8387
227,6736
228,3969
229,7241
230,3167
231,8002
232,8944
233,7962
234,7638
235,4967
236,9401
237,3636
238,4442
239,6727
240,6420
241,8558
242,8233
243,9024
244,6459
245,6699
246,3046
247,7943
248,2788
249,7994
250,7282
251,9001
252,6059
253,2702
254,5192
255,8562
256,1721
257,3231
258,2801
259,6140
260,5410
261,8848
262,7196
263,6928
264,9519
265,2124
