,da,strategy_name,code,weight,time
0,2021-05-07,combine,9022,0.04761949006165855,2021-05-07
1,2021-05-07,combine,4689,0.2701794815291601,2021-05-07
2,2021-05-07,combine,8058,0.18220102840918134,2021-05-07
2234,2021-05-07,combine,8058,0.18220102840918134,2021-05-07
2233,2021-05-07,combine,4689,0.2701794815291601,2021-05-07
2232,2021-05-07,combine,9022,0.04761949006165855,2021-05-07
3,2021-05-10,combine,9022,0.04761949006165855,2021-05-10
4,2021-05-10,combine,4689,0.2701794815291601,2021-05-10
5,2021-05-10,combine,8058,0.18220102840918134,2021-05-10
2237,2021-05-10,combine,8058,0.18220102840918134,2021-05-10
2236,2021-05-10,combine,4689,0.2701794815291601,2021-05-10
2235,2021-05-10,combine,9022,0.04761949006165855,2021-05-10
2240,2021-05-11,combine,8058,0.18220102840918134,2021-05-11
2239,2021-05-11,combine,4689,0.2701794815291601,2021-05-11
2238,2021-05-11,combine,9022,0.04761949006165855,2021-05-11
8,2021-05-11,combine,8058,0.18220102840918134,2021-05-11
7,2021-05-11,combine,4689,0.2701794815291601,2021-05-11
6,2021-05-11,combine,9022,0.04761949006165855,2021-05-11
2243,2021-05-12,combine,8058,0.18220102840918134,2021-05-12
2242,2021-05-12,combine,4689,0.2701794815291601,2021-05-12
9,2021-05-12,combine,9022,0.04761949006165855,2021-05-12
10,2021-05-12,combine,4689,0.2701794815291601,2021-05-12
11,2021-05-12,combine,8058,0.18220102840918134,2021-05-12
2241,2021-05-12,combine,9022,0.04761949006165855,2021-05-12
2246,2021-05-13,combine,8058,0.18220102840918134,2021-05-13
14,2021-05-13,combine,8058,0.18220102840918134,2021-05-13
2245,2021-05-13,combine,4689,0.2701794815291601,2021-05-13
12,2021-05-13,combine,9022,0.04761949006165855,2021-05-13
13,2021-05-13,combine,4689,0.2701794815291601,2021-05-13
2244,2021-05-13,combine,9022,0.04761949006165855,2021-05-13
15,2021-05-14,combine,9022,0.04761949006165855,2021-05-14
16,2021-05-14,combine,4689,0.2701794815291601,2021-05-14
2247,2021-05-14,combine,9022,0.04761949006165855,2021-05-14
2248,2021-05-14,combine,4689,0.2701794815291601,2021-05-14
2249,2021-05-14,combine,8058,0.18220102840918134,2021-05-14
17,2021-05-14,combine,8058,0.18220102840918134,2021-05-14
20,2021-05-17,combine,8058,0.18220102840918134,2021-05-17
18,2021-05-17,combine,9022,0.04761949006165855,2021-05-17
19,2021-05-17,combine,4689,0.2701794815291601,2021-05-17
2252,2021-05-17,combine,8058,0.18220102840918134,2021-05-17
2251,2021-05-17,combine,4689,0.2701794815291601,2021-05-17
2250,2021-05-17,combine,9022,0.04761949006165855,2021-05-17
2254,2021-05-18,combine,4689,0.2701794815291601,2021-05-18
2255,2021-05-18,combine,8058,0.18220102840918134,2021-05-18
23,2021-05-18,combine,8058,0.18220102840918134,2021-05-18
22,2021-05-18,combine,4689,0.2701794815291601,2021-05-18
21,2021-05-18,combine,9022,0.04761949006165855,2021-05-18
2253,2021-05-18,combine,9022,0.04761949006165855,2021-05-18
2257,2021-05-19,combine,4689,0.2701794815291601,2021-05-19
2258,2021-05-19,combine,8058,0.18220102840918134,2021-05-19
26,2021-05-19,combine,8058,0.18220102840918134,2021-05-19
25,2021-05-19,combine,4689,0.2701794815291601,2021-05-19
24,2021-05-19,combine,9022,0.04761949006165855,2021-05-19
2256,2021-05-19,combine,9022,0.04761949006165855,2021-05-19
2261,2021-05-20,combine,8058,0.18220102840918134,2021-05-20
27,2021-05-20,combine,9022,0.04761949006165855,2021-05-20
2260,2021-05-20,combine,4689,0.2701794815291601,2021-05-20
2259,2021-05-20,combine,9022,0.04761949006165855,2021-05-20
29,2021-05-20,combine,8058,0.18220102840918134,2021-05-20
28,2021-05-20,combine,4689,0.2701794815291601,2021-05-20
2264,2021-05-21,combine,8058,0.18220102840918134,2021-05-21
2263,2021-05-21,combine,4689,0.2701794815291601,2021-05-21
2262,2021-05-21,combine,9022,0.04761949006165855,2021-05-21
30,2021-05-21,combine,9022,0.04761949006165855,2021-05-21
31,2021-05-21,combine,4689,0.2701794815291601,2021-05-21
32,2021-05-21,combine,8058,0.18220102840918134,2021-05-21
33,2021-05-24,combine,9022,0.04761949006165855,2021-05-24
34,2021-05-24,combine,4689,0.2701794815291601,2021-05-24
35,2021-05-24,combine,8058,0.18220102840918134,2021-05-24
2265,2021-05-24,combine,9022,0.04761949006165855,2021-05-24
2266,2021-05-24,combine,4689,0.2701794815291601,2021-05-24
2267,2021-05-24,combine,8058,0.18220102840918134,2021-05-24
