da,strategy_name,code,weight
2022-07-01,cot,QQQ,1.0
2022-07-05,cot,QQQ,0.5
2022-07-05,cot,GLD,0.4425
2022-07-05,cot,SHY,0.0575
2022-07-06,cot,QQQ,0.5
2022-07-06,cot,GLD,0.4425
2022-07-06,cot,SHY,0.0575
2022-07-07,cot,QQQ,0.5
2022-07-07,cot,GLD,0.4425
2022-07-07,cot,SHY,0.0575
2022-07-08,cot,QQQ,0.5
2022-07-08,cot,GLD,0.4425
2022-07-08,cot,SHY,0.0575
2022-07-11,cot,QQQ,1.0
2022-07-12,cot,QQQ,1.0
2022-07-13,cot,QQQ,1.0
2022-07-14,cot,QQQ,1.0
2022-07-15,cot,QQQ,1.0
2022-07-18,cot,QQQ,0.5
2022-07-18,cot,GLD,0.4425
2022-07-18,cot,SHY,0.0575
2022-07-19,cot,QQQ,0.5
2022-07-19,cot,GLD,0.4425
2022-07-19,cot,SHY,0.0575
2022-07-20,cot,QQQ,0.5
2022-07-20,cot,GLD,0.4425
2022-07-20,cot,SHY,0.0575
2022-07-21,cot,QQQ,0.5
2022-07-21,cot,GLD,0.4425
2022-07-21,cot,SHY,0.0575
2022-07-22,cot,QQQ,0.5
2022-07-22,cot,GLD,0.4425
2022-07-22,cot,SHY,0.0575
2022-07-25,cot,QQQ,1.0
2022-07-26,cot,QQQ,1.0
2022-07-27,cot,QQQ,1.0
2022-07-28,cot,QQQ,1.0
2022-07-29,cot,QQQ,1.0
2022-08-01,cot,QQQ,1.0
2022-08-02,cot,QQQ,1.0
2022-08-03,cot,QQQ,1.0
2022-08-04,cot,QQQ,1.0
2022-08-05,cot,QQQ,1.0
2022-08-08,cot,QQQ,1.0
2022-08-09,cot,QQQ,1.0
2022-08-10,cot,QQQ,1.0
2022-08-11,cot,QQQ,1.0
2022-08-12,cot,QQQ,1.0
2022-08-15,cot,QQQ,0.5
2022-08-15,cot,GLD,0.4425
2022-08-15,cot,SHY,0.0575
2022-08-16,cot,QQQ,0.5
2022-08-16,cot,GLD,0.4425
2022-08-16,cot,SHY,0.0575
2022-08-17,cot,QQQ,0.5
