,Symbol,Performance
0,SPY,1.1745227968441014
1,QQQ,1.0318273515481349
2,MU,1.0076109546036944
3,AAPL,1.4697693347455207
4,NIO,1.0102498913904834
5,SPXL,1.2206141357123992
6,TSLA,2.850107481009448
7,UPRO,1.2177108299859207
8,F,1.9832996464144843
9,LCID,1.3629268553198837
10,TNA,1.1496797257141853
11,IWM,1.2166398310718451
12,AMD,1.101147021241247
13,NVDA,1.1488686165906672
14,SSO,1.229174318630481
15,AMLX,1.3404761723109655
16,AZN,1.0706236358953556
17,AAL,1.094545451077548
18,UNG,2.205660218808868
19,XLF,1.3977465063056544
20,AMC,1.5876993171235487
21,MARA,11.641304178110596
22,RIOT,3.047826249658051
23,TBT,2.1108161984148883
24,LI,1.485474536402839
25,BAC,1.397168839091583
26,BOIL,1.7886666615804037
27,MSFT,1.1121545356749103
28,SLV,1.000571768382659
29,UCO,3.5691471228783582
30,USO,2.2921348254407627
31,CHPT,1.465594288900911
32,XLE,2.340424443926364
33,OXY,3.861602456462823
34,GOOGL,1.2641665746551332
35,PLUG,2.374011222968184
36,RIG,1.3138298057846054
37,GOOG,1.276765236120419
38,PRTY,1.224806271037206
39,EQNR,2.421145295474161
40,NOK,1.0432763738087232
41,IVV,1.175839612673543
42,FCEL,1.125412580207591
43,SPLG,1.1771147119007968
44,PBR,2.596373725465412
45,TELL,2.390000104904175
46,STM,1.079196194180683
47,SWN,2.35384619616898
48,RIO,1.2059132538380175
49,FRO,1.6197565205103417
50,VALE,1.6279785582177928
51,M,2.481584019293721
52,BP,1.4522936060627991
53,STLA,1.5230489390638218
54,UAL,1.1072157831351035
55,SBSW,1.1496949046849978
56,GTE,3.558823604175376
57,OCGN,8.054298482663983
58,DMAQ,1.006999969482422
59,EWZ,1.1276732058033438
60,GSQD,1.006592346482852
61,PCG,1.4705882352941178
62,SHEL,1.6931006091086749
63,HUDI,2.7158711089612573
64,NOV,1.5159062089699455
65,VOO,1.1764313040159189
66,SIRI,1.0760421966026654
67,VTRU,1.2904614962064302
68,ZOM,1.233918074637562
69,MRO,4.464121279378483
70,DIA,1.1640785689250404
71,BCS,1.1585702351601652
72,DVN,7.256578059524851
73,DAL,1.109090921427336
74,FREY,1.4340382007537196
75,ZIM,3.2227545771640744
76,TSM,1.1078154828926232
77,XOM,2.427607759666141
78,HUT,2.084309167487801
79,XLRE,1.1071098062682951
80,CHNG,2.743512825872022
81,UUP,1.1556151568492676
82,HL,1.0405200422972465
83,UDOW,1.2525511239516007
84,GM,1.3657438409132543
85,EURN,1.9239975145482688
86,JDST,1.005641743440362
87,INDO,1.5911330367468806
88,GOGL,2.7543728238789584
89,BIL,1.0044375742900282
90,FUTU,1.1834338509889188
91,FCX,2.17009136083952
92,ET,2.132724634125203
93,CLM,1.1887331967184864
94,VTNR,10.29752036803946
95,DKS,2.9173345367382773
96,EMR,1.2931962648550113
97,XLK,1.1224036807310995
98,ROSE,1.025252526225563
99,ABEV,1.103836128924922
