,Symbol
0,PBR.A
1,BRK.B
2,TNP/PF
3,LGF.A
4,FBRT/PE
5,CMRE/PB
6,PBI/PB
7,COF/PL
8,AIG/PA
9,EBR.B
10,AXH.U
11,PCG/PB
12,USB/PQ
13,CRU.U
14,SB/PC
15,AHH/PA
16,AUS.U
17,WFC/PZ
18,GRBK/PA
19,GDL/PC
20,SUAC.U
21,FZT.U
22,CIM/PB
23,CCVI.U
24,MOG.A
25,PSA/PN
26,ATAQ.U
27,GFOR.U
28,KREF/PA
29,SHAP.U
30,FTEV.U
31,DMYS.U
32,NCZ/PA
33,MER/PK
34,CODI/PA
35,PNC/PP
36,TGR.U
37,PRBM.U
38,ET/PE
39,FHN/PC
40,PEB/PE
41,TCOA.U
42,GAPA.U
43,WNNR.U
44,NLY/PF
45,PV.U
46,NILE/PD
47,IRRX.U
48,MH/PD
49,DBRG/PI
50,GEF.B
51,TNP/PE
52,TRTX/PC
53,TWO/PA
54,FRC/PL
55,HMA.U
56,CODI/PB
57,BHR/PD
58,STET.U
59,DMYY.U
60,PEI/PC
61,APGB.U
62,CRHC.U
63,NSTC.U
64,NFYS.U
65,ACP/PA
66,MFA/PC
67,ARR/PC
68,TFC/PR
69,CXAC.U
70,EQH/PC
71,CLDT/PA
72,BSAQ.U
73,TRTL.U
74,GSQB.U
75,BW/PA
76,BC/PA
77,GDV/PH
78,SRC/PA
79,DLR/PK
80,CFR/PB
81,DLR/PL
82,PSA/PO
83,ET/PD
84,ABR/PF
85,DHR/PB
86,EFC/PB
87,NM/PG
88,JPM/PL
89,RMPL/P
90,T/PA
91,PSA/PH
92,RC/PC
93,EPWR.U
94,JPM/PD
95,ADC/PA
96,WEL.U
97,CODI/PC
98,ARGO/PA
99,SYF/PA
100,IPVF.U
101,FRT/PC
102,FRC/PI
103,SCE/PK
104,JPM/PC
105,AKO.A
106,AGM/PC
107,KCGI.U
108,PSA/PR
109,DX/PC
110,CVII.U
111,MS/PK
112,CMS/PB
113,ECF/PA
114,XFLT/PA
115,RJF/PB
116,CSR/PC
117,BAC/PM
118,SEDA.U
119,GOGN.U
120,PMT/PC
121,EFC/PA
122,ASB/PE
123,GNE/PA
124,AKO.B
125,VHAQ.U
126,FSNB.U
127,OPA.U
128,TRTN/PD
129,LOCC.U
130,STRE.U
131,GUT/PC
132,GLOP/PC
133,STAR/PI
134,TAP.A
135,WRB/PH
136,SF/PD
137,RITM/PC
138,MOG.B
139,RJF/PA
140,CHAA.U
141,MH/PA
142,GS/PK
143,CMRE/PC
144,ADRT.U
145,BRK.A
146,PSA/PK
147,PHGE.U
148,NFNT.U
149,BOAC.U
150,PSA/PF
151,BCV/PA
152,ECC/PD
153,COF/PI
154,CLAS.U
155,CNO/PA
156,GSL/PB
157,BAC/PB
158,ACR/PC
159,HPP/PC
160,BMAC.U
161,NI/PB
162,PRN
163,SNV/PD
164,ATH/PD
165,PMVC.U
166,ET/PC
167,MET/PF
168,CRD.B
169,SHO/PH
170,WFC/PC
171,PRIF/PG
172,PCG/PE
173,HFRO/PA
174,MS/PO
175,OAK/PB
176,SACH/PA
177,HEI.A
178,BHR/PB
179,GLU/PA
180,TRTN/PC
181,CEQP/P
182,HZON.U
183,NS/PB
184,SPNT/PB
185,AHT/PH
186,SPG/PJ
187,DUK/PA
188,JPM/PJ
189,DS/PC
190,INAQ.U
191,KEY/PI
192,VNO/PN
193,BAC/PK
194,AHL/PE
195,MET/PA
196,BAC/PP
197,AAM/PA
198,MS/PF
199,LHC.U
200,C/PN
201,LXP/PC
202,NYCB/PA
203,BML/PL
204,BRD.U
205,HTAQ.U
206,OPP/PA
207,IVR/PB
208,BAC/PO
209,CORR/PA
210,GGN/PB
211,AEL/PB
212,ATCO/PI
213,BML/PJ
214,FRC/PH
215,TDS/PU
216,RNR/PF
217,HIG/PG
218,PEI/PD
219,BML/PH
220,C/PK
221,BFS/PD
222,CCV.U
223,XPER/I
224,MKC.V
225,SEAL/PA
226,AAIC/PC
227,WQGA.U
228,AGM/PF
229,HT/PD
230,RITM/PD
231,DLNG/PA
232,KEY/PK
233,FRXB.U
234,AGM/PG
235,GSQD.U
236,GL/PD
237,KIM/PM
238,PGSS.U
239,WBS/PF
240,ALL/PG
241,KEY/PL
242,CPUH.U
243,RF/PB
244,FVIV.U
245,PRIF/PI
246,GAB/PG
247,ATH/PB
248,DTLA/P
249,AGAC.U
250,PMT/PB
251,POND.U
252,GTN.A
253,GNT/PA
254,GLOP/PB
255,PRIF/PJ
256,NEE/PP
257,AHT/PD
258,CMRE/PD
259,UMH/PD
260,CMS/PC
261,GLP/PA
262,PMT/PA
263,CDR/PB
264,DS/PD
265,IIPR/PA
266,JPM/PM
267,ASZ.U
268,GRP.U
269,BC/PC
270,MAA/PI
271,PEB/PH
272,NXDT/PA
273,MET/PE
274,NMK/PC
275,GS/PD
276,PCG/PH
277,HT/PC
278,PSA/PL
279,GMRE/PA
280,BSX/PA
281,GAB/PK
282,BIO.B
283,RITM/PB
284,FNB/PE
285,TFC/PO
286,BRG/PD
287,EPR/PE
288,CIO/PA
289,RJAC.U
290,WCC/PA
291,CIM/PD
292,PRIF/PD
293,NSTB.U
294,MTVC.U
295,BFS/PE
296,USB/PH
297,WFC/PA
298,CLVT/PA
299,WRB/PG
300,GNL/PB
301,VNO/PL
302,SLG/PI
303,MS/PE
304,EGGF.U
305,DBRG/PH
306,SF/PB
307,GLTA.U
308,PSB/PX
309,PSA/PP
310,KNSW.U
311,RPT/PD
312,REXR/PC
313,BACA.U
314,WAL/PA
315,PSA/PJ
316,NEE/PQ
317,SPGS.U
318,GS/PJ
319,WRB/PF
320,BLUA.U
321,TRTN/PB
322,PORT.U
323,NEE/PN
324,WRB/PE
325,SCE/PH
326,CNDB.U
327,LEN.B
328,USB/PP
329,BOH/PA
330,HL/PB
331,VNO/PM
332,OAK/PA
333,AAQC.U
334,IPOF.U
335,PACI.U
336,FRC/PK
337,SLAC.U
338,EQHA.U
339,CUBI/PF
340,DRH/PA
341,PSA/PS
342,NMK/PB
343,PRPC.U
344,TWNI.U
345,F/PC
346,PRIF/PK
347,REXR/PB
348,BC/PB
349,ABR/PE
350,BRG/PC
351,HMLP/PA
352,PSA/PM
353,APTV/PA
354,ACR/PD
355,MITT/PA
356,CIG.C
357,SCHW/PJ
358,ACAQ.U
359,FHN/PF
360,NLY/PI
361,MITT/PB
362,F/PB
363,MFA/PB
364,BH.A
