,Symbol
0,AVCT
1,TQQQ
2,SOXL
3,SQQQ
4,AIMD
5,LABU
6,CCL
7,ARVL
8,FXLV
9,LITM
10,UVXY
11,EDSA
12,SPXU
13,PBTS
14,SPXS
15,MULN
16,FFIE
17,NKE
18,XPEV
19,SAI
20,IONQ
21,SPRC
22,SNTI
23,KOLD
24,FNGU
25,COMS
26,SH
27,RDHL
28,RMED
29,SOBR
30,BULZ
31,SOFI
32,TLT
33,TTOO
34,ZVO
35,QID
36,SOXS
37,ATER
38,PSQ
39,SJ
40,TZA
41,GDX
42,SDS
43,AMPE
44,CEI
45,TMF
46,PLTR
47,FXI
48,AMZN
49,MF
50,UVIX
51,BILI
52,QLD
53,NCLH
54,BEKE
55,CUK
56,LABD
57,SHOP
58,WINT
59,WISH
60,LGHL
61,PSHG
62,INTC
63,APE
64,RCL
65,BBAI
66,JVA
67,GDXU
68,UAA
69,NBY
70,RPRX
71,META
72,BBIG
73,TLRY
74,IDEX
75,BITO
76,SLDB
77,VTGN
78,HGEN
79,ARKK
80,TMBR
81,BBD
82,SNAP
83,NKLA
84,XBI
85,ADTX
86,XELA
87,GLD
88,BABA
89,T
90,VIXY
91,VRM
92,SUNL
93,AEHL
94,AMTD
95,SOCL
96,LMACA
97,RIVN
98,PDD
99,PTON
100,UA
101,CLOV
102,CGC
103,EJH
104,NGD
105,NVTA
106,BBBY
107,ARR
108,UCL
109,MITQ
110,SNY
111,PSLV
112,SDOW
113,VLTA
114,CVNA
115,COIN
116,ACRX
117,SPRO
118,ABOS
119,CS
120,DKNG
121,WTRH
122,JBLU
123,SCO
124,FUBO
125,GMBL
126,UL
127,WKHS
128,SPCE
129,IMPP
130,AFRM
131,KERN
132,MOTS
133,GOLD
134,APRN
135,NU
136,SPPI
137,IAU
138,PBLA
139,IEF
140,JAGX
141,BEAT
142,SQ
143,CENX
144,DNA
145,WIMI
146,EFA
147,RUBY
148,AG
149,TCRT
150,GRAB
151,OBSV
152,TECL
153,FSR
154,IBIO
155,HYMC
156,QTNT
157,GOEV
158,SHFS
159,ICPT
160,BLUE
161,JOBY
162,HOOD
163,WBD
164,OCUL
165,LYFT
166,TWM
167,ERIC
168,C
169,PHAS
170,FWBI
171,SBS
172,CENN
173,MMAT
174,SNDL
175,ASTR
176,TNXP
177,EEM
178,LFTR
179,GOVX
180,RBLX
181,INM
182,SNN
183,SHY
184,TARK
185,RWM
186,CSCO
187,RMO
188,BA
189,KWEB
190,VYGG
191,NILE
192,HEXO
193,AVYA
194,DB
195,CMCSA
196,QS
197,NLY
198,KGC
199,PATH
200,UBER
201,UPST
202,AU
203,DDOG
204,OPEN
205,GRFS
206,U
207,NMTR
208,ROKU
209,DBGI
210,GFI
211,PSNY
212,REAL
213,ENIC
214,TSLL
215,FNGD
216,BXP
217,INPX
218,SVIX
219,GFAI
220,AVCO
221,FSM
222,ARDX
223,FHS
224,AGNC
225,BTG
226,AGQ
227,ALRN
228,VOD
229,IAUM
230,NFLX
231,GSK
232,ATHX
233,MPW
234,LAZR
235,SAN
236,AXLA
237,LU
238,MNMD
239,IBUY
240,QYLD
241,BRQS
242,KTRA
243,UBX
244,HBI
245,ATNX
246,RAD
247,GPS
248,VGK
249,VXX
250,AUY
251,NEXI
252,DAVE
253,SDC
254,RCII
255,AGTC
256,XLC
257,RIDE
258,NUGT
259,AEM
260,PHUN
261,SRTY
262,BITI
263,MARK
264,SPLK
265,CPNG
266,EVGO
267,LQD
268,FAZ
269,VIRI
270,AYTU
271,OTLY
272,NAT
273,BRDS
274,ALLG
275,TYDE
276,ML
277,HIBS
278,BXRX
279,MVST
280,VZ
281,CDE
282,NISN
283,PAAS
284,ASAN
285,WEBL
286,JNUG
287,STNE
288,VLDR
289,ENV
290,TANH
291,APPH
292,DRV
293,SHPH
294,GCT
295,PINS
296,TECS
297,CSCW
298,DOG
299,OPGN
300,YINN
301,MOB
302,VIPS
303,HMY
304,TUEM
305,DOCS
306,TRKA
307,SPDN
308,JD
309,DNMR
310,BUD
311,HLGN
312,SIEN
313,VNET
314,RKLB
315,MDGS
316,BLCN
317,ME
318,FTCH
319,CRBP
320,HLBZ
321,PYPL
322,EWJ
323,KALA
324,HLN
325,TSLQ
326,BIAF
327,BOXD
328,IQ
329,ATXG
330,JUPW
331,SRNE
332,BYND
333,SPCB
334,TDOC
335,MOMO
336,EWG
337,OILD
338,GDXJ
339,FMS
340,SILJ
341,LILM
342,CANO
343,EPV
344,BGXX
345,SNOW
346,JG
347,NRGD
348,TWO
349,SKLZ
350,DXD
351,IPOD
352,NEM
353,IPOF
354,ENSC
355,JETS
356,DM
357,SGOL
358,AKBA
359,LULU
360,POSH
361,SLQT
362,ABNB
363,DRIP
364,NVAX
365,AMRN
366,HPCO
367,SDIG
368,DIS
369,VFC
370,TEF
371,PGY
372,ACB
373,AQST
374,TMC
375,JMIA
376,SDIV
377,PRQR
378,CDTX
379,HYG
380,BLDP
381,GEO
382,WDC
383,BIDU
384,ATXI
385,AUR
386,EDU
387,CD
388,TIGR
389,UXIN
390,HZON
391,OIG
392,EDIT
393,BTBT
394,SCPH
395,UAVS
396,REE
397,MTTR
398,ORAN
399,CRH
400,IMVT
401,CZR
402,AEO
403,TME
404,HTZ
405,CSAN
406,LICY
407,BRFS
408,SBFM
409,CFRX
410,ORC
411,APLD
412,PHG
413,IAG
414,BB
415,HYZN
416,QUOT
417,DASH
418,CZOO
419,TOPS
420,VBLT
421,SHIP
422,KMX
423,VSTM
424,NVS
425,LFLY
426,TBLT
427,CRM
428,OGEN
429,SCHO
430,MINT
431,GOOS
432,ADBE
433,SRS
434,EAR
435,NVTS
436,INVZ
437,SPTI
438,VLON
439,XFOR
440,AI
441,PARA
442,BXSL
443,GOVZ
444,KORU
445,ANPC
446,AUD
447,CIG
448,QNCX
449,OTIC
450,EFOI
451,TAL
452,VGSH
453,NYMX
454,GNUS
455,EFTR
456,BTF
457,LIZI
458,CGEN
459,BVN
460,GILD
461,LVS
462,KC
463,
464,ILAG
465,PSTV
466,VIEW
467,LMACU
468,BIOR
469,W
470,AGLE
471,WYNN
472,SVFA
473,EVTL
474,DOCU
475,UWMC
476,PSFE
477,RKT
478,GOL
479,CYBN
480,TEVA
481,LUV
482,MLCO
483,CTRM
484,VXRT
485,SAP
486,NXL
487,LPL
488,WEBS
489,SFT
490,CLSK
491,FUV
492,IEUR
493,INO
494,TWOU
495,KPRX
496,SE
497,MOR
498,EMB
499,JZ
500,MTCR
501,BZUN
502,SABR
503,EOSE
504,ACHR
505,CRIS
506,ORTX
507,WBA
508,GLPG
509,LUMN
510,HSDT
511,AGEN
512,OUNZ
513,KOPN
514,ONON
515,AMV
516,VLD
517,IBB
518,ISR
519,MOXC
520,BIGZ
521,SNDR
522,AAAU
523,LTRY
524,IMTE
525,SESN
526,RIGL
527,VIV
528,ATVI
529,HOLO
530,ERY
531,UTWO
532,FSLY
533,CHWY
534,BIO
535,SVM
536,AZUL
537,SVRE
538,PUK
539,DCFC
540,JWEL
541,ASTS
542,HTPA
543,HALL
544,ARBG
545,IMAB
546,COSM
547,RYAAY
548,TUYA
549,EH
550,GWH
551,SPOT
552,PHCF
553,PALI
554,NDRA
555,CAMP
556,MQ
557,SAND
558,AREB
559,AIA
560,SINT
561,IRNT
562,VERB
563,GMAB
564,SONM
565,MEGL
566,RDFN
567,BMRA
568,AQB
569,NIU
570,NAVB
571,OKTA
572,AMRS
573,SONO
574,NLS
575,SCPS
576,ADN
577,SKM
578,BSV
579,EWY
580,BWV
581,HITI
582,ISPC
583,ATOS
584,NAK
585,AMCI
586,LGVN
587,GRFX
588,VZLA
589,WU
590,ZSL
591,AIH
592,HYRE
593,SEV
594,FXE
595,JOB
596,CMRA
597,WE
598,SOLO
599,VINO
600,APDN
601,WPRT
602,GDRX
603,VYNE
604,V
605,ALLK
606,HOTH
607,CNK
608,DBVT
609,PKX
610,HRTX
611,BND
612,CTAQ
613,MGAM
614,EBAY
615,MCHI
616,DBD
617,GAU
618,LOGI
619,IGC
620,OTLK
621,SEAC
622,RENT
623,EAST
624,AEMD
625,CWEB
626,IS
627,FRPT
628,RGS
629,FOSL
630,VEA
631,CDAK
632,LOTZ
633,VEON
634,MMM
635,TTCF
636,GBT
637,KD
638,GROV
639,CIM
640,BIIB
641,TOST
642,ATUS
643,PHYS
644,QGEN
645,DS
646,SPTL
647,EQX
648,ADMA
649,QQQM
650,SYRS
651,IBRX
652,YCL
653,WTER
654,CTXR
655,CLVS
656,LITB
657,EGHT
658,PRST
659,KLXE
660,BKKT
661,USHY
662,VNTR
663,BRSH
664,RGTI
665,PETQ
666,AIKI
667,FDX
668,DRUG
669,FIGS
670,RWLK
671,VRAX
672,WPM
673,SCHP
674,BHC
675,LCFY
676,CLSD
677,PEGY
678,CRDL
679,SWVL
680,EHTH
681,HMC
682,IDRA
683,HNST
684,QTEC
685,PETZ
686,NTCO
687,KOD
688,ENTX
689,IGSB
690,LUXA
691,SFIX
692,EQ
693,GORO
694,WEBR
695,AEVA
696,ASHR
697,SHV
698,PTE
699,GNFT
700,SPIB
701,BTCM
702,FSRD
703,GGE
704,LX
705,GHSI
706,VGLT
707,POAI
708,KAVL
709,VWO
710,SMFG
711,GLBS
712,QQQX
