,Symbol,Length
0,AAPL,10640
1,MSFT,9314
2,GOOG,4662
3,GOOGL,4662
4,AMZN,6488
5,BRK.A,10828
6,BRK.B,6745
7,TSLA,3187
8,NVDA,6064
9,XOM,15393
10,UNH,9667
11,V,3761
12,META,2710
13,TSM,6386
14,JPM,10828
15,JNJ,15393
16,WMT,12734
17,MA,4217
18,PG,15393
19,NVO,10545
20,CVX,15393
21,LLY,12794
22,HD,10445
23,MRK,15393
24,BAC,12614
25,ABBV,2555
26,KO,15393
27,ASML,7037
28,BABA,2123
29,PEP,12794
30,AVGO,3412
31,ORCL,9315
32,PFE,12794
33,COST,9233
34,TMO,10828
35,SHEL,7130
36,AZN,7502
37,CSCO,8319
38,MCD,14258
39,TM,10831
40,NVS,6618
41,DIS,15393
42,NKE,10648
43,DHR,11134
44,WFC,12794
45,TMUS,3992
46,ACN,5435
47,ABT,10828
48,LIN,7730
49,MS,7557
50,VZ,9896
51,CRM,4702
52,BHP,10828
53,CMCSA,10828
54,UPS,5860
55,TXN,12794
56,PM,3763
57,HSBC,5942
58,SCHW,8928
59,TTE,7892
60,BMY,12794
61,ADBE,9208
62,RTX,15330
63,NEE,12614
64,NFLX,5226
65,RY,6888
66,QCOM,7858
67,TBB,1333
68,T,9896
69,TBC,1145
70,SAP,6908
71,AXP,12794
72,HON,15393
73,COP,10375
74,UL,10822
75,AMD,10828
76,AMGN,10005
77,DE,12794
78,LMT,11637
79,GS,5993
80,TD,6666
81,CAT,15393
82,LOW,10828
83,SNY,5200
84,BUD,3437
85,UNP,10880
86,BA,15393
87,BP,15393
88,IBM,15393
89,INTU,7544
90,SBUX,7723
91,PLD,6355
92,RIO,8228
93,ELV,5367
94,MDT,12565
95,SPGI,12614
96,CVS,12614
97,HDB,5434
98,BX,3947
99,PDD,1154
100,SONY,12614
101,INTC,10828
102,BLK,5888
103,GILD,7832
104,SYK,10828
105,EQNR,5457
106,DEO,8049
107,C,11637
108,BKNG,6016
109,AMAT,10828
110,ADI,10828
111,ADP,10828
112,AMT,6290
113,GE,15393
114,MDLZ,5460
115,TJX,8988
116,CB,7535
117,CI,10313
118,EL,6864
119,MUFG,5510
120,NOW,2681
121,BTI,10809
122,MO,15393
123,PYPL,1925
124,PGR,10828
125,REGN,8037
126,ISRG,5709
127,MMC,12614
128,INFY,6030
129,CNI,6605
130,ZTS,2534
131,ENBA,1217
132,TGT,12614
133,ENB,9817
134,SLB,10375
135,ABNB,555
136,VALE,5270
137,DUKB,1095
138,DUK,10828
139,VRTX,7958
140,USB,12564
141,FISV,9178
142,NOC,10375
143,PBR,5671
144,PBR.A,4880
145,ITW,12600
146,IBN,5765
147,CP,9869
148,GSK,10819
149,SOJE,610
150,SOJD,785
151,SOJC,1319
152,SO,10375
153,UBS,5731
154,HCA,3011
155,ETN,12794
156,BDX,12614
157,BDXB,696
158,BSX,7750
159,CME,5089
160,EOG,8413
161,UBER,956
162,AMOV,5546
163,AMX,5544
164,BMO,7132
165,LRCX,9782
166,RACE,1849
167,GD,15393
168,PNC,11921
169,MU,9763
170,CSX,10667
171,HUM,10375
172,EQIX,5670
173,ABB,5506
174,CNQ,5679
175,BNS,5216
176,TFC,10827
177,APD,10828
178,AON,10775
179,SAN,8965
180,WM,8738
181,JD,2206
182,CL,12565
183,ATVI,7387
184,SMFG,4299
185,MMM,15393
186,MPC,2937
187,TRI,5213
188,MELI,3913
189,RELX,7147
190,ICE,4347
191,CHTR,3308
192,SHW,10828
193,FCX,6957
194,CCI,6171
195,PANW,2667
196,EPD,6186
197,MET,5759
198,STLA,3201
199,SNPS,7808
200,SCCO,6832
201,GM,3087
202,OXY,10375
203,MRNA,1061
204,MCO,7130
205,CDNS,9000
206,MNST,9379
207,BN,9870
208,KLAC,10685
209,MAR,6274
210,ORLY,7515
211,SHOP,1956
212,PSA,10657
213,FDX,11316
214,NSC,10270
215,VLO,10374
216,KDP,3727
217,ING,7245
218,E,6858
219,MCK,7122
220,TAK,3308
221,HSY,10828
222,NTES,5699
223,SREA,923
224,SRE,6206
225,KHC,1925
226,AZO,8037
227,PSX,2736
228,VMW,3910
229,DG,3342
230,SNOW,615
231,D,10828
232,GIS,10828
233,KKR,3176
234,F,12794
235,BIDU,4419
236,WDAY,2608
237,EMR,12794
238,PXD,6429
239,NGG,4416
240,AEP,15393
241,AEPPZ,639
242,EW,5766
243,SQ,1828
244,FTNT,3339
245,NXPI,3160
246,SU,10828
247,APH,7882
248,ROP,7816
249,ITUB,5288
250,ECL,12614
251,HMC,10828
252,BBVA,8615
253,WDS,6611
254,PH,10828
255,ADM,10828
256,AIG,12648
257,CTAS,9961
258,CTVA,946
259,MSI,15393
260,MCHP,7539
261,TRV,11921
262,JCI,8924
263,LVS,4580
264,STM,7103
265,HES,10828
266,AFL,10828
267,KMB,10828
268,DXCM,4498
269,CM,6361
270,TEAM,1815
271,A,5854
272,LYG,5347
273,COF,7118
274,TT,10828
275,ADSK,9491
276,ANET,2196
277,MSCI,3845
278,STZ,7794
279,TRP,10194
280,NUE,10828
281,EXC,12565
282,RSG,6204
283,LULU,3923
284,BK,12564
285,CMG,4300
286,O,7139
287,DOW,992
288,ABEV,6538
289,APO,2997
290,BCE,10154
291,TDG,4267
292,LHX,10375
293,PUK,5700
294,PAYX,9956
295,NTR,1296
296,SPG,7352
297,CNC,5336
298,ET,4294
299,TEL,3953
300,MFG,4101
301,LNG,7276
302,KMI,3029
303,AJG,9750
304,BIIB,7920
305,IQV,2467
306,IDXX,7980
307,HLT,2316
308,FIS,5455
309,SYY,12561
310,ROST,9463
311,WMB,10375
312,WBD,4439
313,PCAR,10828
314,ODFL,7893
315,MRVL,5699
316,CARR,740
317,HLN,149
318,MFC,5893
319,PRU,5336
320,PFH,624
321,PRS,1135
322,PRH,129
323,IBKR,3981
324,DD,12794
325,XEL,12614
326,DVN,9476
327,AMP,4391
328,YUM,6402
329,ALC,978
330,WELL,10826
331,GFS,333
332,MPLX,2598
333,CVE,3340
334,OTIS,740
335,ALL,7487
336,NEM,10828
337,CMI,12614
338,WCN,6231
339,VICI,1296
340,CRH,8471
341,GEHC,48
342,SE,1345
343,GWW,12614
344,HAL,12794
345,ROK,10375
346,CPRT,7287
347,ON,5741
348,NWG,3865
349,BCS,9190
350,CTSH,6212
351,AME,9730
352,ED,15393
353,BNTX,850
354,VOD,8645
355,ABC,7023
356,DLTR,7043
357,MTD,6360
358,LYB,3230
359,PCGU,671
360,PCG,12794
361,KR,15393
362,DHI,7738
363,URI,6337
364,BF.A,12564
365,BF.B,10828
366,APTV,2835
367,RMD,6982
368,ILMN,5680
369,WBA,10828
370,BKR,9045
371,ORAN,6379
372,PEG,10880
373,PPG,10828
374,MBLY,83
375,DLR,4612
376,OKE,10690
377,SGEN,5526
378,EA,8423
379,STT,10828
380,DFS,3953
381,DELL,1642
382,GPN,5563
383,CHT,4936
384,FAST,8950
385,ALB,7304
386,IMO,10828
387,GLW,10375
388,CSGP,6204
389,WEC,10828
390,HPQ,15393
391,SLF,5768
392,TU,6723
393,FERG,3308
394,GOLD,9585
395,KEYS,2102
396,FWONA,2549
397,FWONK,2175
398,NDAQ,5200
399,SBAC,5963
400,CRWD,934
401,CDW,2433
402,LEN,10828
403,LEN.B,4996
404,ENPH,2744
405,ES,12614
406,TTD,1618
407,MTB,10828
408,CBRE,4710
409,VRSK,3369
410,ULTA,3860
411,TLK,6867
412,IT,7401
413,ARE,6480
414,EIX,12564
415,FANG,2608
416,CPNG,494
417,WIT,5622
418,BBDO,2757
419,BBD,5177
420,CEG,277
421,NOK,7214
422,ZBH,5431
423,AWK,3737
424,VEEV,2356
425,ACGL,6910
426,ACGLO,1388
427,ACGLN,436
428,CCEP,9136
429,BGNE,1778
430,WTW,5461
431,ANSS,6716
432,TSCO,7306
433,GPC,10828
434,HZNP,2914
435,MTCN,692
436,MT,6430
437,FITBP,880
438,FITBO,869
439,FITB,10828
440,FITBI,2320
441,GMAB,3459
442,HIG,6845
443,TROW,9301
444,DB,6611
445,CQP,4012
446,HRL,10828
447,EFX,10828
448,AVB,7291
449,EBAY,6145
450,YUMC,1600
451,VMC,12614
452,DDOG,865
453,RCI,6828
454,EQR,7438
455,FNV,3830
456,DAL,3982
457,ALGN,5553
458,IFF,12153
459,TEF,8998
460,FTV,1673
461,IR,1457
462,ALNY,4717
463,BEKE,638
464,DTW,1239
465,DTG,310
466,DTB,600
467,DTE,15393
468,RJF,9995
469,K,12614
470,LI,648
471,WST,10828
472,PWR,6300
473,FE,6364
474,ETR,12794
475,MPWR,4597
476,NU,304
477,WY,12564
478,MLM,7306
479,SQM,7411
480,SPOT,1234
481,CAJ,10828
482,RBLX,495
483,EC,3634
484,CNHI,2368
485,AEE,6328
486,RPRX,679
487,FRC,3073
488,HBANM,431
489,HBANP,520
490,HBAN,10828
491,TCOM,4836
492,RF,10828
493,ZM,971
494,PFG,5372
495,EXR,4665
496,GIB,6136
497,DASH,556
498,LH,8291
499,TSN,10828
500,BSBR,3369
501,HEI,10828
502,HEI.A,6250
503,VRSN,6309
504,STLD,6607
505,DOV,10828
506,AEM,12614
507,UMC,5644
508,IX,6151
509,VTR,6496
510,PODD,3974
511,PPL,10828
512,CHD,10828
513,ARGX,1453
514,CFG,2120
515,BAX,10420
516,CTRA,8325
517,TDY,5851
518,TECK,5188
519,MKC,12614
520,MKC.V,4880
521,BIP,3808
522,QSR,2065
523,FMX,6240
524,HPE,1851
525,CAH,9972
526,LUV,10880
527,ZTO,1592
528,HOLX,8311
529,LPLA,3087
530,TS,5083
531,NTRSO,836
532,NTRS,10828
533,NET,869
534,FTS,3308
535,INVH,1527
536,MAA,7320
537,CINF,10828
538,HUBS,2109
539,JBHT,9895
540,CLX,12614
541,BMRN,5936
542,ZS,1245
543,GRMN,5587
