,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,MCD,1.3897199999997973,3.3053225310682035,inf,1.6695976828331518,9.855923756532148,
1,COST,-3.4099000000000816,0.0,0.0,0.0,-21.04513485888001,0.0
2,TJX,0.0,,,,0.0,
3,CMCSA,0.0,,,,0.0,
4,SCHG,8.198120000000053,2.0893784089601963,inf,7.608221291946696,71.02673429601015,
5,VFH,0.0,,,,0.0,
6,GE,28.58605000000003,1.0980930939092388,inf,70.44521683664597,454.24105394659824,
7,JPM,-4.235439999999973,0.0,0.0,0.0,-25.528591392565946,0.0
8,VGLT,0.0,,,,0.0,
9,IVV,4.52999000000002,0.9818858675574957,3.41927507642736,5.197500598040344,36.35980199857909,1.869958044131333
10,SCHX,0.0,,,,0.0,
11,IEFA,0.0,,,,0.0,
12,ABT,-10.582000000000088,0.0,0.0,0.0,-54.29384765599319,0.0
13,VPU,0.0,,,,0.0,
14,BBCA,0.0,,,,0.0,
15,XLRE,0.0,,,,0.0,
16,SCHF,0.0,,,,0.0,
17,IWY,-2.00612999999999,0.0,0.0,0.0,-13.225451039661662,0.0
18,IYW,8.572899999999906,1.9761362209828295,53.798400815571796,7.835247595639925,77.8484425798158,16.98750284456771
19,MS,0.0,,,,0.0,
20,NKE,-1.4127600000000529,0.0,0.0,0.0,-9.479913680780927,0.0
21,LOW,-1.6204000000000232,0.0,0.0,0.0,-10.80605621316123,0.0
22,NOW,-7.189039999999891,0.0,0.0,0.0,-40.680858907691174,0.0
23,VNQ,0.0,,,,0.0,
24,SCHA,0.0,,,,0.0,
25,UNH,-7.0927299999999525,0.0,0.0,0.0,-40.24862657719536,0.0
26,PEP,-2.931479999999952,0.0,0.0,0.0,-18.801341164858755,0.0
