da,strategy_name,code,weight
2021-08-18,gainnerTW,6023,1.0
2021-08-19,gainnerTW,6023,1.0
2021-08-20,gainnerTW,6023,1.0
2021-08-23,gainnerTW,6023,1.0
2021-08-24,gainnerTW,6023,1.0
2021-08-25,gainnerTW,6023,1.0
2021-08-26,gainnerTW,6023,1.0
2021-08-27,gainnerTW,6023,1.0
2021-08-30,gainnerTW,6023,1.0
2021-08-31,gainnerTW,6023,1.0
2021-09-01,gainnerTW,2330,0.0
2021-09-02,gainnerTW,2330,0.0
2021-09-03,gainnerTW,2330,0.0
2021-09-06,gainnerTW,2330,0.0
2021-09-07,gainnerTW,2330,0.0
2021-09-08,gainnerTW,2330,0.0
2021-09-09,gainnerTW,2330,0.0
2021-09-10,gainnerTW,2330,0.0
2021-09-13,gainnerTW,2330,0.0
2021-09-14,gainnerTW,2330,0.0
2021-09-15,gainnerTW,2330,0.0
2021-09-16,gainnerTW,2330,0.0
2021-09-17,gainnerTW,2330,0.0
2021-09-21,gainnerTW,2330,0.0
2021-09-22,gainnerTW,2330,0.0
2021-09-24,gainnerTW,2330,0.0
2021-09-27,gainnerTW,2330,0.0
2021-09-28,gainnerTW,2330,0.0
2021-09-29,gainnerTW,2330,0.0
2021-09-30,gainnerTW,2330,0.0
2021-10-01,gainnerTW,4760,1.0
2021-10-04,gainnerTW,4760,1.0
2021-10-05,gainnerTW,4760,1.0
2021-10-06,gainnerTW,4760,1.0
2021-10-07,gainnerTW,4760,1.0
2021-10-08,gainnerTW,4760,1.0
2021-10-11,gainnerTW,4760,1.0
2021-10-12,gainnerTW,4760,1.0
2021-10-13,gainnerTW,4760,1.0
2021-10-14,gainnerTW,4760,1.0
2021-10-15,gainnerTW,4760,1.0
2021-10-18,gainnerTW,4760,1.0
2021-10-19,gainnerTW,4760,1.0
2021-10-20,gainnerTW,4760,1.0
2021-10-21,gainnerTW,4760,1.0
2021-10-22,gainnerTW,4760,1.0
2021-10-25,gainnerTW,4760,1.0
2021-10-26,gainnerTW,4760,1.0
2021-10-27,gainnerTW,6023,1.0
2021-10-28,gainnerTW,4760,1.0
2021-10-29,gainnerTW,4760,1.0
2021-11-01,gainnerTW,4760,1.0
2021-11-02,gainnerTW,4760,1.0
2021-11-04,gainnerTW,4760,1.0
2021-11-05,gainnerTW,4760,1.0
2021-11-08,gainnerTW,4760,1.0
2021-11-09,gainnerTW,6023,1.0
2021-11-10,gainnerTW,6023,1.0
2021-11-11,gainnerTW,6023,1.0
2021-11-12,gainnerTW,6023,1.0
2021-11-15,gainnerTW,6023,1.0
2021-11-16,gainnerTW,6023,1.0
2021-11-17,gainnerTW,6023,1.0
2021-11-18,gainnerTW,6023,1.0
2021-11-19,gainnerTW,6023,1.0
2021-11-22,gainnerTW,1795,1.0
2021-11-24,gainnerTW,6492,1.0
2021-11-25,gainnerTW,6492,1.0
2021-11-26,gainnerTW,6492,1.0
2021-11-29,gainnerTW,6492,1.0
2021-11-30,gainnerTW,6492,1.0
2021-12-01,gainnerTW,6492,1.0
2021-12-02,gainnerTW,6492,1.0
2021-12-03,gainnerTW,6492,1.0
2021-12-06,gainnerTW,6492,1.0
2021-12-07,gainnerTW,6492,1.0
2021-12-08,gainnerTW,6492,1.0
2021-12-09,gainnerTW,6492,1.0
2021-12-10,gainnerTW,6492,1.0
2021-12-13,gainnerTW,6492,1.0
2021-12-14,gainnerTW,6492,1.0
2021-12-15,gainnerTW,4760,1.0
2021-12-16,gainnerTW,4760,1.0
2021-12-17,gainnerTW,6492,1.0
2021-12-20,gainnerTW,6492,1.0
2021-12-21,gainnerTW,6492,1.0
2021-12-22,gainnerTW,6492,1.0
2021-12-23,gainnerTW,6492,1.0
2021-12-24,gainnerTW,6492,1.0
2021-12-27,gainnerTW,6492,1.0
2021-12-28,gainnerTW,6492,1.0
2021-12-29,gainnerTW,6492,1.0
2021-12-30,gainnerTW,6492,1.0
2022-01-04,gainnerTW,6492,1.0
2022-01-05,gainnerTW,6492,1.0
2022-01-06,gainnerTW,6648,1.0
2022-01-07,gainnerTW,6648,1.0
2022-01-11,gainnerTW,6648,1.0
2022-01-12,gainnerTW,6648,1.0
2022-01-13,gainnerTW,6648,1.0
2022-01-14,gainnerTW,6648,1.0
2022-01-17,gainnerTW,6648,1.0
2022-01-18,gainnerTW,6648,1.0
2022-01-19,gainnerTW,6648,1.0
2022-01-20,gainnerTW,6648,1.0
2022-01-21,gainnerTW,6648,1.0
2022-01-24,gainnerTW,6648,1.0
2022-01-25,gainnerTW,6648,1.0
2022-01-26,gainnerTW,6648,1.0
2022-01-27,gainnerTW,6648,1.0
2022-01-28,gainnerTW,4760,1.0
2022-01-31,gainnerTW,4760,1.0
2022-02-01,gainnerTW,4760,1.0
2022-02-02,gainnerTW,4760,1.0
2022-02-03,gainnerTW,4760,1.0
2022-02-04,gainnerTW,4760,1.0
2022-02-07,gainnerTW,4760,1.0
2022-02-08,gainnerTW,4760,1.0
2022-02-09,gainnerTW,4760,1.0
2022-02-10,gainnerTW,4760,1.0
2022-02-14,gainnerTW,4760,1.0
2022-02-15,gainnerTW,4760,1.0
2022-02-16,gainnerTW,4760,1.0
2022-02-17,gainnerTW,4760,1.0
2022-02-18,gainnerTW,4760,1.0
2022-02-21,gainnerTW,4760,1.0
2022-02-22,gainnerTW,4760,1.0
2022-02-24,gainnerTW,4760,1.0
2022-02-25,gainnerTW,4760,1.0
2022-02-28,gainnerTW,4760,1.0
2022-03-01,gainnerTW,4760,1.0
2022-03-02,gainnerTW,4760,1.0
2022-03-03,gainnerTW,4760,1.0
2022-03-04,gainnerTW,4760,1.0
2022-03-07,gainnerTW,4760,1.0
2022-03-08,gainnerTW,4760,1.0
2022-03-09,gainnerTW,4760,1.0
2022-03-10,gainnerTW,4760,1.0
2022-03-11,gainnerTW,4760,1.0
2022-03-14,gainnerTW,4760,1.0
2022-03-15,gainnerTW,4760,1.0
2022-03-16,gainnerTW,4760,1.0
2022-03-17,gainnerTW,4760,1.0
2022-03-18,gainnerTW,4760,1.0
2022-03-22,gainnerTW,4760,1.0
2022-03-23,gainnerTW,4760,1.0
2022-03-24,gainnerTW,4760,1.0
2022-03-25,gainnerTW,4760,1.0
2022-03-28,gainnerTW,4760,1.0
2022-03-29,gainnerTW,4760,1.0
2022-03-30,gainnerTW,4760,1.0
2022-03-31,gainnerTW,4760,1.0
2022-04-01,gainnerTW,4760,1.0
2022-04-04,gainnerTW,4760,1.0
2022-04-05,gainnerTW,4760,1.0
2022-04-06,gainnerTW,4760,1.0
2022-04-07,gainnerTW,4760,1.0
2022-04-08,gainnerTW,4760,1.0
2022-04-11,gainnerTW,4760,1.0
2022-04-12,gainnerTW,4760,1.0
2022-04-13,gainnerTW,4760,1.0
2022-04-14,gainnerTW,4760,1.0
2022-04-15,gainnerTW,4760,1.0
