,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,SPY,-0.9211200000000389,0.0,0.0,0.0,-6.108137316085472,0.0
1,IVV,0.0,,,,0.0,
2,VOO,0.9535399999999062,2.4812471628126613,inf,6.364768634878198,6.677078484705357,
3,VTI,-1.7093300000002345,0.0,0.0,0.0,-11.079343398165499,0.19027400500847927
4,QQQ,0.0,,,,0.0,
5,VEA,0.8412799999999844,2.4919710162161435,inf,2.5380176906789917,5.871754687739639,
6,VUG,0.0,,,,0.0,
7,VTV,-0.06066000000011991,0.0,0.0,0.0,-0.4238480572745784,0.0
8,IEFA,0.0,,,,0.0,
9,AGG,-0.19787999999996098,0.0,0.0,0.0,-1.3769642015820205,0.0
10,BND,0.0,,,,0.0,
11,IWF,0.0,,,,0.0,
12,IJR,0.0,,,,0.0,
13,VIG,0.0,,,,0.0,
14,IEMG,2.0304299999999933,3.3507979371297894,inf,16.5412099656958,15.108665424693202,
15,VWO,0.0,,,,0.0,
16,VXUS,0.0,,,,0.0,
17,VGT,0.6870900000000111,2.5387691890139474,inf,1.843732170680492,4.909912588563015,
18,XLK,2.7156000000001077,2.345628257629915,inf,,20.62986772045905,
19,GLD,0.1705199999999604,2.591151999241969,inf,1.5635358096586909,1.1997635681835428,
20,IWM,-5.084910000000062,0.0,0.0,0.0,-30.602017166985874,0.0
21,VO,0.0,,,,0.0,
22,TLT,0.0,,,,0.0,
23,RSP,0.0,,,,0.0,
24,SCHD,4.741890000000116,1.804127568668082,17.33779331087503,10.219958390629797,38.30658033154906,6.8148201464742915
25,ITOT,0.0,,,,0.0,
26,BNDX,0.0,,,,0.0,
27,IWD,0.47898000000011237,0.5693985346358197,1.0500234731698812,3.0686723280997388,4.96400710482654,1.2624026632865022
28,EFA,0.0,,,,0.0,
29,VB,1.9166399999999848,2.4193999259691767,inf,30.373055715055656,14.213037425777797,
30,VYM,2.5984199999999835,2.356268642360995,inf,21.554907646982965,19.669839707139005,
31,IVW,0.0,,,,0.0,
32,VCIT,0.0,,,,0.0,
33,QUAL,-0.28445000000006987,0.0,0.0,0.0,-1.9742388464975336,0.0
34,XLF,1.9859099999999161,1.1979135676319568,3.486500875583364,5.953349534172984,14.757539385044316,2.2951183673468503
35,SPLG,-0.3502199999999284,0.0,0.0,0.0,-2.425932470053027,0.5756089844986267
36,SCHX,3.32199000000002,2.291521588821576,inf,,25.704068801207658,
37,XLV,-3.724949999999953,0.0,0.0,0.0,-23.33515359753453,0.0
38,SCHF,0.0,,,,0.0,
39,VEU,0.0,,,,0.0,
40,IXUS,0.7099499999999535,3.0191670267313038,inf,,7.436171302564243,
41,VT,0.0,,,,0.0,
42,MUB,0.5506200000000244,3.0456764471134656,inf,62.51231560892715,5.72525563003683,
43,XLE,-10.313090000000084,0.0,0.0,0.0,-53.32294684344914,0.0
44,VNQ,-1.6150499999999008,0.0,0.0,0.0,-10.77209736198852,0.0
45,VV,0.0,,,,0.0,
46,IWB,0.0,,,,0.0,
47,VCSH,0.0,,,,0.0,
48,IWR,-2.545839999999982,0.0,0.0,0.0,-23.00751764043383,0.0
49,DIA,-7.269599999999861,0.0,0.0,0.0,-41.04034520975781,0.0
50,IVE,0.0,,,,0.0,
51,JEPI,-1.92825,0.0,0.0,0.0,-12.741553923663773,0.4159974924430911
52,VTEB,0.0,,,,0.0,
53,BIL,0.0,,,,0.0,
54,MBB,0.6337799999998824,4.996056117828182,inf,62.336548652106735,6.615154542964929,
55,BSV,0.0,,,,0.0,
56,LQD,0.0,,,,0.0,
57,IEF,0.6100200000000187,2.546498228241856,inf,14.374804832651442,4.349085500182848,
58,QQQM,0.0,,,,0.0,
59,SCHG,0.0,,,,0.0,
60,DFAC,0.0,,,,0.0,
61,VGIT,0.3317000000000553,2.5746607777750823,inf,14.210440735521859,2.3451333848294675,
62,IUSB,-0.2119900000001071,0.0,0.0,0.0,-1.4745259235130148,0.0
63,SCHB,0.0,,,,0.0,
64,DGRO,0.0,,,,0.0,
65,VBR,0.0,,,,0.0,
66,IAU,0.0,,,,0.0,
67,SPYG,5.3203800000000046,2.12391666483692,inf,12.05242824480955,43.743071863557994,
68,GOVT,0.0,,,,0.0,
69,JPST,0.0,,,,0.0,
70,USMV,0.0,,,,0.0,
71,SGOV,0.0,,,,0.0,
72,COWZ,-6.530619999999952,0.0,0.0,0.0,-37.67166384922571,0.0
73,SHY,0.0,,,,0.0,
74,SPYV,0.0,,,,0.0,
75,MDY,0.0,,,,0.0,
76,SPDW,0.2695300000001444,2.5810058185744533,inf,7.05685624890266,1.9020344647663112,
77,SDY,0.0,,,,0.0,
78,MGK,2.038400000000111,2.407969863204642,inf,30.416972084938966,15.171621324834138,
79,SMH,0.0,,,,0.0,
