,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,SPY,0.0,,,,0.0,
1,IVV,6.05875,2.682184822724191,103.02339487225014,166.47629602872118,366.0384388109896,5.012528254181334
2,VOO,-1.7075,0.0,0.0,0.0,-18.374983343840146,0.0
3,VTI,5.277,2.989447854156617,47.964229872471314,74.84437192552812,224.81808187530405,3.366435013659075
4,QQQ,0.0,,,,0.0,
5,VEA,5.5755,3.946086733804384,inf,48.8611354857225,246.58540828806198,
6,VUG,7.73175,2.866796995328149,inf,204.4803081974692,450.7634328914075,
7,VTV,0.0,,,,0.0,
8,IEFA,0.0,,,,0.0,
9,AGG,0.0,,,,0.0,
10,BND,-0.7080000000000001,0.0,0.0,0.0,-15.021615627926455,0.0
11,IWF,10.235,3.934763478058385,inf,202.59810467005804,832.1835186021344,
12,IJH,5.1075,3.5046103929143024,inf,104.2582164552369,279.12558895131355,7.218458837827099
13,IJR,-1.6344999999999998,0.0,0.0,0.0,-31.445630219116328,0.0
14,VIG,0.0,,,,0.0,
15,IEMG,-1.0465,0.0,0.0,0.0,-21.416380859313055,0.0
16,VWO,-1.3575,0.0,0.0,0.0,-26.88386069803328,0.0
17,VGT,-4.099,0.0,0.0,0.0,-53.57423003201338,0.0
18,VXUS,-3.70925,0.0,0.0,0.0,-49.05378096167029,0.0
19,XLK,-1.5325,0.0,0.0,0.0,-14.97996973295228,0.0
20,GLD,0.0,,,,0.0,
21,IWM,5.904,2.426189982203315,12.570537403585918,10.740064391790511,44.727469802191465,9.425778319580449
22,VO,0.0,,,,0.0,
23,TLT,0.0,,,,0.0,
24,ITOT,0.0,,,,0.0,
25,RSP,12.90375,3.236347721879706,inf,133.29244066512229,816.3669764966974,
26,BNDX,3.4299999999999997,3.0847495782057295,884.3949219203885,51.71622923760173,116.54021591740506,3.2553785836804128
27,SCHD,8.885,2.223175168128889,23.28990960566912,48.894362501425384,299.45991448460745,3.5878306006789464
28,IWD,0.0,,,,0.0,
