,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,VEA,18.62075,2.7295336474791285,393.0449805044933,368.13425035530713,2236.612030073296,8.664267978401915
1,IEFA,7.148250000000001,3.169934313988745,inf,206.20754135407174,386.3299061533537,4.288124230053899
2,IJH,20.302500000000002,3.540230399590768,inf,481.0585078933823,3125.9118029919537,13.504082114095228
3,RSP,21.053,3.660686553806686,inf,557.7081107153583,3619.8699145013125,22.49663876713587
4,VYM,25.222,2.8100843687531945,inf,1027.5756581994328,6623.6629047208025,26.06396104275021
5,EFA,19.52525,2.9639960144514066,inf,441.23868984400366,2680.7605130095476,12.93258705596372
6,SCHX,22.184,2.411843362499478,878.7656715784483,897.592418994992,5497.422101094709,18.08639898436988
7,XLF,19.2685,2.3996571532189632,354.9905466730898,419.23724776382784,2547.090011044604,11.465121738466577
8,SPLG,20.617250000000002,2.5973942150874767,inf,547.2620546907525,3324.9090350669712,28.865259568278734
9,VT,23.038,2.283413885982106,359.58803720577237,715.1785162518065,4393.130424027127,6.312678528395703
10,XLE,21.952749999999998,3.289743677620889,inf,1934.5393174020699,12526.497918805342,5.8989014730396345
11,DIA,20.297,2.6870746456207675,inf,513.9523502201738,3122.5348042933406,21.057783741049775
12,QQQM,17.7635,2.3772676545842857,299.3981000940913,309.25679756799593,1878.900083746446,6.6702953259956566
13,SCHG,26.63025,2.408301903719596,847.9807559547789,1599.3189918835938,10339.345443847309,7.857048654825255
14,SCHB,23.10475,2.6502578124581615,674.704078039176,688.7039893889986,4449.306576681258,8.942903103416125
15,SPYG,28.19025,2.409559103783336,1125.2058003506197,2122.1743461054352,13719.52297684708,11.691919863189307
16,MGK,31.656499999999998,2.9720147790913676,inf,4785.873542822945,30865.87070587164,19.277986696915633
17,XLI,27.206249999999997,2.347991225131911,2524.471396048357,1523.3497971737045,9538.843841948395,35.72029507035871
18,IUSV,8.882249999999999,2.693233664796014,inf,541.3069668701963,602.5112132815055,14.573520151602159
19,ACWI,18.255499999999998,2.596107748119941,332.5429512040121,409.36457473657293,2077.2288236451473,7.696082131917092
20,EEM,24.471999999999998,2.1811313358060946,479.2238587362983,1072.6264867426125,6941.069942259486,5.306561455781524
21,XLU,6.539000000000001,3.578543167860407,inf,50.48944855949494,326.7734429422215,5.382352941176711
22,MOAT,6.628,3.602861775643217,inf,69.67074097155647,335.0160743130319,5.7190082877918815
23,GDX,17.75,3.8341601458795993,inf,308.4024687324459,1873.7095801478663,25.23302809315567
24,GBTC,16.272000000000002,2.1177965536931063,534.5315885440414,648.7550813972791,4071.9720423049,6.0817043412542215
25,SLV,14.144000000000002,2.873137684421683,inf,323.13488900608587,1971.0854049043317,12.152582418406853
26,BBJP,19.719,2.8035640105056423,inf,458.5408199507934,2785.8801868931637,14.484392147371127
27,SCHM,21.1375,3.458083739715246,837.2200001614852,605.6773755865395,3679.8132835307015,24.060130766037712
28,INDA,17.76125,2.4486650888141055,441.97328036104386,412.2346321750502,2507.352967791857,6.614735504514418
29,SPMD,26.961249999999996,2.990458694682358,inf,1485.0791214767848,9122.402480487908,17.038555620235265
30,FBTC,16.272000000000002,2.1177965536931063,534.5315885440414,648.7550813972791,4071.9720423049,6.0817043412542215
31,VTWO,29.034,2.1268274609548934,inf,2627.0472798279256,15960.71417957854,7.776398400845614
32,VPL,8.02525,2.7179249029747687,inf,307.7659902764244,486.1836336107631,6.8049615298178825
33,ITA,16.35575,2.560178034068283,568.1888111455545,483.15896110289515,3114.6954327832295,9.619054371361393
34,NVDL,21.33175,3.475062697749275,inf,762.1881000281566,4668.120649879898,11.996480938219136
35,ARKK,27.180500000000002,2.3943907884050906,inf,1762.0417693831682,10789.016575436064,5.47918721383795
36,GDXJ,22.722,3.8118866032467307,1723.6599828181422,821.4182756872882,4990.554384307008,6.12215773979113
37,AAPL,18.45025,2.517008027265902,259.6241874479806,432.55350505020516,2649.230483955599,5.202848529652568
38,MSFT,16.596,2.4645270481529282,inf,648.0541084773369,3270.2478140151575,19.194098014431486
39,NVDA,21.33175,3.475062697749275,inf,762.1881000281566,4668.120649879898,11.996480938219136
40,GOOGL,13.852,2.895291491411911,inf,277.5066225292858,1707.5566446707683,9.963125569262395
41,META,16.7865,2.298701684149765,590.9100846474798,598.9216357770717,3670.005248096135,5.135532409050341
42,TSLA,14.869,2.906243089087786,8165.289753974518,993.6607786831158,3342.6122744091194,6.457065381451586
43,JPM,26.624750000000002,2.251588986725016,837.9560554175712,1595.7306932494776,10328.962996720875,6.321928980233057
44,V,26.633000000000003,4.16597130065775,inf,1331.8408687657834,8591.35559378912,14.751268801986935
45,XOM,13.93525,2.78092367390265,326.90667909325003,416.0580449722755,2558.8726797959853,3.4213086087228577
46,PG,19.07025,2.6191512296035997,inf,1320.6897167744062,4973.03774097836,4.489603404330585
47,ORCL,26.2255,2.5170877807652214,942.0337213844789,1484.0083473107854,9601.106668274655,7.165306011474948
48,HD,15.314,2.2232192532423385,427.8202108536392,477.7214416978857,3083.7787492813777,4.8965792716536845
49,NFLX,39.01375,2.5950920196457963,inf,45954.124967935335,296717.8063246865,15.946010088680401
50,AZN,19.6715,2.8635707793723713,1732.069515966318,454.24203449037987,2759.76277112382,14.018530583931637
51,CVX,20.53925,3.338162763688359,inf,1555.5389684467625,9566.997241891308,7.409221482981234
52,CRM,21.52225,1.9313342471955584,495.96881244801096,1284.7153902737186,8597.360322006893,3.7717860129341205
53,ADBE,17.4515,2.9079688937395756,266.96364016694764,290.05080519245433,1762.2134305617105,4.300836829476881
54,LIN,7.6905,2.86525807275404,inf,282.5464385434262,445.9524633341445,5.452087319873613
55,CSCO,27.32625,2.802536959654464,1430.420145441561,1510.5258601247563,9749.318539308093,6.796404658077021
56,QCOM,14.044,2.3771535291037873,297.6477602142018,308.75447554679306,1874.1122994108428,3.2930960788781203
57,PDD,22.90575,3.0202806959838773,507.07578666147646,850.63507644439,5168.062040795148,8.895396457221683
58,TXN,21.681,2.688659407564829,718.3982166871446,672.8669797977182,4088.025985634744,8.482118901490754
59,GE,29.624250000000004,3.44485895504732,inf,2737.873971351404,17730.88399771511,12.311965033325066
60,IBM,20.7115,2.7627079954257647,1024.1381000404606,607.9927999929035,3723.7554470786954,4.317956715656447
61,AMGN,16.287499999999998,3.334918610280767,inf,476.3594879733117,3071.7739847202433,9.4273248703678
62,DIS,15.93325,2.7414049355131467,313.2914761313179,223.9517830471431,1378.2939609711286,19.144320748884624
63,GS,18.8415,3.2198741523005396,350.4857444294959,401.48842585814896,1929.0042159529326,17.344135161066397
