,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,VTI,23.079250000000002,1.2714278029911836,544.199465089396,1404.5829811933331,11542.673661383214,3.1935710080878263
1,QQQ,22.61675,1.0817044072856044,170.56486353456566,341.1356944113194,2570.7964219202677,3.473649313392239
2,VEA,41.472750000000005,0.9773314138457035,2379.110589528856,8707.747656627856,71286.44315677897,3.934360483509359
3,VUG,45.144,0.7925732033346636,880.8673813129899,2539.0512199378672,58494.59250905477,5.8232893074692536
4,IWF,22.9785,1.7584421641993655,5617.153528701805,2089.9270647666094,17424.280485911993,3.424931197699634
5,IJR,19.619,1.6493877051035115,294.31178760697276,540.7937669768901,5958.025662191631,2.6342291113795095
6,VWO,42.369,1.2324828289827567,2960.543510933553,7066.656053325522,32716.093275197487,11.44239477295279
7,VGT,47.25175,2.2453833743261207,6539.710193012494,14114.747087133203,70954.43771400343,19.833296241377244
8,IWM,16.31525,2.297775315182236,1083.3566311894049,524.4343121093922,4791.153089726179,2.5285322874165628
9,ITOT,22.88675,3.4912086237597046,322.1512125013639,241.78788373547286,2708.8262279819683,2.6896392382852565
10,VB,33.983000000000004,1.6065695409245822,11686.0548779925,9762.855867386768,81294.12842440525,16.732502618147105
11,IVW,27.479,1.5568432152845357,32145.833446719294,5461.775134330114,25931.76247276246,5.038947399542299
12,SCHX,25.206,1.7547097221819068,1244.8689829399618,2460.0160908057946,17138.649318120068,5.5636431435283065
13,SPLG,35.19175,0.9605734210076805,1186.0858965603372,4331.711533590804,24903.174532605513,4.121436974291338
14,VEU,46.0835,1.0487816810388633,1522.8050177341831,2595.0127490770087,15032.69977723063,11.213572381164731
15,VT,50.1705,1.36547431126742,inf,36583.5238082382,277512.24407187593,29.50564512691081
16,XLE,19.02325,1.0087016299505773,192.95809525508147,619.610221458333,5303.260309884791,2.7383982263552227
17,IWB,17.7755,2.064808891532943,345.5288329123679,503.5553792134362,5676.613765099674,2.4443070423261255
18,SCHG,73.682,0.9640784001691017,619498.538580149,891305.5949187875,7773283.989921905,7.999753241131488
19,QQQM,54.47875,1.3420610279767593,49511.635393859084,91605.80379086155,530609.222144557,5.40662323801233
