,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,SPY,0.0,,,,0.0,
1,IVV,16.98,2.470567884699982,inf,1962.1238204454482,5435.035473582548,10.253084518896983
2,VOO,-7.265000000000001,0.0,0.0,0.0,-72.94001293231895,0.0
3,VTI,0.0,,,,0.0,
4,QQQ,-3.9,0.0,0.0,0.0,-59.801623129906,0.0
5,VEA,0.0,,,,0.0,
6,VUG,0.0,,,,0.0,
7,VTV,0.0,,,,0.0,
8,IEFA,0.0,,,,0.0,
9,AGG,0.0,,,,0.0,
10,BND,0.0,,,,0.0,
11,IWF,0.0,,,,0.0,
12,IJH,-1.82,,,0.0,0.0,0.0
13,IJR,0.0,,,,0.0,
14,VIG,0.0,,,,0.0,
15,IEMG,0.0,,,,0.0,
16,VWO,0.0,,,,0.0,
17,VGT,7.04,2.2167706093970034,87.6143544544363,225.2010683747663,623.8015065877302,3.3264795542940777
18,VXUS,-2.08,0.0,0.0,0.0,-5.893988980950193,0.39317479563493324
19,XLK,4.465,3.571837702441761,inf,68.88258701911172,314.3326531705308,2.624855372583326
20,GLD,0.0,,,,0.0,
21,IWM,6.260000000000001,3.1156438858703273,inf,77.1923093096606,473.4816748915348,5.081155833757916
22,VO,0.0,,,,0.0,
23,TLT,0.0,,,,0.0,
24,ITOT,0.0,,,,0.0,
25,RSP,-7.405,0.0,0.0,0.0,-63.67635689388933,0.0
26,BNDX,0.0,,,,0.0,
27,SCHD,-10.72,0.0,0.0,0.0,-84.24343142564878,0.0
28,IWD,0.0,,,,0.0,
29,VB,0.0,,,,0.0,
30,VYM,0.0,,,,0.0,
31,EFA,10.27,1.5051276808777985,1399.5544180111892,184.8756365186166,1887.460145643969,3.241386980195587
32,IVW,0.0,,,,0.0,
33,VCIT,7.8,2.8996389247054637,inf,435.3268466621067,1108.7870310751152,
34,QUAL,0.0,,,,0.0,
35,SCHX,10.8,2.406138830407819,inf,336.0009122314479,948.0099836863176,
36,XLF,-14.165,0.0,0.0,0.0,-96.97787814152427,0.0
37,SPLG,5.680000000000001,3.1893319289605926,inf,176.31917379690603,440.00592382937214,4.304366570179169
38,XLV,-3.895,0.0,0.0,0.0,-38.69846644395292,0.2605423091458321
39,SCHF,0.0,,,,0.0,
40,VEU,0.0,,,,0.0,
41,VT,-3.2649999999999997,0.0,0.0,0.0,-33.297004026836404,0.7458790401901213
42,IXUS,0.0,,,,0.0,
43,MUB,6.3,3.295284126317888,inf,162.3379957851712,659.3149648314718,2.673305670816039
44,XLE,-6.494999999999999,0.0,0.0,0.0,-67.29623483614229,0.0
45,IWB,0.0,,,,0.0,
46,VV,0.0,,,,0.0,
47,IWR,0.0,,,,0.0,
48,VNQ,3.9350000000000005,1.8651596542423523,16.749918072323176,84.08392139300099,142.1018271541719,3.444639540430469
49,DIA,-3.0949999999999998,0.05487005346530214,0.08682008253928891,0.1895354125024847,3.001157668477794,0.8010064205932912
50,JEPI,-1.5599999999999998,0.0,0.0,0.0,-30.24623098283682,0.0
51,VCSH,0.0,,,,0.0,
52,BIL,0.0,,,,0.0,
53,IVE,0.0,,,,0.0,
54,VTEB,0.0,,,,0.0,
55,BSV,0.0,,,,0.0,
56,MBB,0.0,,,,0.0,
57,LQD,0.0,,,,0.0,
58,QQQM,15.329999999999998,1.821358781152713,inf,848.87913226994,3897.4844342307833,6.212204644064932
59,SCHG,9.205,2.1863663944786005,90.19701031753544,188.33063470368108,651.7984749513012,7.5835533760844465
60,IEF,19.88,1.801100722994138,inf,2453.2403488957743,6268.191199821802,
61,SCHB,0.0,,,,0.0,
62,DFAC,0.0,,,,0.0,
63,VGIT,0.0,,,,0.0,
64,IUSB,0.0,,,,0.0,
65,IAU,0.0,,,,0.0,
66,VBR,0.0,,,,0.0,
67,DGRO,10.8,2.1043655100641603,inf,1029.7734734882424,2905.455009984407,
68,SPYG,6.265,2.3975948315285964,inf,224.54535626223526,958.5893728989962,2.5794489943144674
69,GOVT,0.0,,,,0.0,
70,USMV,0.0,,,,0.0,
71,JPST,0.0,,,,0.0,
72,SGOV,0.0,,,,0.0,
73,COWZ,0.0,,,,0.0,
74,SHY,0.0,,,,0.0,
75,TQQQ,0.0,,,,0.0,
76,SMH,-12.405,0.0,0.0,0.0,-92.67177786539125,0.0
77,SPYV,0.0,,,,0.0,
78,MGK,0.0,,,,0.0,
79,MDY,5.680000000000001,3.1893319289605926,inf,176.31917379690603,440.00592382937214,4.304366570179169
80,VONG,0.0,,,,0.0,
81,SPDW,-5.695,0.0,0.0,0.0,-41.981340153122126,0.0
82,SDY,0.0,,,,0.0,
83,IBIT,-3.7900000000000005,0.0,0.0,0.0,-58.734190217378625,0.0
84,IGSB,-5.175,0.0,0.0,0.0,-82.85023196723328,0.0
85,VGSH,0.0,,,,0.0,
86,VXF,0.0,,,,0.0,
87,VGK,-4.44,0.0,0.0,0.0,-25.220441363008295,0.23397515062590835
88,IUSG,0.0,,,,0.0,
89,DVY,0.0,,,,0.0,
90,XLI,0.0,,,,0.0,
91,BIV,-3.32,3.897516996318606,inf,7.870331521376384,36.360931628758905,0.29439982571465245
92,IYW,0.0,,,,0.0,
93,SHV,0.0,,,,0.0,
94,XLY,-3.2199999999999998,,,0.0,0.0,0.0
95,VHT,0.0,,,,0.0,
96,IUSV,0.0,,,,0.0,
97,ACWI,0.0,,,,0.0,
98,TIP,0.0,,,,0.0,
99,VMBS,-1.5599999999999998,0.0,0.0,0.0,-40.649902102390335,0.0
100,XLC,-3.2199999999999998,,,0.0,0.0,0.0
101,EEM,-0.86,0.34085323757073965,0.7233588104136711,1.7950848771963706,24.97156975745558,1.0083383495849048
102,SCHA,0.0,,,,0.0,
103,VBK,0.0,,,,0.0,
104,USFR,0.0,,,,0.0,
105,XLU,-1.17,0.0,0.0,0.0,-23.632785782616295,0.0
106,VOE,0.0,,,,0.0,
107,USHY,0.0,,,,0.0,
108,XLP,4.279999999999999,3.16024481721623,inf,72.86771044206002,452.8501778885085,2.434295262296819
109,FNDX,0.0,,,,0.0,
110,HYG,10.8,2.406138830407819,inf,336.0009122314479,948.0099836863176,
111,EMXC,0.0,,,,0.0,
112,EWJ,3.11,1.754111935694671,10.71926238528626,25.6538669074689,101.70141050827044,1.8300504658574743
113,JEPQ,-4.29,0.0,0.0,0.0,-63.3773786814432,0.0
114,EFG,-1.04,0.0,0.0,0.0,-29.31225183296895,0.0
115,EMB,0.0,,,,0.0,
116,MOAT,-4.32,0.0,0.0,0.0,-76.90002878834025,0.0
117,SOXX,-3.195,0.0,0.0,0.0,-27.61037029534792,0.0
118,EFV,0.0,,,,0.0,
119,IEI,-2.9899999999999998,0.0,0.0,0.0,-50.11406631596547,0.0
120,GDX,15.25,2.1537368557598384,427.22349146162634,540.4612540066298,2483.0794368682095,13.775861193276445
121,IWV,0.0,,,,0.0,
122,PFF,0.0,,,,0.0,
123,IWP,0.0,,,,0.0,
124,IDEV,0.0,,,,0.0,
125,VGLT,0.0,,,,0.0,
126,IGIB,1.35,4.401539430257681,inf,,56.042433348803655,
127,DGRW,0.0,,,,0.0,
128,SLV,0.0,,,,0.0,
129,VOT,0.0,,,,0.0,
130,FNDF,0.0,,,,0.0,
131,GBTC,-3.7900000000000005,0.0,0.0,0.0,-58.734190217378625,0.0
