,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,VUG,63.934999999999995,0.036103915082140815,34013.029013651554,113551.98075645235,3138543.224703872,2.852628052311551
1,VWO,53.82,0.82477712774063,13519.755379187714,16570.76903382938,275777.8100165662,4.574897230847237
2,VGT,69.895,0.5652856801456992,430341.23139703274,402087.55731624475,7438122.219706073,2.822429457304777
3,VXUS,30.495,1.0877429749364602,317.5432502855791,589.0648360512542,9535.708469000008,2.5164632760948416
4,XLK,112.43,0.32248657444608936,104270616.57056169,199444731.74740556,3836147574.718589,3.876194520011695
5,GLD,161.7,0.038769705285278254,5013612560.025084,13527288037.854662,329943939059.4498,6.024363209580736
6,IWM,90.275,0.7594895230942255,inf,168878038.3324362,3981592858.701421,2.2372143968702667
7,TLT,63.26500000000001,0.2663991819352609,1602112.7207930298,2728501.5683899284,51701083.94244838,2.355315242896784
8,SCHD,91.32000000000001,0.08408603604325857,1111834.8289272457,4729458.52076109,90416997.16850343,4.571761913654082
9,XLF,53.93,1.1198888939250529,150427.4488404306,65179.730858790914,778741.858058701,3.5914206658718872
10,IWB,42.135,0.5635956167919481,2800229.420522095,10515674.935550287,83592526.34349872,2.2774378919000595
11,VV,28.494999999999997,0.103804812809313,12868.497911324837,52756.53813928924,942543.2202317826,2.073981590300064
12,LQD,48.175000000000004,0.010897120983681946,348746.5213818107,548491.6565585441,10398811.843227856,7.676097189009843
13,DGRO,99.355,0.0004651072409216075,166286737847.15298,606895031064.2333,11644247456351.967,5.865830914418458
14,IAU,65.39,0.24782707771467063,545615.4428113638,597215.6851952183,11325627.153216526,5.859334727432676
15,COWZ,79.345,0.02497890617714422,107155996.82882102,216491567.3737201,4004182178.74137,4.490150908901325
16,SPYV,18.575,0.8582710982916831,1594.7141644728597,3594.630398431076,50105.27685534603,2.231499051311386
17,SMH,79.315,0.114595091606058,1006173.5714163504,2140175.3920287983,40769877.0198091,2.5579298398565813
18,MDY,84.57000000000001,0.00338597713781947,156822944.1124857,617537178.433222,11421836862.236612,3.4979679425911083
19,VGK,54.455,0.23462959978351644,27405.254244203203,49056.43458003249,1002171.8316620258,3.313216312678395
20,IUSV,39.95,1.2765498570456721,9542.751053708012,8018.920958183897,191458.37302580127,2.406371095532947
21,XLU,63.605000000000004,0.018768602356704724,278527.40232378856,974454.3852190292,19000836.207932368,2.817196279243536
22,VOE,49.625,0.04473904658625015,7780269.968786409,32418551.28028791,544793754.2652384,2.5491736227844086
23,FNDX,96.36,0.011368955244950121,1679724666.1795037,5918584761.843769,109468890240.11884,5.8220084701523
24,EWJ,85.735,0.1022216169417664,507902.46269921,1184107.3230725946,31923843.696902126,4.578530926240681
25,SOXX,98.86,0.019475960261958757,30159242.02384821,127174694.90360902,3233877892.5515075,3.2328154018230553
26,GDX,64.425,0.12453909164864631,2934817.121168476,7479565.668590988,180079497.9738372,3.657792411285975
27,FNDF,74.2,0.04216049190999068,36866762.599812,199642559.27519983,2236206110.7202234,4.741328418179493
28,IWS,42.205,0.9643578302131174,2223095.6414412013,5341624.150996161,38140949.03048127,2.9435172086901376
29,SLV,24.36,0.3026936291386707,4893.503432232861,14604.974655068065,208798.01273420197,2.1701867519436324
30,GSLC,31.330000000000002,0.7873660065825614,180297.37942700778,595930.9390074955,4452584.189843338,2.4307101586114386
31,VCLT,78.875,0.026215068813738546,2140301675.8324304,6589123198.51469,165219805574.69672,36.73658863758769
32,FTEC,34.705000000000005,0.002926825630488607,2066.480888612768,8138.328883658665,251162.27240478533,2.469861742738767
33,SPHQ,92.295,0.013819830250728705,3325415097.9253273,2758126769.90886,51013728584.23488,5.30243344411326
34,ESGV,44.035000000000004,0.19373427406212257,951571.8732560937,3959550.7338015675,60825072.44692459,2.7941625096609357
35,GLDM,42.265,1.0945719259713178,84732.5579601774,135251.44247071023,856437.1508771745,4.295333531738059
36,MGV,81.02000000000001,0.12109410015950642,76044691937.96873,93402604112.1199,789235787573.6957,3.6717204036508115
37,XBI,55.54,0.08633339855807488,24380.350434594995,91345.96850070039,1767652.5967631754,2.411649428371427
38,IBB,61.214999999999996,0.07253650574242587,102760.91325868247,274500.3947042643,6869173.086650096,6.79656606555463
39,PAVE,25.345000000000002,0.8398101641320237,316.65420918578087,846.4467454080735,17150.896952242816,2.061209432516675
40,PRF,63.805,0.005838647032988518,79982979.67842872,65988322.14910609,1246362098.37436,4.042950799139118
41,SCHH,14.965,0.8274829615055318,331.85079372777017,1533.9673329170023,16142.242614901534,2.3894379288737535
42,BBCA,47.305,0.03286330908071134,5138992.95190417,19315589.281645626,307977097.50880754,3.011846523397173
43,HEFA,28.675,0.5158892322689842,470.48785801338244,975.4658395860207,27511.7651061144,2.16943148179333
44,IJT,40.35,1.1506108353158804,27461.900976854606,56247.01722889791,545438.770736545,3.451734876025402
45,AVEM,54.644999999999996,0.06774669044550578,45800967.68803514,191860972.65516633,4875438117.575943,2.4860740531650802
46,SRLN,14.615,0.9852283571061831,883.4902149568438,2221.5571342090498,14431.593612496898,3.8077647100089993
47,MGC,27.805000000000003,1.6121115135608888,inf,262489.7782580063,774355.2538618427,27.847742607324477
48,ARKK,56.945,1.089890456471913,170007.37300722487,194359.71524045916,4718488.422254551,2.6593153445565965
