Fri Jun 18 01:13:09 2021    output.dat

         298323675 function calls (280643773 primitive calls) in 290.736 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 51567883   13.855    0.000   14.841    0.000 {built-in method builtins.isinstance}
 37168361    9.210    0.000    9.210    0.000 {method 'get' of 'dict' objects}
 23458524    5.815    0.000    5.815    0.000 {built-in method builtins.id}
 23196145    7.329    0.000    7.329    0.000 {built-in method builtins.getattr}
 19699354   16.378    0.000   16.378    0.000 {built-in method builtins.hasattr}
 19548770   12.186    0.000   28.496    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\dataclasses.py:1042(_is_dataclass_instance)
17593893/15639016   46.694    0.000   83.565    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
 17593893    5.571    0.000    5.571    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\dataclasses.py:1039(<genexpr>)
17593893/1954877   69.171    0.000  216.072    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\dataclasses.py:1078(_asdict_inner)
 16288451    3.861    0.000    3.861    0.000 {method 'append' of 'list' objects}
 15639016    3.181    0.000    3.181    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\copy.py:182(_deepcopy_atomic)
  3909754    2.327    0.000    8.914    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\copy.py:263(<genexpr>)
  3726632    1.961    0.000    1.961    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:775(<lambda>)
  2729075    0.726    0.000    0.726    0.000 {built-in method builtins.issubclass}
  1964290    0.355    0.000    0.355    0.000 {method 'keys' of 'dict' objects}
  1959656    2.200    0.000    2.552    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\construction.py:641(<genexpr>)
  1956591    0.613    0.000    0.613    0.000 {method 'values' of 'dict' objects}
  1954877    3.672    0.000    4.599    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\copy.py:242(_keep_alive)
  1954877    8.935    0.000   18.320    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
  1954877    9.329    0.000   16.513    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\dataclasses.py:1024(fields)
  1954877    3.332    0.000  221.361    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\dataclasses.py:1054(asdict)
  1864304    0.721    0.000    0.721    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:728(<lambda>)
  1361647    1.005    0.000    1.005    0.000 {method '__reduce_ex__' of 'datetime.datetime' objects}
  1159704    0.649    0.000    0.897    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\generic.py:30(_check)
   795496    0.363    0.000    0.363    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:987(<lambda>)
   640923    0.122    0.000    0.122    0.000 {method 'date' of 'datetime.datetime' objects}
   593230    0.558    0.000    0.558    0.000 {method '__reduce_ex__' of 'object' objects}
   558808    0.357    0.000    0.459    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:714(<lambda>)
424637/365539    0.256    0.000    0.304    0.000 {built-in method builtins.len}
   246915    0.270    0.000    1.372    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\base.py:254(is_dtype)
   221093    0.059    0.000    0.059    0.000 {method 'lower' of 'str' objects}
   203734    0.060    0.000    0.060    0.000 {method 'upper' of 'str' objects}
   195396    0.236    0.000    0.938    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:848(__iter__)
   184255    0.243    0.000    0.586    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\os.py:674(__getitem__)
   184255    0.083    0.000    0.112    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\os.py:740(check_str)
   184255    0.180    0.000    0.342    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\os.py:746(encodekey)
   178256    0.126    0.000    0.126    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\os.py:697(__iter__)
   172044    0.286    0.000    0.562    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1610(_is_dtype_type)
   170451    0.421    0.000    0.421    0.000 {built-in method numpy.array}
   167265    0.240    0.000    0.348    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\base.py:411(find)
   167265    0.310    0.000    0.740    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:1470(is_extension_array_dtype)
   135405    0.066    0.000    0.107    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:187(<lambda>)
   135405    0.064    0.000    0.064    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:185(classes)
   116289    0.194    0.000    0.667    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:201(is_object_dtype)
   106719    0.036    0.000    0.036    0.000 {method 'decode' of 'bytes' objects}
   104208    0.021    0.000    0.021    0.000 {built-in method builtins.ord}
    97173    0.075    0.000    0.307    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_asarray.py:23(asarray)
    82115    0.065    0.000    0.085    0.000 C:\Users\marin\workspace\ib-auto-trading\backtest\backtest_trades_all.py:740(<lambda>)
    74972    0.060    0.000    0.163    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
    74972    0.103    0.000    0.103    0.000 {built-in method _abc._abc_instancecheck}
    71691    0.015    0.000    0.015    0.000 {method 'strip' of 'str' objects}
    71685    0.121    0.000    0.547    0.000 C:\Users\marin\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:537(is_categorical_dtype)
