,da,op,hi,lo,cl,change,vol,mc,bias25,per,pbr,kaizan,kaizan_c,urizan,urizan_c,kashizan,kashizan_c,urikashizan,urikashizan_c,short_per
4,2019-10-04,850,856,838,846,0.0024,97700,211684600000,0.0628,57.37,0.79,244500.0,-3400.0,333300.0,34000.0,859728.0,54578.0,1193028.0,88578.0,0.003790803336662185
5,2019-10-07,847,853,836,847,0.0012,68800,211934900000,0.0561,57.44,0.79,244500.0,-3400.0,333300.0,34000.0,859728.0,54578.0,1193028.0,88578.0,0.0037908018735942025
6,2019-10-08,848,891,848,885,0.0449,273700,221443200000,0.0926,60.01,0.82,244500.0,-3400.0,333300.0,34000.0,859728.0,54578.0,1193028.0,88578.0,0.0037908017947717518
7,2019-10-09,875,879,864,871,-0.0158,110900,217940100000,0.0661,59.06,0.81,244500.0,-3400.0,333300.0,34000.0,859728.0,54578.0,1193028.0,88578.0,0.0037908025553810426
8,2019-10-10,875,894,865,880,0.0103,193300,220192100000,0.068,59.67,0.82,244500.0,-3400.0,333300.0,34000.0,859728.0,54578.0,1193028.0,88578.0,0.0037908019406690794
9,2019-10-11,888,912,885,910,0.0341,332600,227698600000,0.0938,61.71,0.85,217600.0,-26900.0,390800.0,57500.0,888011.0,28283.0,1278811.0,85783.0,0.004241141623180819
10,2019-10-15,928,935,917,923,0.0143,347500,230951500000,0.1001,62.59,0.86,217600.0,-26900.0,390800.0,57500.0,888011.0,28283.0,1278811.0,85783.0,0.004241140468886325
11,2019-10-16,937,966,929,933,0.0108,304100,233453600000,0.1015,63.27,0.87,217600.0,-26900.0,390800.0,57500.0,888011.0,28283.0,1278811.0,85783.0,0.0042411419785344925
12,2019-10-17,926,929,913,921,-0.0129,240100,230451000000,0.0785,62.45,0.86,217600.0,-26900.0,390800.0,57500.0,888011.0,28283.0,1278811.0,85783.0,0.0042411416353150995
13,2019-10-18,925,956,925,953,0.0347,253200,238458000000,0.1069,64.62,0.89,213200.0,-4400.0,401700.0,10900.0,868547.0,-19464.0,1270247.0,-8564.0,0.004224499874191681
14,2019-10-21,967,995,967,983,0.0315,325200,245964600000,0.1325,66.66,0.91,213200.0,-4400.0,401700.0,10900.0,868547.0,-19464.0,1270247.0,-8564.0,0.004224498976682011
15,2019-10-23,972,1000,967,997,0.0142,444200,249467600000,0.1394,67.61,0.93,213200.0,-4400.0,401700.0,10900.0,868547.0,-19464.0,1270247.0,-8564.0,0.004224499931053171
16,2019-10-24,995,1002,985,994,-0.003,185500,248717000000,0.1283,67.4,0.92,213200.0,-4400.0,401700.0,10900.0,868547.0,-19464.0,1270247.0,-8564.0,0.004224499000872477
17,2019-10-25,1009,1080,1009,1078,0.0845,765600,269735300000,0.2099,73.1,1.0,205000.0,-8200.0,468700.0,67000.0,922817.0,54270.0,1391517.0,121270.0,0.004741927830728867
18,2019-10-28,1100,1133,1082,1097,0.0176,633200,274489400000,0.2175,74.39,1.02,205000.0,-8200.0,468700.0,67000.0,922817.0,54270.0,1391517.0,121270.0,0.0047419286464249625
