,0
0,8306
1,4689
2,7201
3,5020
4,9984
5,8604
6,9501
7,8308
8,6723
9,8411
10,9434
11,7211
12,4755
13,4005
14,1605
15,6740
16,6178
17,8002
18,6752
19,7203
20,8316
21,3402
22,5401
23,4188
24,3436
25,9432
26,4502
27,8601
28,6472
29,4902
30,7261
31,8698
32,9433
33,2914
34,8591
35,8031
36,5406
37,7267
38,5411
39,4503
40,8410
41,6503
42,8058
43,6098
44,9831
45,7751
46,6758
47,8750
48,7167
49,9201
50,7733
51,3407
52,8802
53,8515
54,8053
55,7186
56,6301
57,8001
58,9613
59,3289
60,8801
61,7270
62,6501
63,7752
64,6326
65,8848
66,7182
67,8795
68,7202
69,9101
70,3861
71,2413
72,3099
73,8593
74,7731
75,6753
76,9202
77,4568
78,9503
79,2503
80,2768
81,6471
82,1802
83,6981
84,5802
85,6770
86,1803
87,8331
88,7205
89,8585
90,3659
91,3382
92,5803
93,6857
94,6920
95,6632
96,1928
97,4543
98,7762
99,7453
100,8766
101,9502
102,8267
103,9104
104,7272
105,6366
106,5108
107,9107
108,5301
109,7011
110,3086
111,8473
112,7013
113,4911
114,4751
115,6976
116,2802
117,6902
118,1812
119,2502
120,9506
121,7269
122,1332
123,6113
124,9508
125,4385
126,1963
127,6594
128,1925
129,4004
130,5713
131,6724
132,9005
133,7532
134,4519
135,4452
136,4901
137,9024
138,6754
139,8358
140,7012
141,3405
142,8725
143,8572
144,6479
145,6506
146,6473
147,9020
148,9531
149,6701
150,3197
151,9064
152,8233
153,9504
154,3038
155,4507
156,8697
157,3064
158,3003
159,9603
160,8309
161,4307
162,4528
163,8113
164,8035
165,4063
166,4680
167,7181
168,6952
169,8334
170,7004
171,4477
172,1893
173,8830
174,2427
175,4293
176,4062
177,8359
178,5019
179,4042
180,2337
181,5202
182,6967
183,9532
184,4536
185,9519
186,8714
187,4202
188,5201
189,6762
190,5938
191,3092
192,8630
193,4666
194,7974
195,7003
196,5110
197,5333
198,7741
199,6460
200,4506
201,2353
202,5334
203,7936
204,6971
205,9143
206,6141
207,8282
208,4204
209,4912
210,9021
211,8016
212,4523
213,2127
214,6727
215,6890
216,8252
217,4324
218,2931
219,8616
220,1808
221,4578
222,7911
223,8304
224,3401
225,4185
226,3941
227,9513
228,9509
229,7259
230,4182
231,4183
232,9142
233,7779
234,9697
235,4151
236,4565
237,8253
238,6954
239,9007
240,4661
241,6841
242,7180
243,8354
244,7747
245,2160
246,6448
247,5423
248,7342
249,6367
250,1801
251,8804
252,2371
253,7832
254,7912
255,4612
256,8570
257,9006
258,8524
259,6305
260,6481
261,1911
262,3563
263,9962
264,2002
265,2930
266,3105
267,6702
268,7735
269,2484
270,3632
271,3923
272,4205
273,5105
274,2929
275,6645
276,7701
277,8015
278,4091
279,2492
280,5233
281,2579
282,6963
283,4613
284,2158
285,2432
286,4732
287,5214
288,5711
289,6504
290,9517
291,7148
292,4704
293,9983
294,4587
295,6988
296,4714
297,5101
298,7956
299,5706
300,6925
301,8418
302,5901
303,8628
304,6268
305,6586
306,3962
307,9412
308,3048
309,4088
310,4927
311,3231
312,8905
313,2433
314,2212
315,9507
316,9684
317,9766
318,3387
319,8242
320,3291
321,3863
322,2181
323,9022
324,7732
325,6383
326,3626
327,4676
328,7518
329,1719
330,1821
331,7599
332,9735
333,2531
334,9505
335,5929
336,3186
337,8219
338,2784
339,4208
340,2587
341,6768
342,6861
343,9001
344,9048
345,6302
346,3141
347,7459
348,2471
349,7951
350,2267
351,2801
352,6630
353,2871
354,9009
355,9042
356,7337
357,8086
358,9404
359,3050
360,2170
361,5801
362,9041
363,3116
364,6361
365,4449
366,4768
367,1721
368,3088
369,5332
370,2269
371,2229
372,6869
373,6923
374,6996
375,7276
376,5991
377,6201
378,5631
379,3397
380,7545
381,4021
382,4043
383,4921
384,9076
385,3101
386,3765
387,1860
388,2412
389,4681
390,5727
391,6674
392,6703
393,7189
394,7240
395,5021
396,3673
397,4475
398,9449
399,2730
400,4061
401,4980
402,8876
403,5703
404,2282
405,6845
406,9147
407,8346
408,7246
409,7282
410,6315
411,6407
412,2317
413,9416
414,9602
415,1951
416,2702
417,9843
418,3288
419,6058
420,2875
421,2296
422,8609
423,6101
424,6370
425,3668
426,4480
427,4776
428,8056
429,9861
430,9364
431,8897
432,9706
433,3865
434,2121
435,3182
436,7867
437,5726
438,2809
439,6728
440,6965
441,9069
442,8368
443,3608
444,6480
445,6464
446,3635
447,3902
448,4478
449,4485
450,6191
451,9401
452,9468
453,1720
454,2685
455,7616
456,7550
457,9989
458,4272
459,4544
460,7816
461,5857
462,9008
463,9119
464,1419
465,1407
466,1942
467,2678
468,4631
469,4974
470,2175
471,9616
472,2501
473,6755
474,6804
475,6871
476,6997
477,6966
478,8377
479,8381
480,5541
481,6376
482,6324
483,6395
484,1973
485,3993
486,4443
487,4483
488,9719
489,1417
490,1820
491,1944
492,2651
493,8174
494,8136
495,4527
496,2897
497,5714
498,6670
499,6807
500,6849
501,1662
502,8600
503,7220
504,7730
505,7729
506,6143
507,6417
508,3774
509,3769
510,3994
511,1878
512,7564
513,7581
514,7606
515,7593
516,9832
517,9301
518,2154
519,2379
520,4849
521,6055
522,9716
523,6592
524,9533
525,9044
526,9045
527,7309
528,7177
529,6005
530,6013
531,6136
532,3762
533,7860
534,9418
535,1890
536,2782
537,7412
538,7575
539,4552
540,4186
541,7988
542,3880
543,2146
544,4290
545,6028
546,6544
547,6532
548,7085
549,7198
550,7984
551,6787
552,6951
553,7224
554,7313
555,6235
556,6146
557,6412
558,6432
559,4384
560,2670
561,8214
562,9997
563,2767
564,3167
565,3543
566,8020
567,9987
568,4028
569,4045
570,4047
571,4118
572,4401
573,4922
574,4996
575,3244
576,6027
577,6200
578,5232
579,8511
580,7994
581,2811
582,2810
583,2607
584,2264
585,6810
586,6999
587,9003
588,8341
589,8544
590,5463
591,6995
592,6273
593,6498
594,3694
595,3697
596,3978
597,4194
598,4684
599,1861
600,3222
601,7649
602,8227
603,3132
604,3107
605,3360
606,8088
607,4516
608,9303
609,8919
610,2331
611,2491
612,6062
613,6197
614,7164
615,7915
616,2206
617,5741
618,2593
619,6750
620,2270
621,6856
622,7718
623,9511
624,9065
625,9090
626,3433
627,5949
628,7278
629,7296
630,8595
631,8114
632,7744
633,8050
634,1333
635,6104
636,6103
637,6269
638,6323
639,6457
640,6465
641,4686
642,4716
643,9409
644,2695
645,3391
646,8179
647,8012
648,8060
649,4403
650,4917
651,4967
652,7970
653,8715
654,8923
655,6088
656,6183
657,9743
658,5702
659,5805
660,6508
661,2201
662,6875
663,5444
664,5930
665,3591
666,7780
667,6406
668,6436
669,2327
670,4348
671,4722
672,9759
673,1414
674,1926
675,1959
676,1961
677,1969
678,2681
679,3087
680,3349
681,7516
682,8218
683,8273
684,9842
685,3612
686,7613
687,8078
688,8133
689,8129
690,4530
691,4540
692,4549
693,4203
694,4189
695,4617
696,4369
697,7157
698,3254
699,8934
700,2150
701,2168
702,6035
703,6080
704,9678
705,5393
706,8439
707,8771
