da,strategy_name,code,weight
2021-05-07,shortSqueeze,7203,0.0
2021-05-10,shortSqueeze,5423,0.20209427301593455
2021-05-10,shortSqueeze,6200,0.10700121976050482
2021-05-10,shortSqueeze,2146,0.0454366885748554
2021-05-10,shortSqueeze,9416,0.1190527555519193
2021-05-10,shortSqueeze,5401,0.09918019089336955
2021-05-10,shortSqueeze,6532,0.04626988170503927
2021-05-10,shortSqueeze,5714,0.04449314780820526
2021-05-10,shortSqueeze,7516,0.05963749629601318
2021-05-10,shortSqueeze,5541,0.09662098345750875
2021-05-10,shortSqueeze,5727,0.1802133629366499
2021-05-11,shortSqueeze,5401,0.09672881879537448
2021-05-11,shortSqueeze,2170,0.22419912030520098
2021-05-11,shortSqueeze,4004,0.05877333106559997
2021-05-11,shortSqueeze,6532,0.04512625921381811
2021-05-11,shortSqueeze,5714,0.043393439690015946
2021-05-11,shortSqueeze,4849,0.0522828121585127
2021-05-11,shortSqueeze,5411,0.13055379282910795
2021-05-11,shortSqueeze,8050,0.08602400729764795
2021-05-11,shortSqueeze,5423,0.19709924066548792
2021-05-11,shortSqueeze,6028,0.06581917797923378
2021-05-12,shortSqueeze,6997,0.09227116409146101
2021-05-12,shortSqueeze,6787,0.06434395193084565
2021-05-12,shortSqueeze,5401,0.10452214949283309
2021-05-12,shortSqueeze,7752,0.23097062408994273
2021-05-12,shortSqueeze,1820,0.1013239306356063
2021-05-12,shortSqueeze,6532,0.04876203049245322
2021-05-12,shortSqueeze,5423,0.21297930187013875
2021-05-12,shortSqueeze,5714,0.046889599674352404
2021-05-12,shortSqueeze,7729,0.04144206897012624
2021-05-12,shortSqueeze,4849,0.05649517875224064
2021-05-13,shortSqueeze,6997,0.1095129724139571
2021-05-13,shortSqueeze,4189,0.10038033686506137
2021-05-13,shortSqueeze,8050,0.11032442806979914
2021-05-13,shortSqueeze,7732,0.16116709086951317
2021-05-13,shortSqueeze,6532,0.05787371333990516
2021-05-13,shortSqueeze,5401,0.12405317941702894
2021-05-13,shortSqueeze,6787,0.0763672757593375
2021-05-13,shortSqueeze,4849,0.06705187924239335
2021-05-13,shortSqueeze,6753,0.13803422530746587
2021-05-13,shortSqueeze,4477,0.05523489871553833
2021-05-14,shortSqueeze,6997,0.0808007380786576
2021-05-14,shortSqueeze,4189,0.07406250719433075
2021-05-14,shortSqueeze,6787,0.05634521746963769
2021-05-14,shortSqueeze,5401,0.09152877724851709
2021-05-14,shortSqueeze,4849,0.04947214209351436
2021-05-14,shortSqueeze,7915,0.1444707540065503
2021-05-14,shortSqueeze,7220,0.0753530354981241
2021-05-14,shortSqueeze,8050,0.08139944537757283
2021-05-14,shortSqueeze,6532,0.042700318054932254
2021-05-14,shortSqueeze,6727,0.30386706497816296
2021-05-17,shortSqueeze,7936,0.32005131459167185
2021-05-17,shortSqueeze,3182,0.06361726376564386
2021-05-17,shortSqueeze,4849,0.04600530468342362
2021-05-17,shortSqueeze,2150,0.08323253445437198
2021-05-17,shortSqueeze,4189,0.06887246165029351
2021-05-17,shortSqueeze,5930,0.2510605293006028
2021-05-17,shortSqueeze,2929,0.02114567807031354
2021-05-17,shortSqueeze,4477,0.0378974962861262
2021-05-17,shortSqueeze,6508,0.07838972384912105
2021-05-17,shortSqueeze,3962,0.02972769334843171
2021-05-18,shortSqueeze,7936,0.21595816307007729
2021-05-18,shortSqueeze,4449,0.025300462921805163
2021-05-18,shortSqueeze,5930,0.1694058679194388
2021-05-18,shortSqueeze,6191,0.03048753699620935
2021-05-18,shortSqueeze,4849,0.031042587978702577
2021-05-18,shortSqueeze,8219,0.09146261098862803
2021-05-18,shortSqueeze,4189,0.046472454965816166
2021-05-18,shortSqueeze,6787,0.035355278677323715
2021-05-18,shortSqueeze,7762,0.31961874408529684
2021-05-18,shortSqueeze,4004,0.034896292396701896
2021-05-19,shortSqueeze,7936,0.3599565894608942
2021-05-19,shortSqueeze,2150,0.09361029893786198
