,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,SPY,0.0,,,,0.0,
1,IVV,0.0,,,,0.0,
2,VOO,0.0,,,,0.0,
3,VTI,0.0,,,,0.0,
4,QQQ,0.0,,,,0.0,
5,VEA,0.0,,,,0.0,
6,VUG,0.0,,,,0.0,
7,VTV,0.0,,,,0.0,
8,IEFA,0.0,,,,0.0,
9,AGG,0.0,,,,0.0,
10,BND,0.0,,,,0.0,
11,IWF,0.0,,,,0.0,
12,IJH,0.0,,,,0.0,
13,IJR,0.0,,,,0.0,
14,VIG,0.0,,,,0.0,
15,IEMG,0.0,,,,0.0,
16,VWO,0.0,,,,0.0,
17,VXUS,0.0,,,,0.0,
18,VGT,3.992799999999916,2.233478569156281,inf,52.66611686891337,31.529419088495914,
19,XLK,13.196159999999932,1.593155875422157,inf,20.855615374803417,138.1342486488582,
20,GLD,0.0,,,,0.0,
21,IWM,0.0,,,,0.0,
22,VO,0.0,,,,0.0,
23,TLT,0.0,,,,0.0,
24,RSP,0.0,,,,0.0,
25,SCHD,0.0,,,,0.0,
26,ITOT,0.0,,,,0.0,
27,BNDX,0.0,,,,0.0,
28,IWD,0.0,,,,0.0,
29,EFA,0.0,,,,0.0,
30,VB,0.0,,,,0.0,
31,VYM,0.0,,,,0.0,
32,IVW,0.0,,,,0.0,
33,VCIT,0.0,,,,0.0,
34,QUAL,0.0,,,,0.0,
35,XLF,0.0,,,,0.0,
36,SPLG,0.0,,,,0.0,
37,SCHX,0.0,,,,0.0,
38,XLV,0.0,,,,0.0,
39,SCHF,0.0,,,,0.0,
40,VEU,0.0,,,,0.0,
41,IXUS,0.0,,,,0.0,
42,VT,0.0,,,,0.0,
43,MUB,0.0,,,,0.0,
44,XLE,-8.21325,0.0,0.0,0.0,-45.11420642237694,0.0
45,VNQ,0.0,,,,0.0,
46,VV,0.0,,,,0.0,
47,IWB,0.0,,,,0.0,
48,VCSH,0.0,,,,0.0,
49,IWR,0.0,,,,0.0,
50,DIA,0.316939999999915,0.1581178045764772,0.24893051656700818,0.6543122285571727,2.2397864854436067,1.1324702305584613
51,IVE,0.0,,,,0.0,
52,JEPI,0.0,,,,0.0,
53,VTEB,0.0,,,,0.0,
54,BIL,0.0,,,,0.0,
55,MBB,0.0,,,,0.0,
56,BSV,0.0,,,,0.0,
57,LQD,0.0,,,,0.0,
58,IEF,0.0,,,,0.0,
59,QQQM,0.0,,,,0.0,
60,SCHG,11.75783000000003,1.6770863535689675,inf,34.424183226956366,117.74376273010536,
61,DFAC,0.0,,,,0.0,
62,VGIT,0.0,,,,0.0,
63,IUSB,0.0,,,,0.0,
64,SCHB,0.0,,,,0.0,
65,DGRO,0.0,,,,0.0,
66,VBR,0.0,,,,0.0,
67,IAU,0.0,,,,0.0,
68,SPYG,0.0,,,,0.0,
69,GOVT,0.0,,,,0.0,
70,JPST,0.0,,,,0.0,
71,USMV,0.0,,,,0.0,
72,SGOV,0.0,,,,0.0,
73,COWZ,0.0,,,,0.0,
74,SHY,0.0,,,,0.0,
75,SPYV,0.0,,,,0.0,
76,MDY,2.463160000000076,2.368626524310752,inf,342.64863331974396,18.569835896534805,
77,SPDW,0.0,,,,0.0,
78,SDY,0.0,,,,0.0,
79,MGK,0.0,,,,0.0,
80,SMH,-14.24303999999992,0.0,0.0,0.0,-65.88969197944343,0.0
81,VONG,0.0,,,,0.0,
82,IGSB,0.0,,,,0.0,
83,IBIT,0.0,,,,0.0,
84,VGSH,0.0,,,,0.0,
85,DVY,0.0,,,,0.0,
86,VXF,0.0,,,,0.0,
87,VGK,0.0,,,,0.0,
88,XLI,0.0,,,,0.0,
89,BIV,0.0,,,,0.0,
90,SHV,0.0,,,,0.0,
91,IUSV,0.0,,,,0.0,
92,VHT,0.0,,,,0.0,
93,XLY,0.0,,,,0.0,
94,IUSG,0.0,,,,0.0,
95,ACWI,0.0,,,,0.0,
96,VMBS,0.0,,,,0.0,
97,TIP,0.0,,,,0.0,
98,XLC,0.0,,,,0.0,
99,IYW,12.840389999999841,1.6134515885108818,inf,27.66352862872698,132.94427934279415,
100,EEM,0.0,,,,0.0,
101,USFR,0.0,,,,0.0,
102,SCHA,0.0,,,,0.0,
103,VOE,0.0,,,,0.0,
104,USHY,0.0,,,,0.0,
105,XLU,0.0,,,,0.0,
106,VBK,0.0,,,,0.0,
107,XLP,0.0,,,,0.0,
108,HYG,0.0,,,,0.0,
109,FNDX,0.0,,,,0.0,
110,EMXC,0.0,,,,0.0,
111,EMB,0.0,,,,0.0,
112,EFG,0.0,,,,0.0,
113,MOAT,0.0,,,,0.0,
114,EWJ,0.0,,,,0.0,
115,JEPQ,11.256560000000041,1.7075456187759663,inf,22.088157288122005,110.99851241213518,
116,EFV,0.0,,,,0.0,
117,IEI,0.0,,,,0.0,
118,IDEV,0.0,,,,0.0,
119,PFF,0.0,,,,0.0,
120,VGLT,0.0,,,,0.0,
121,IWV,0.0,,,,0.0,
122,IGIB,0.0,,,,0.0,
123,DGRW,0.0,,,,0.0,
124,IWP,0.0,,,,0.0,
125,GDX,0.0,,,,0.0,
126,SOXX,-14.65298000000004,0.0,0.0,0.0,-67.01484475825956,0.0
127,FNDF,0.0,,,,0.0,
128,VOT,0.0,,,,0.0,
129,IWS,0.0,,,,0.0,
130,SLV,0.0,,,,0.0,
131,OEF,0.0,,,,0.0,
132,GBTC,0.0,,,,0.0,
133,VCLT,0.0,,,,0.0,
134,AVUV,0.0,,,,0.0,
135,ESGU,0.0,,,,0.0,
136,BBJP,0.0,,,,0.0,
137,GSLC,0.0,,,,0.0,
138,NOBL,0.0,,,,0.0,
139,IWN,0.0,,,,0.0,
140,VOOG,0.0,,,,0.0,
141,RDVY,0.0,,,,0.0,
142,USIG,0.0,,,,0.0,
143,JAAA,0.0,,,,0.0,
144,MINT,0.0,,,,0.0,
145,HDV,0.0,,,,0.0,
146,SCHV,0.0,,,,0.0,
147,SCHP,0.0,,,,0.0,
148,AAPL,29.37531999999989,1.2833842281128214,inf,37.166788313558165,506.6805320670457,
149,MSFT,7.0280100000000525,1.992591039447691,inf,13.500220010569569,60.872627029859075,
150,NVDA,-9.744580000000017,0.0,0.0,0.0,-51.21199713271651,0.0
151,GOOG,-3.155519999999946,0.0,0.0,0.0,-20.10417215523226,0.6815225246928571
152,GOOGL,5.931840000000054,2.0757003393424918,inf,5.540419429390939,49.68752625490818,
153,AMZN,25.694349999999993,1.5233325381859175,inf,290.02728797639213,395.6901570422398,
154,META,0.0,,,,0.0,
155,LLY,0.0,,,,0.0,
156,AVGO,-7.327080000000075,0.0,0.0,0.0,-41.29569768657954,0.1871781903875408
157,TSLA,0.0,,,,0.0,
158,JPM,-5.4150199999999025,0.0,0.0,0.0,-32.27402991549791,0.0
159,WMT,0.0,,,,0.0,
160,UNH,3.0389900000000925,2.3165754843791477,inf,46.32592242428268,23.31364956323125,
161,V,8.197200000000173,1.9083856905921766,inf,65.43944107837311,73.58498396513129,
162,XOM,0.0,,,,0.0,
163,MA,0.0,,,,0.0,
164,PG,0.0,,,,0.0,
165,JNJ,-8.16530999999988,0.0,0.0,0.0,-44.913224693786134,0.31450021911261744
166,COST,1.7698799999999464,1.3094473194650331,4.020956635091166,5.044401950481832,13.066731265963561,2.49076791457741
167,ORCL,-0.6586200000000244,0.0,0.0,0.0,-4.520239513601387,0.0
168,HD,1.1783400000000692,2.4901989929658965,inf,0.9024204744081282,8.545756214394817,
169,ABBV,4.552729999999981,2.186430973445777,inf,21.873878785695283,36.56758853303288,
170,ASML,-5.248639999999898,0.0,0.0,0.0,-31.435681150785435,0.0
171,BAC,0.0,,,,0.0,
172,KO,0.0,,,,0.0,
173,MRK,0.0,,,,0.0,
174,NFLX,14.232339999999807,1.7584089539866246,inf,31.205654805352204,153.81863987027677,
175,AZN,0.0,,,,0.0,
176,CVX,0.0,,,,0.0,
177,ADBE,2.5747200000000157,2.3584280823556725,inf,17.738915984895396,19.476469540676543,
178,PEP,0.0,,,,0.0,
179,CRM,24.754490000000164,1.806366359198003,inf,70.4058363497484,370.31983621237936,
180,TMO,3.601180000000284,3.2538496227097995,inf,6.532727544809893,28.101116168615526,
181,TMUS,0.0,,,,0.0,
182,AMD,3.0511799999998623,2.3154892353594914,inf,1.6524730425451253,23.415805931284606,
183,LIN,2.1369599999999482,2.3987676408448793,inf,,15.952600128342919,
184,ACN,-1.9920299999999989,0.0,0.0,0.0,-13.138013469513742,0.0
185,MCD,0.0,,,,0.0,
186,CSCO,0.0,,,,0.0,
187,ABT,0.0,,,,0.0,
188,WFC,0.0,,,,0.0,
189,PM,0.0,,,,0.0,
190,DHR,-4.645619999999966,0.0,0.0,0.0,-28.32222315507378,0.0
191,IBM,-0.2424500000000553,0.0,0.0,0.0,-1.6848555396513976,0.0
192,TXN,-6.656829999999886,0.0,0.0,0.0,-38.25840846852584,0.0
193,QCOM,-0.7408699999999808,0.0,0.0,0.0,-5.072236239274286,0.0
194,GE,4.493720000000059,2.1913306033053366,inf,13.009292256855852,36.02894601140585,
195,AXP,0.0,,,,0.0,
196,AMGN,1.326980000000025,2.475736033714557,inf,4.879516572110495,9.666931600060336,
197,VZ,0.0,,,,0.0,
198,INTU,0.0,,,,0.0,
199,NOW,7.009599999999947,0.8249990328549761,3.387999551579987,8.686896550988726,60.679023875968554,2.19643605889512
200,ISRG,0.0,,,,0.0,
201,BX,0.0,,,,0.0,
202,NEE,0.0,,,,0.0,
203,CAT,2.4312999999999736,2.371549265472381,inf,,18.311998928349205,
204,MS,0.0,,,,0.0,
205,DIS,-3.4051200000000827,0.0,0.0,0.0,-21.53449917319954,0.0
206,RTX,0.0,,,,0.0,
207,PFE,0.0,,,,0.0,
208,SPGI,-1.7881600000000182,0.0,0.0,0.0,-11.865299420546505,0.40406649644256676
209,UNP,0.0,,,,0.0,
210,GS,0.0,,,,0.0,
211,AMAT,-11.558850000000035,0.0,0.0,0.0,-57.67658844661144,0.0
212,UBER,13.669500000000015,1.5666093813124298,inf,19.267194773656534,145.19276301558216,
213,CMCSA,0.0,,,,0.0,
214,PGR,0.0,,,,0.0,
215,T,0.0,,,,0.0,
216,LOW,0.0,,,,0.0,
217,SYK,0.0,,,,0.0,
218,LMT,2.7450499999999156,2.3429636107380287,inf,90.65795058226585,20.87217996255488,
219,HON,0.0,,,,0.0,
220,TJX,0.0,,,,0.0,
221,ARM,-9.896539999999819,0.0,0.0,0.0,-51.784099929481144,0.8118831328876922
222,BLK,0.33907000000003606,0.5979544134632542,0.9616284234264665,0.7405464163512784,2.3977702794451883,1.2924036335623441
223,REGN,5.248800000000003,3.385457490617794,inf,36.97147132900348,67.97987150562899,
224,PDD,23.608359999999593,1.121807247253593,12.386676769600463,32.61782237827529,340.89473288338405,2.7644357197502596
225,BKNG,2.7105199999999603,1.7162459393211433,7.569308811901965,3.935114216272837,31.148239174338887,3.172318557848545
226,ELV,1.9424400000001478,1.3154744589746685,3.8694771335787466,5.683680405952403,21.53760179779569,2.164516085923018
227,COP,0.0,,,,0.0,
228,VRTX,0.041500000000087314,2.6044500817945058,inf,0.12672511911884457,0.2908619227607323,
229,PLD,-3.9626999999999244,0.0,0.0,0.0,-24.650635747789895,0.0
230,NKE,0.0,,,,0.0,
231,BSX,0.0,,,,0.0,
232,CB,0.0,,,,0.0,
233,SCHW,0.0,,,,0.0,
234,MDT,6.414800000000032,2.0385685487270684,inf,21.63823177294905,54.530507891008725,
235,C,0.0,,,,0.0,
236,ETN,2.495570000000138,2.3327775204970225,212.23169992981772,5.475744323341698,18.832617936383002,76.49201504715396
237,MMC,0.0,,,,0.0,
238,ADP,0.0,,,,0.0,
239,PANW,8.415560000000143,2.548690878113473,inf,49.17015148853798,76.05214543734871,
240,UPS,0.0,,,,0.0,
241,ADI,0.0,,,,0.0,
242,AMT,-13.09837000000004,0.0,0.0,0.0,-62.57210024436226,0.0
243,DE,4.727250000000102,2.1720200843712236,inf,199.7124077016022,38.171317195778286,
244,SBUX,13.062600000000035,1.6007402080917563,inf,36.63556010664148,136.17437691638406,
245,KKR,0.0,,,,0.0,
246,CI,-4.195069999999788,0.0,0.0,0.0,-25.917606514488945,0.0
247,ANET,1.4055899999999384,1.035194407962429,2.5533513744497074,1.7329298981202517,10.263880758177102,1.9678859263219541
248,HCA,0.9339400000000896,1.6896367663364618,6.51172289008174,17.472786039436993,6.7236291841840545,3.4399404479939237
249,BMY,0.0,,,,0.0,
250,MELI,-11.568889999999984,0.0,0.0,0.0,-57.71020940865541,0.0
251,BA,-7.3433600000000006,0.0,0.0,0.0,-41.367848403586116,0.0
252,MDLZ,0.0,,,,0.0,
253,KLAC,2.0128499999999767,0.8337415935732762,1.978444026761632,2.542569935642501,14.969903367385706,1.763501126446801
254,FI,0.0,,,,0.0,
255,LRCX,-13.23299999999997,0.0,0.0,0.0,-62.97610779954954,0.0
256,MU,0.0,,,,0.0,
257,GILD,0.0,,,,0.0,
258,SO,0.0,,,,0.0,
259,MO,0.0,,,,0.0,
260,ICE,0.0,,,,0.0,
261,SHW,1.3013100000001288,1.392737539228391,2.704367678170986,3.354100808299915,9.472599543859817,1.7149777004657683
262,DUK,0.0,,,,0.0,
263,CL,0.0,,,,0.0,
