,0
0,2802
1,2811
2,2875
3,2897
4,2206
5,2269
6,2002
7,2810
8,2914
9,2930
10,2931
11,2929
12,5714
13,5727
14,5703
15,5713
16,5706
17,2587
18,5726
19,5711
20,5702
21,2282
22,5741
23,5801
24,5805
25,5802
26,2267
27,5803
28,4062
29,4902
30,3105
31,6479
32,5857
33,2809
34,6503
35,2296
36,6448
37,6506
38,6508
39,2593
40,6501
41,6504
42,2607
43,2264
44,6594
45,6592
46,2801
47,6630
48,2871
49,6645
50,6632
51,2531
52,2201
53,6674
54,6740
55,6670
56,6724
57,2502
58,2212
59,2229
60,6702
61,6723
62,6701
63,6703
64,6727
65,6728
66,2503
67,6750
68,6762
69,6753
70,2579
71,2501
72,6755
73,6768
74,6758
75,6752
76,6770
77,6754
78,2270
79,6787
80,6810
81,6807
82,6804
83,6849
84,6857
85,6845
86,6841
87,6861
88,6869
89,6856
90,6925
91,6871
92,6890
93,6923
94,6920
95,6875
96,6952
97,6967
98,6951
99,6971
100,6999
101,6963
102,6996
103,7718
104,6976
105,6997
106,6965
107,7751
108,9501
109,9502
110,6966
111,9506
112,9508
113,9507
114,7752
115,7735
116,7276
117,9513
118,9509
119,9533
120,6954
121,9003
122,9504
123,9001
124,9005
125,6981
126,9020
127,9505
128,8035
129,9532
130,9519
131,9517
132,9503
133,9511
134,9021
135,9044
136,9531
137,9006
138,9008
139,9041
140,9009
141,9024
142,9007
143,9022
144,9042
145,9065
146,9048
147,9064
148,9142
149,9045
150,9143
151,9069
152,7167
153,9076
154,7337
155,7180
156,8309
157,9090
158,8306
159,7182
160,7189
161,8331
162,8308
163,8346
164,7186
165,8316
166,8334
167,8304
168,8341
169,8359
170,8358
171,8354
172,8368
173,8377
174,8418
175,8410
176,8524
177,1662
178,8381
179,8600
180,8411
181,8544
182,5406
183,8714
184,5444
185,5401
186,1605
187,5423
188,5463
189,5541
190,5411
191,3433
192,5901
193,3436
194,5929
195,5930
196,5938
197,5991
198,6902
199,6995
200,3116
201,6201
202,7003
203,5949
204,7203
205,7012
206,7202
207,7201
208,7224
209,7220
210,7205
211,7211
212,7246
213,7240
214,7261
215,7270
216,7148
217,7259
218,7282
219,7278
220,7269
221,7267
222,7296
223,7309
224,7272
225,7342
226,7313
227,8616
228,8473
229,7177
230,8609
231,8601
232,8604
233,8595
234,8628
235,8698
236,3101
237,3401
238,3402
239,3608
240,3591
241,6376
242,4543
243,8114
244,7701
245,8016
246,6235
247,7747
248,7732
249,7733
250,7741
251,7762
252,7744
253,7731
