,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
1,1928,142.898,0.224647312242524,301988.66042574146,397370.2282087953,11357022.983472615,5.823582231851789
3,7951,74.2385,0.1418279610734162,3126.516765435023,6419.249430551108,245174.29224464035,3.193009380175257
4,8954,51.9,0.7112660865771345,552.6221203783422,678.5877033172404,19292.238807180387,5.515259454524142
6,7164,87.981,0.2220613657131669,1506.2052407631952,3820.746782383189,173703.1699166514,3.1988623881468783
7,7564,62.795,0.1768777161892207,929.1806920402344,1687.0529401038484,46317.033570953536,5.107188859027903
8,3249,55.8,0.9330939586855408,1273.7547600762437,1117.7110152479447,26590.0822437962,16.147755795017535
10,6268,85.79299999999999,0.2540614911763039,4545.760455417275,7926.968720154369,425883.8602348127,3.095098281748337
11,8570,79.854,0.2944175151630499,1844.98262140392,3594.999428792464,119535.56585837224,3.813620295024721
12,7327,173.81,0.1303788581566162,630150.448322081,813578.5997940634,32498245.10050526,21.193765497697548
13,5741,157.525,0.0833645272967442,86682.59741490008,236906.8926089792,8076991.501066327,6.302766607693726
14,6371,57.66,0.0815449032244624,370.4210427977716,586.6566663877294,30894.96712555269,8.065486725663755
16,9934,67.51,0.2954642510561143,1055.4281020714177,1488.4180461703515,66414.03685066047,4.560686648523888
19,9861,110.3575,0.4333691698778571,19022.54925402897,58814.05078577893,1172826.5309789851,2.868404754148356
25,8987,86.6,0.1967532422173696,14129.374049992326,29766.69823011897,259011.48097400807,11.381098385412368
26,9682,85.925,0.3391706464066191,3016.243482556484,6937.121463488812,247446.138441868,14.1557995229753
27,8848,183.28,0.2839328911914625,1404334.991918328,1526489.4034798655,49879218.74800168,11.787182544626098
28,9936,77.79,0.5880852795807788,7544.492332255693,4311.466817512239,140774.49012568285,27.050900900900896
