,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
1,2503,22.761,0.9442325599719836,inf,274.3802364805639,1224.8333756492375,6.393113092116828
3,7731,36.5535,0.6278531000690304,329.9638424497302,901.1488127324344,4967.756434579076,10.272479923922338
4,4922,59.644,0.1555338534499884,2287.271542988175,2714.317628262477,36184.63597233566,15.868439067682722
5,5947,34.733999999999995,0.3768186957087224,330.6484184514517,766.6350767622672,4179.694438507881,11.388584724883533
7,1942,41.346,0.4914818638461288,534.5435569979683,740.928678117936,7726.586448845626,11.894597115591768
9,8410,42.60039999999994,0.30536357342795,3046.022611425037,1599.5142668866808,8648.253738202942,9.387311720404762
10,3282,6.0,2.3590018752482296,inf,72.25265156651184,108.37897734976788,5.008156606851532
12,8020,55.06,0.1166093895160865,654.7164212458573,773.8357504765654,25036.06110083854,4.127690195363684
13,9746,24.42,1.2696208333694428,inf,335.3827984159488,1468.9766570618542,6.880081300813051
15,8850,41.68,0.2540766867142728,504.37677317451073,490.4732853754573,7962.833788070548,4.022369169118117
16,4547,33.85,0.800823697124359,inf,873.0661513624407,3839.050345245444,13.339694656488437
17,2791,44.23,0.7839968945929986,1504.4235286674375,1577.1249925732377,9994.867064801718,24.27964344415457
18,3191,17.19,1.3698249544628318,inf,87.49938040621656,637.9398840432351,3.618573900148307
19,3863,42.813,0.1913106592444825,336.9807624429938,1084.850240218454,8814.018937415187,7.4935221972707025
