,0
0,8306
1,7201
2,8604
3,8308
4,8411
5,1605
6,3402
7,4188
8,8601
9,4902
10,5411
11,4503
12,6503
13,8058
14,9201
15,3407
16,8515
17,8053
18,7186
19,8001
20,6501
21,6326
22,8848
23,9202
24,4568
25,6981
26,1803
27,8585
28,7453
29,8766
30,9502
31,8267
32,7272
33,8473
34,4751
35,2802
36,1812
37,2502
38,1332
39,1925
40,4004
41,5713
42,9005
43,4901
44,9024
45,7012
46,8572
47,9531
48,8233
49,8697
50,8309
51,8035
52,4062
53,4042
54,6762
55,5938
56,3092
57,5110
58,6971
59,8016
60,4523
61,2127
62,6727
63,4324
64,8304
65,3401
66,9509
67,4183
68,9142
69,9697
70,6954
71,9007
72,7180
73,5423
74,7832
75,9962
76,2002
77,6702
78,6645
79,2579
80,4732
81,7148
82,4587
83,7956
84,8628
85,3048
86,2212
87,9507
88,9684
89,3387
90,4676
91,2531
92,6861
93,3141
94,2267
95,2871
96,7337
97,6361
98,2229
99,7276
100,3101
101,3765
102,5727
103,7189
104,5021
105,9449
106,2730
107,9147
108,6315
109,2317
110,1951
111,6058
112,6101
113,3668
114,8056
115,9861
116,9364
117,8897
118,9706
119,3182
120,7867
121,6965
122,3608
123,6480
124,4478
125,9401
126,9468
127,1720
128,7616
129,4272
130,9008
131,1942
132,4974
133,2175
134,9616
135,2501
136,6804
137,4483
138,1944
139,8136
140,6670
141,7730
142,6143
143,1878
144,7564
145,6055
146,6592
147,7177
148,9418
149,2782
150,4552
151,6028
152,6544
153,7984
154,6235
155,6412
156,2767
157,4028
158,4996
159,6200
160,2607
161,9003
162,6498
163,3978
164,4684
165,1861
166,3222
167,7649
168,9303
169,2331
170,6062
171,6197
172,2206
173,2593
174,2270
175,9065
176,9090
177,8050
178,6269
179,6323
180,9409
181,3391
182,4917
183,8923
184,6508
185,5444
186,3591
187,7780
188,6436
189,2327
190,1414
191,1959
192,1969
193,3087
194,8218
195,8273
196,9842
197,3612
198,7613
199,8129
200,4530
201,4369
202,3254
203,9678
204,5393
