,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
3,SCHD,103.99,0.3860347422961293,19520904.70986249,18538693.58684158,317627656.5770914,11.068624052487731
4,VCIT,13.725,1.7335623725633351,2196.1605961618943,2940.492850095986,10833.067031901372,6.209019972270726
5,XLF,68.33,0.4497505984237743,1269571.9387638809,2796316.796328707,49971492.85550101,3.2495539169264727
6,DIA,149.085,0.4537878734669033,inf,166359967886.20184,2991174768361.395,4.544609147391823
7,IUSB,19.5,1.444349639413927,inf,11576.873422921692,66569.70644415634,8.719869722315394
11,SPYV,18.02,1.3302838576832,2477.6988408051266,5006.143333955911,42203.83855431437,5.344402376043418
12,SMH,70.1,0.0886243482864928,855186.3281676434,2816188.1747652944,71955397.4379332,2.975839917296172
13,SDY,42.81,0.2050573793913556,1285451.543683315,3576982.804656689,44533684.07933591,3.123244619485951
18,EMB,20.54,0.8037881399149153,2185.436544665115,7873.164461895639,91372.03273992168,2.9572201415765207
22,NOBL,42.465,0.1082980070807503,462541.618564604,1537562.3913211566,40770646.0399284,3.515409489379883
24,SCHP,11.665,2.0656194427226664,inf,932.7375230948028,5510.131802607776,3.9275913606242288
27,VDE,53.595000000000006,0.1411591666598271,18761389.063364875,61547689.9549316,634984740.3374612,3.70554302696964
29,XBI,130.975,0.1901051586709999,3004742758.132084,1751885611.0027733,31615008875.47186,4.828230414776203
