Symbol,Balabce
MMYT,35596970128811.13
IONQ,18072442547732.875
TROO,13573979919805.033
PRTA,7137729267848.262
8237,5557058355984.28
OBE,5065944978610.437
7936,677766290924.6614
4568,373482898212.7643
2871,261500582320.1379
KLXE,124783822559.93353
SOHOO,85962102761.34102
2897,14630212485.272049
ITCI,10066455280.51831
7915,9706879655.122416
QD,6304774491.729736
6113,3139346849.339362
MIRM,2987328274.590625
LINC,2407016234.50811
4771,2264249529.9703126
4507,2119834235.7941694
CRK,1716244040.5534768
4832,1401880625.4108598
BKR,1381078020.7590144
FET,1245469978.8370707
7912,815153859.3431455
7063,744408216.7454996
8113,737740982.2311656
RAVE,561359199.3211942
6316,495274350.8570525
9119,390255127.82011414
NVEE,272804086.4081099
CVV,224540274.6895637
4671,195450203.84177047
7004,170442789.14722422
4264,158167799.81361714
TTI,122532429.98480959
7467,70303731.78974247
6763,38493843.61230316
7427,26163850.96279195
CBFV,16853199.50487884
PXS,15221960.601988178
1871,12329750.876973435
9708,9669591.421942145
SOTK,5842011.307062397
AAON,5341220.45907242
3030,4907119.934050362
4423,4499667.316904056
9024,3073137.7243549908
4503,1743986.0682323154
LDWY,899881.7294091022
8001,819378.7120557132
2801,765758.3094998251
9214,557857.8518802659
9206,471291.8253666753
4635,382832.10986999434
7110,298266.2093220109
2540,270926.7466037143
9749,224198.09474173747
9042,187033.69313896718
2802,112700.75254085379
VEL,95008.38394723536
XPON,87615.22158585921
8011,66722.75462858044
9115,52295.03674626527
7596,51471.38932188334
3387,39117.37087026541
9716,37994.602455848064
BFC,35231.79739938402
9213,27400.153494026537
9873,26000.89469772661
NDIV,16373.408017867658
9600,15936.553819645176
4464,10357.34795830328
SEIV,8607.002869789758
3199,6407.416295868858
4718,5415.60320986487
SMHI,1663.82479020383
8085,1341.7630271248631
ALVO,439.33349421447826
8198,415.2907107845615
7538,169.28957314984063
SELV,58.54073639946445
DVND,26.93509981714176
9853,26.00726517059575
FIXT,24.69540492492182
SLRN,13.821750634357834
4040,3.527111111111111
