symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
IVT,4648.7748814597,0,0.4046242774566474,7.498024002354355,0.97297,0.16,1.0
COSM,1904.9194013571182,0,0.26956521739130435,9.870048711694913,-0.67374,0.08,0.4
TOP,744.2546310505465,0,0.37037037037037035,3.9378551907436323,0.26066,0.46,0.5
DWAC,432.41873081921466,0,0.30742049469964666,0.9065382197467813,0.90645,0.47,1.0
3936,314.14127626713685,0,0.3286219081272085,0.5002249622088166,1.14401,6.0,0.5
AEHR,274.73471026488454,0,0.4276729559748428,0.43197281488189393,1.11462,0.62,1.0
VALU,241.19697141643772,0,0.27976190476190477,0.5254835978571628,0.2746,0.05,0.8333333333333334
OPGN,240.98142139315812,0,0.16017316017316016,0.8168861742140953,-0.36972,0.11,0.4
DIT,203.73580593833003,0,0.2204724409448819,0.3203393175130975,1.11462,0.1,1.0
ACIC,186.13784526640023,0,0.2782608695652174,0.2881390793597527,1.15006,0.04,0.5
9468,177.43234658872888,0,0.5454545454545454,1.068869557763427,-0.70138,110.0,0.4166666666666667
7373,173.16948495045511,0,0.3235294117647059,1.2281523755351427,-0.70328,40.0,0.4
SLN,157.34694353918908,0,0.23303834808259588,0.3172317410064296,0.40663,0.06,0.5
SANG,157.26827573019756,0,0.33152173913043476,0.36917435617417266,0.08932,0.03,0.4
3858,154.1911493913038,0,0.4090909090909091,0.9288623457307459,-0.70138,18.0,0.4166666666666667
YANG,150.58003565738605,0,0.4647887323943662,0.27731129955319717,0.67025,0.48,0.8
4178,150.2340342983806,0,0.46153846153846156,0.8837296135198859,-0.69278,84.0,0.45454545454545453
NRGU,126.92981035381038,0,0.19678714859437751,0.20605488693800386,0.94646,1.66,1.0
INDO,115.65133995663365,0,0.3235294117647059,0.29204883827432737,-0.03855,0.19,0.5
GDXU,111.54763307574324,0,0.3785310734463277,0.35077872036397245,-0.27671,0.52,0.5
2747,100.26036615227156,0,0.5517241379310345,0.5863179307150383,-0.69061,45.0,0.75
HUSA,88.46227804939676,0,0.3220338983050847,0.3363584716707101,-0.46659,0.05,0.6666666666666666
VVOS,84.76957141464247,0,0.10465116279069768,0.29639710284840026,-0.40378,0.05,0.5
CTGO,83.59732487427593,0,0.3167259786476868,0.13886598816324905,0.86212,0.04,0.75
ATLX,68.22737125819177,0,0.36428571428571427,0.3516874807123287,1.12781,0.28,0.5
SFWL,65.8088911044579,0,0.43548387096774194,0.62675134385198,0.73269,0.2,1.0
CAR,65.75073847337461,0,0.2606837606837607,0.10708589327911175,0.92042,1.31,0.3333333333333333
9204,61.71076485027878,0,0.75,1.9906698338799607,-0.66265,126.0,0.6666666666666666
3856,60.59151939629126,0,0.3316831683168317,0.0946742490567051,1.36772,40.0,1.0
FRGE,60.512352953996036,0,0.4782608695652174,1.5924303408946325,-1.78214,0.52,0.6666666666666666
RGC,59.63857922542887,0,0.2357142857142857,0.30273390469760847,-0.53806,0.07,1.0
VERA,58.88586216433827,0,0.11928429423459244,0.1042227648926341,0.87658,0.04,0.3333333333333333
BTU,57.25743096681323,0,0.5,0.13897434700682823,0.00233,0.79,1.0
OILU,55.80859903986274,0,0.34967320261437906,0.12319779037497294,0.94646,0.65,1.0
UEC,53.15983070037562,0,0.2286902286902287,0.08815892321787001,0.86596,0.03,1.0
ENSV,52.643788548240224,0,0.2857142857142857,0.15214967788508735,-0.19393,0.03,0.75
