symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
IVT,4850.416917684802,0,0.40053763440860213,7.393928228178051,-1.87448,0.16,0.0
7373,1133.042334564924,0,0.41841004184100417,2.7368172332486087,-0.36827,80.0,0
CNVS,1007.224557356928,0,0.154,1.7395933633107565,-1.85318,0.03,0.3333333333333333
VALU,572.3672920255817,0,0.2775,0.9988957976013643,-0.16913,0.05,0.3333333333333333
HUSA,553.5009883023191,0,0.29850746268656714,1.0118848049402542,-0.58992,0.04,0.4
9468,455.00052682884035,0,0.4647887323943662,0.7913052640501571,-0.57896,61.0,1.0
3083,379.6054153108926,0,0.38571428571428573,0.6390663557422435,-1.5421,28.0,1.0
HUDI,376.47668298439595,0,0.28199052132701424,0.661646191536724,-1.14543,0.12,1.0
RGC,354.2692096998444,0,0.2078853046594982,0.8640712431703522,-0.26006,0.07,1.0
YANG,341.1657524960708,0,0.4782608695652174,0.5611278823948533,-1.02199,0.48,1.0
DWAC,335.0676732332819,0,0.2979452054794521,0.6866140844944301,-0.56541,0.47,1.0
3936,333.39935436103644,0,0.34054054054054056,0.5921835779059262,-1.08978,11.0,1.0
AEHR,309.22751953248445,0,0.4229607250755287,0.47282495341358477,-1.00115,0.62,0
LABD,266.593762325685,0,0.403954802259887,0.46123488291641007,-0.4124,0.63,0.3333333333333333
COSM,212.29616888190935,0,0.3125,4.162669978076654,1.35576,0.16,0
ACIC,159.91082888764115,0,0.4915254237288136,0.7762661596487435,0.1789,0.1,1.0
5820,154.5068165105455,0,0.19522776572668113,0.2520502716322112,-1.01156,10.0,0.3333333333333333
GDXD,154.23250682877082,0,0.21782178217821782,0.29948059578402103,-0.4822,0.08,0.5
PNRG,131.82833105413533,0,0.28941176470588237,0.2037532164669789,-1.48897,0.03,1.0
7901,124.79996782184365,0,0.2742616033755274,0.23025824321373367,-0.09217,60.0,1.0
DTST,123.4728267718269,0,0.37681159420289856,0.2061315972818479,-1.29862,0.17,1.0
BTU,109.47702766192945,0,0.29473684210526313,0.20972610663204877,-0.10027,0.23,1.0
NINE,106.52763841659258,0,0.36531365313653136,0.2174033437073318,-0.24003,0.11,0
ZSL,95.40045188700691,0,0.458955223880597,0.19042006364672037,-0.00185,0.33,0.5
DIT,89.4121720297641,0,0.22062350119904076,0.17161645303217676,-0.03866,0.1,1.0
BDL,87.69762576951968,0,0.3155339805825243,0.13368540513646293,-0.47331,0.03,1.0
GDXU,73.01332537873441,0,0.175054704595186,0.13179300609879857,-0.05412,0.12,0
BHRB,70.03096708372348,0,0.4742857142857143,0.12394861430747518,-0.02082,0.14,0.5
AMPY,69.2993222213979,0,0.32603938730853393,0.11034923920604761,-1.37326,0.06,1.0
FXP,67.19544674096687,0,0.39465875370919884,0.1107009007264693,-0.88739,0.29,1.0
BBW,63.30705561740312,0,0.45569620253164556,0.0966519933090124,-0.71552,0.33,1.0
CAR,62.26556898344231,0,0.25,0.09653576586580202,-0.64162,1.31,1.0
NRGU,60.74761567281277,0,0.18636363636363637,0.11249558457928291,-0.04503,1.66,0.5
8139,57.00453329775557,0,0.3042168674698795,0.09375745608183482,-1.04121,9.0,1.0
1382,56.42932923610284,0,0.4482758620689655,0.10058703963654694,-0.41466,58.0,1.0
PECO,55.65754773046096,0,0.3984375,0.08484382275984903,-2.11408,0.24,1.0
VTNR,54.82938952463581,0,0.4398148148148148,0.10708865141530431,-0.29744,0.35,0.5
BIS,52.52030788901583,0,0.2904761904761905,0.08962509878671644,-0.77974,0.04,1.0
OILU,50.88526997966845,0,0.3343195266272189,0.10384748975442541,-1.12088,0.65,1.0
BORR,47.31278941152292,0,0.37815126050420167,0.077308479430593,-0.12235,0.08,0.5
RIG,46.00572282967908,0,0.40648379052369077,0.07396418461363197,-0.16885,0.08,1.0
VERA,43.91055034532999,0,0.11538461538461539,0.08870818251581816,-0.00011,0.04,1.0
HNRG,43.25420161164551,0,0.29473684210526313,0.06747925368431437,-1.22307,0.06,1.0
UEC,43.13983062779322,0,0.22156862745098038,0.06804389688926377,-1.91129,0.03,1.0
NRT,42.518998739153886,0,0.2556701030927835,0.06481554685846629,-1.60326,0.08,0.0
BPT,42.37111611074983,0,0.2909604519774011,0.0715728312681585,-1.39482,0.15,0.5
9107,41.85624253125727,0,0.48056537102473496,0.06622823185325517,-0.21705,57.0,1.0
3856,41.31144728968762,0,0.3467048710601719,0.07247622331524144,-0.35412,40.0,0
RCMT,40.49323699509967,0,0.4241379310344828,0.07416343771996277,-0.37233,0.24,1.0
4575,40.272140897545675,0,0.3782051282051282,0.08006389840466337,-0.22381,26.0,0.5
CTGO,39.59040567260551,0,0.34299516908212563,0.08129446750021666,-0.06099,0.03,0.0
7878,38.338615199562916,0,0.23934426229508196,0.06487075329875282,-0.81963,15.0,0.0
AMBI,37.73050098921707,0,0.4444444444444444,2.6950357849440763,1.76088,1.12,1.0
4393,36.62117505301534,0,0.35,0.08285333722401661,-0.02578,41.0,1.0
LEJU,36.46064143904266,0,0.36,0.20033319472001462,0.08302,0.2,1.0
6614,35.66383039709191,0,0.378839590443686,0.06780195892983253,-0.08288,48.0,0
AINC,35.65487801083842,0,0.21764705882352942,0.08369689673905732,-0.00486,0.06,1.0
PBT,35.544572431335546,0,0.22462203023758098,0.061178265802642934,-0.87337,0.04,0
BGI,35.271193072667046,0,0.3671875,0.05698092580398553,-2.7697,0.06,1.0
NVCT,34.723815983245345,0,0.17888563049853373,0.08448617027553612,-0.53506,0.04,1.0
4371,33.23337951483644,0,0.4634146341463415,0.06593924506911993,-0.81698,80.0,0
BGLC,32.725564675462294,0,0.38095238095238093,0.7437628335332339,1.07257,0.23,0
METC,31.983192012010534,0,0.28721174004192873,0.04875486587196728,-0.958,0.12,1.0
REPX,31.771134769578843,0,0.12072434607645875,0.056835661484040866,-0.09658,0.06,1.0
WTI,31.255355200731998,0,0.4580152671755725,0.061647643393948716,-0.46797,0.12,1.0
AMR,30.304190832232003,0,0.32018561484918795,0.04626594020188092,-0.6316,1.32,1.0
UNG,30.105442383970214,0,0.5029585798816568,0.059030279184255324,-0.40189,0.48,1.0
FLNG,29.953587884792615,0,0.46808510638297873,0.056730280084834495,-0.42722,0.35,0.4
APRE,29.837121372465937,0,0.30952380952380953,0.5144331271114817,0.96376,0.04,0.5
