,Symbol,Industry
0,WFRD,Oilfield Services/Equipment
1,RXDX,Biotechnology
2,AMR,Coal
3,EPOW,Packaged Software
4,SGML,Other Metals/Minerals_
5,MDIA,Broadcasting
6,CHRD,Integrated Oil
7,AREC,Coal
8,VTYX,Biotechnology
9,WDH,Insurance Brokers/Services
10,AVTE,Biotechnology
11,SGFY,Internet Software/Services
12,DEN,Integrated Oil
13,VAL,Contract Drilling
14,MRNA,Biotechnology
15,FRHC,Investment Banks/Brokers
16,BTAI,Biotechnology
17,VECT,Pharmaceuticals: Major
18,SITM,Semiconductors
19,SLVM,Pulp & Paper
20,FUTU,Investment Banks/Brokers
21,TTD,Packaged Software_
22,ASO,Specialty Stores
23,XPEL,Automotive Aftermarket
24,TRMD,Marine Shipping
25,BMEA,Pharmaceuticals: Major
26,SWAV,Medical Specialties
27,FLNG,Marine Shipping
28,BOWL,Movies/Entertainment
29,TMDX,Medical Specialties
30,SLI,Chemicals: Agricultural
31,NE,Contract Drilling
32,AADI,Biotechnology
33,DUOT,Packaged Software
34,INSP,Medical Specialties
35,LNTH,Medical Specialties
36,BNTX,Biotechnology
37,SPT,Packaged Software
38,SYM,Industrial Machinery
39,IMCR,Biotechnology
40,ISDR,Packaged Software
41,ENPH,Semiconductors
42,NUVL,Biotechnology
43,KRYS,Biotechnology
44,NET,Information Technology Services
45,TSLA,Motor Vehicles
46,INTA,Packaged Software
47,SHOP,Packaged Software
48,MDB,Packaged Software
49,ANVS,Pharmaceuticals: Major
50,ETSY,Internet Retail
51,PRVB,Pharmaceuticals: Major
52,KNSL,Multi-Line Insurance
53,UVE,Property/Casualty Insurance
54,INNV,Packaged Software
55,COCO,Food: Major Diversified
56,SSBK,Regional Banks
57,PRCT,Medical Specialties
58,ACMR,Industrial Machinery
59,BYRN,Aerospace & Defense
60,ASAI,Food Retail
61,ARGX,Pharmaceuticals: Other
62,SEDG,Electrical Products
63,AXNX,Medical Specialties
64,CYRX,Air Freight/Couriers
65,FIVN,Packaged Software
66,PDD,Internet Retail
67,QIPT,Services to the Health Industry
68,MNST,Beverages: Non-Alcoholic
69,WING,Restaurants
70,BGNE,Pharmaceuticals: Major
71,TERN,Biotechnology
72,KRTX,Pharmaceuticals: Major
73,APPF,Information Technology Services
74,VCTR,Investment Managers
75,HUBS,Packaged Software
76,SE,Internet Retail
77,NFLX,Internet Software/Services
78,EXPI,Financial Conglomerates
79,HZNP,Pharmaceuticals: Major
80,SMLR,Medical Specialties
81,PAYC,Packaged Software
82,ATKR,Electrical Products
83,ZS,Data Processing Services
84,NTES,Packaged Software
85,GLOB,Information Technology Services
86,CC,Chemicals: Specialty
87,BITF,Data Processing Services
88,AVGO,Semiconductors
89,MORF,Pharmaceuticals: Major
90,DAVA,Information Technology Services
91,AVNW,Telecommunications Equipment
92,PWSC,Packaged Software
93,KRUS,Restaurants
94,EVER,Internet Software/Services
95,BJ,Specialty Stores
96,CHK,Integrated Oil
97,NVEE,Engineering & Construction
98,CRWD,Packaged Software
99,EPAM,Information Technology Services
100,AXSM,Biotechnology
101,CRC,Integrated Oil
102,AMEH,Services to the Health Industry
103,BCYC,Biotechnology
104,PLL,Chemicals: Agricultural
105,MEDP,Miscellaneous Commercial Services
106,ANET,Computer Peripherals
107,IDYA,Pharmaceuticals: Major
108,KEN,Electric Utilities
109,NFE,Gas Distributors
110,ROAD,Engineering & Construction
111,FTNT,Computer Communications
112,BLD,Engineering & Construction
113,CCB,Regional Banks
114,RDVT,Packaged Software
115,GRIN,Marine Shipping
116,TRUP,Multi-Line Insurance
117,VIST,Oil & Gas Production
118,CMBM,Specialty Telecommunications
119,THRY,Advertising/Marketing Services
120,NOW,Packaged Software
121,TDG,Aerospace & Defense
122,ONTO,Electronic Equipment/Instruments
123,IBCP,Regional Banks
124,PAYS,Miscellaneous Commercial Services
125,BILL,Packaged Software
126,ASND,Pharmaceuticals: Major
127,CTVA,Chemicals: Agricultural
128,PLNT,Other Consumer Services
129,SQ,Information Technology Services
130,GMAB,Pharmaceuticals: Major
131,CDW,Information Technology Services
132,UI,Telecommunications Equipment
133,HPK,Integrated Oil
134,PCTY,Packaged Software
135,AXON,Aerospace & Defense
136,RACE,Motor Vehicles
137,NRDS,Packaged Software
138,SPSC,Packaged Software
139,MLTX,Pharmaceuticals: Major
140,AMRK,Investment Banks/Brokers
141,NVDA,Semiconductors
142,HCA,Hospital/Nursing Management
143,MDXG,Medical Specialties
144,TEAM,Packaged Software
145,ARES,Investment Managers
146,JKHY,Packaged Software
147,AMZN,Internet Retail
148,SITE,Trucks/Construction/Farm Machinery
149,WSC,Finance/Rental/Leasing
150,VRTS,Investment Managers
151,IBP,Engineering & Construction
152,WK,Information Technology Services
153,PANW,Packaged Software
154,INSW,Marine Shipping
155,YETI,Miscellaneous Manufacturing
156,NEO,Medical/Nursing Services
157,APO,Investment Managers
158,PYR,Environmental Services
159,ESTA,Medical Specialties
160,POOL,Wholesale Distributors
161,LEGN,Pharmaceuticals: Major
162,CLGN,Medical Specialties
163,ALGM,Semiconductors
164,AKRO,Pharmaceuticals: Major
165,MA,Miscellaneous Commercial Services
166,RCM,Miscellaneous Commercial Services
167,ULTA,Specialty Stores
168,MPWR,Semiconductors
169,DDOG,Packaged Software
170,BWMN,Engineering & Construction
171,IRTC,Medical Specialties
172,MTA,Commercial Printing/Forms
173,AAON,Industrial Machinery
174,CELH,Beverages: Non-Alcoholic
175,PEN,Medical Specialties
176,CERE,Pharmaceuticals: Major
177,BSVN,Regional Banks
178,BSIG,Investment Managers
179,ENSG,Medical/Nursing Services
180,LAC,Chemicals: Agricultural
181,NLSP,Pharmaceuticals: Major
182,OLK,Biotechnology
183,ISRG,Medical Specialties
