,Symbol
0,7203
1,9432
2,8306
3,9433
4,8035
5,4063
6,9434
7,6501
8,7974
9,8058
10,8001
11,8031
12,4519
13,7267
14,6902
15,2914
16,6981
17,6273
18,6702
19,5108
20,7751
21,6503
22,6752
23,6301
24,4901
25,8053
26,8002
27,8591
28,6971
29,6326
30,6723
31,6201
32,7269
33,3659
34,7309
35,4507
36,1925
37,1605
38,5401
39,7832
40,7201
41,6762
42,8015
43,9843
44,2503
45,8830
46,7270
47,4528
48,1928
49,6857
50,9101
51,6146
52,2587
53,5020
54,7202
55,3407
56,9143
57,6701
58,6988
59,5713
60,5802
61,3402
62,4324
63,9104
64,7272
65,9531
66,4716
67,6963
68,1878
69,4188
70,7259
71,5201
72,4091
73,9502
74,3092
75,2269
76,4021
77,5019
78,8593
79,6479
80,9697
81,7211
82,9766
83,9532
84,3003
85,5411
86,4204
87,1801
88,9501
89,6504
90,4005
91,1812
92,4062
93,9684
94,7912
95,1802
96,9107
97,3436
98,6724
99,7276
100,6532
101,7911
102,3288
103,7261
104,9147
105,9719
106,6305
107,7752
108,6806
109,3291
110,4183
111,8439
112,4185
113,7186
114,3231
115,2768
116,6976
117,6448
118,5333
119,4732
120,1803
121,6967
122,5334
123,3289
124,3861
125,4042
126,7013
127,2433
128,8572
129,5947
130,2371
131,6361
132,7012
133,1911
134,4403
135,7731
136,8303
137,1963
138,3391
139,6923
140,8227
141,4581
142,9989
143,7735
144,1808
145,6460
146,8060
147,4182
148,4004
149,8804
150,9831
151,6471
152,7459
153,9513
154,8905
155,2282
156,2331
157,6113
158,4088
159,3405
160,3116
161,9508
162,7164
163,6302
164,5101
165,6473
166,9506
167,6481
168,8088
169,8056
170,2327
171,1721
172,5803
173,5110
174,1944
175,6417
176,4202
177,7282
178,5444
179,5021
180,6728
181,6966
182,5901
183,9533
184,2784
185,7518
186,5929
187,9364
188,4061
189,8283
190,5711
191,8233
192,4205
193,5076
194,6770
195,4902
196,2810
197,8253
198,9987
199,6856
200,9404
201,6849
202,9065
203,5714
204,4186
205,8279
206,6592
207,9401
208,8424
209,2579
210,8919
211,3401
212,1973
213,5233
214,6951
215,5406
216,7716
217,8012
218,9301
219,4676
220,2206
221,5105
222,4631
223,5214
224,1959
225,8282
226,1951
227,4401
228,4540
229,3186
230,6141
231,5344
232,4118
233,9605
234,1662
235,5301
236,1860
237,4974
238,7240
239,7313
240,2379
241,6807
242,3132
243,8273
244,9076
245,4114
246,6925
247,3941
248,4686
249,7984
250,4206
251,2264
252,9744
253,2531
254,1820
255,3107
256,5463
257,4203
258,5991
259,4272
260,3148
261,6134
262,4980
263,6136
264,6754
265,7846
266,2296
267,2782
268,4208
269,4023
270,4887
271,9759
272,6436
273,1893
274,5471
275,2607
276,6425
277,5801
278,7729
279,1942
280,2121
281,5706
282,7732
283,7762
284,6674
285,8086
286,3050
287,9810
288,6707
289,4680
290,2317
291,8278
292,5423
293,3105
294,7966
295,1332
296,5393
297,6103
298,9303
299,5857
300,4544
301,5384
302,8425
303,1719
304,7817
305,6890
306,9072
307,6080
308,1417
309,4722
310,9934
311,2815
312,8129
313,6472
314,6432
315,9069
316,6641
317,8078
318,6323
319,4521
320,9436
321,9517
322,9682
323,9412
324,7839
325,4044
326,4626
327,6995
328,3222
329,7994
330,8242
331,4045
332,9507
333,9075
334,8850
335,9830
336,3591
337,7451
338,9409
339,3569
340,6407
341,4694
342,6960
343,9418
344,9787
345,3865
346,7419
347,6750
348,6368
349,9715
350,4043
351,8066
352,2659
353,6457
354,2730
355,8218
356,3765
357,8096
358,4534
359,8098
360,8020
361,4368
362,8050
363,3191
364,1969
365,1333
366,5481
367,9869
368,2001
369,2270
370,1979
371,7734
372,8130
373,9974
374,9948
375,4095
376,4041
377,8194
378,4547
379,2384
380,6371
381,7381
382,3167
383,8133
384,4996
385,4966
386,9505
387,7906
388,8154
389,4348
390,1941
391,7944
392,1861
393,9832
394,4848
395,7867
396,2395
397,6036
398,9672
399,8566
400,5232
401,3445
402,7222
403,3254
404,6135
405,2602
406,5741
407,1833
408,1766
409,3076
410,7943
411,4569
412,7516
413,4189
414,2281
415,6013
416,7970
417,1950
418,4553
419,2124
420,6622
421,7864
422,5192
423,3593
424,1926
425,4628
426,2726
427,4634
428,6183
429,9956
430,6744
431,7380
432,6652
433,4046
434,6670
435,6474
436,9119
437,7981
438,6996
439,6454
440,4471
441,5703
442,9509
443,9728
444,8276
445,4290
446,6866
447,2292
448,7148
449,9039
450,3101
451,6804
452,7744
453,3738
454,8051
455,6508
456,1949
457,9302
458,2685
459,6030
460,7485
461,7242
462,8198
463,2157
464,8616
465,8097
466,3668
467,1835
468,5273
469,6651
470,9110
471,3097
472,1961
473,8609
474,7915
475,9678
476,6420
477,9699
478,8155
479,4975
480,3110
481,9025
482,7545
483,3844
484,5186
485,6787
486,5310
487,4551
488,4293
489,3636
490,4369
491,2168
492,8074
493,6999
494,9882
495,8255
496,7595
497,9247
498,1890
499,6196
500,2353
501,5911
502,8892
503,9543
504,7976
505,6197
506,3465
507,7278
508,5930
509,6498
510,3028
511,7575
512,9058
513,3433
514,6737
515,2681
516,4781
517,4212
518,8022
519,5451
520,7599
521,6516
522,9551
523,1419
524,7740
525,1822
526,4549
527,4481
528,7433
529,4099
530,6376
531,6630
532,6222
533,7296
534,2760
535,3085
536,2733
537,8923
538,2588
539,6340
540,8841
541,6810
542,7508
543,5943
544,8032
545,3156
546,8140
547,2491
548,9997
549,5122
550,6379
551,7354
552,5975
553,2692
554,5946
555,9729
556,1946
557,9274
558,7224
559,6490
560,6287
561,3201
562,6929
563,9068
564,7613
565,4708
566,8508
567,7739
568,7250
569,6524
570,7826
571,9037
572,2742
573,5970
574,4956
575,6703
576,5480
577,5191
578,6459
579,5563
580,7917
581,8125
582,2109
583,2715
584,6741
585,7718
586,4423
587,8131
588,3002
589,8336
590,9790
591,6278
592,9842
593,8871
594,6632
595,6345
596,6284
597,1968
598,1762
599,7990
600,4326
601,6058
602,5988
603,4008
604,8168
605,5331
606,6455
607,8214
608,2874
609,4914
610,9511
611,5440
612,1663
613,4047
614,6101
615,7593
616,6871
617,6800
618,6088
619,6104
620,4997
621,2908
622,8934
623,4633
624,6877
625,7905
626,8167
627,9267
628,6409
629,7456
630,6486
631,4362
632,7606
633,3964
634,8739
635,9902
636,5702
637,5202
638,7483
639,8909
640,7226
641,6676
642,9260
643,9824
644,1515
645,4548
646,9692
647,9422
648,1934
649,4746
650,2429
651,9755
652,3540
653,8173
654,4216
655,6351
656,6875
657,5805
658,6315
659,2613
660,1954
