,Symbol
0,1518
1,6532
2,7808
3,1605
4,4595
5,6034
6,9384
7,6376
8,5401
9,9127
10,5021
11,7879
12,6070
13,5480
14,5019
15,9308
16,6772
17,6323
18,3772
19,7080
20,3384
21,8925
22,3465
23,6101
24,5423
25,9696
26,7081
27,9216
28,1911
29,7014
30,5284
31,7228
32,5217
33,8890
34,6967
35,1739
36,1662
37,3675
38,7826
39,9110
40,4980
41,5121
42,6315
43,3538
44,3034
45,8078
46,7361
47,9842
48,7567
49,9312
50,1879
51,6063
52,3853
53,2788
54,2768
55,8058
56,2497
57,6961
58,3765
59,8053
60,2491
61,7419
62,9768
63,3300
64,5753
65,2975
66,6941
67,4445
68,4491
69,3475
70,9428
71,3375
72,3948
73,6489
74,4022
75,5351
76,9359
77,6083
78,7242
79,6797
80,9562
81,3236
82,6542
83,5702
84,7305
85,3932
86,5757
87,3245
88,8877
89,4800
90,7705
91,6668
92,7050
93,9478
94,9564
95,3228
96,5127
97,5011
98,7605
99,2168
100,8699
101,2153
102,2984
103,8002
104,4262
105,3179
106,9386
107,2991
108,9302
109,8154
110,9066
111,5125
112,5967
113,5461
114,5184
115,6193
116,3970
117,6239
118,6871
119,3495
120,1430
121,6535
122,6804
123,9888
124,6480
125,7298
126,4251
127,6165
128,6989
129,6336
130,5334
131,7087
132,3442
133,7388
134,3489
135,6632
136,7464
137,7520
138,3467
139,3297
140,3355
141,7847
142,6627
143,7905
144,3294
145,7461
146,9049
147,3482
148,8935
149,2415
150,8137
151,9632
152,5352
153,1847
154,7377
155,6785
156,2425
157,4047
158,6265
159,3377
160,6890
161,6092
162,3374
163,9560
164,5999
165,1783
166,3143
167,5304
168,4365
169,1972
170,9769
171,5017
172,2410
173,9782
174,6960
175,4827
176,4992
177,7131
178,6392
179,3851
180,7599
181,3347
182,5464
183,7425
184,4183
185,2981
186,5458
187,9059
188,9249
189,9268
190,6490
191,9913
192,6337
193,4171
194,6484
195,8928
196,3035
197,1882
198,7671
199,4690
200,6516
201,9780
202,1770
203,2481
204,3246
205,5408
206,9068
207,5020
208,3546
209,7370
210,8023
211,7990
212,8798
213,6630
214,7417
215,2305
216,2763
217,1775
218,2185
219,8934
220,3437
221,6032
222,4216
223,2483
224,6507
225,3032
226,3288
227,6365
228,8117
229,4979
230,9691
231,3157
232,4242
233,9362
234,3321
235,8014
236,9220
237,8850
238,5803
239,2892
240,6231
241,3763
242,8893
243,5368
244,2693
245,6599
246,9882
247,3431
248,8072
249,9027
250,1771
251,9956
252,2999
253,1419
254,6789
255,7456
256,7791
257,5706
258,3176
259,9628
260,7792
261,7863
262,6779
263,8218
264,9857
265,9647
266,4317
267,7523
268,7134
269,3583
270,5290
271,3291
272,5079
273,8031
274,4349
275,9274
276,7369
277,4008
278,5714
279,3680
280,8001
281,6089
282,6125
283,3830
284,4350
285,4754
286,5126
287,8032
288,7272
289,2498
290,4556
291,5105
292,7928
293,6969
294,1850
295,8891
296,5393
297,6881
298,6874
299,3184
300,4063
301,6998
302,9381
303,7735
304,2902
305,7729
306,3261
307,9715
308,9698
309,4368
310,9867
311,9639
312,6538
313,6857
314,8015
315,3891
316,9365
317,7745
318,6666
319,2385
320,7986
321,7952
322,4834
323,8230
324,3925
325,7812
326,3132
327,2796
328,6677
329,6770
330,9273
331,6250
332,1716
333,9029
334,5451
335,6134
336,7374
337,7609
338,6623
339,3020
340,8999
341,8020
342,7347
343,4196
344,6488
345,4109
346,3177
347,9513
348,7217
349,1736
350,7467
351,9827
352,3023
353,9028
354,7211
355,1417
356,2987
357,6824
358,8029
359,7539
360,3447
361,1828
362,3955
363,4496
364,2122
365,9310
366,3393
367,5280
368,4041
369,1450
370,6946
371,3131
372,9997
373,4182
374,9326
375,6045
376,4082
377,7638
378,8085
379,1939
380,9856
381,1999
382,6997
383,9259
384,3280
385,1434
386,3254
387,4200
388,4247
389,9823
390,9896
391,1954
392,9687
393,4308
394,2418
395,3352
396,9702
397,4042
398,7259
399,1738
400,3943
401,6342
402,1723
403,9776
404,9684
405,5071
406,1909
407,7985
408,4433
409,6267
410,3405
411,9213
412,1808
413,6919
414,6778
415,4933
416,4463
417,7372
418,5991
419,3359
420,9906
421,3316
422,3433
423,4685
424,6962
425,5969
426,7715
427,4694
428,8159
429,9037
430,6417
431,7723
432,2462
433,9232
434,9739
435,3138
436,6038
437,1967
438,9242
439,3799
440,2480
441,4220
442,7718
443,4832
444,7781
445,4318
446,6798
447,7187
448,3036
449,5644
450,8886
451,6445
452,6331
453,2173
454,2792
455,7246
456,1333
457,6229
458,1966
459,4202
460,6050
461,9233
462,6486
463,3435
464,7804
465,9753
466,4932
467,8917
468,5563
469,6877
470,3666
471,3696
472,6800
473,7628
474,9967
475,7713
476,4976
477,6103
478,7126
479,9619
480,6307
481,7514
482,5331
483,8037
484,1384
485,6670
486,7673
487,3991
488,1921
489,7961
490,3771
491,7915
492,9890
493,7725
494,7525
495,6360
496,7820
497,7811
498,3918
499,7619
500,7509
501,1980
502,8860
503,5697
504,6037
505,3861
506,4238
507,9256
508,9275
509,4673
510,2924
511,5411
512,5957
513,4783
514,5388
515,5285
516,4963
517,6912
518,6158
519,1942
520,6855
521,2424
522,7130
523,6616
524,8043
525,5945
526,6351
527,9147
528,7296
529,4627
530,5984
531,9057
532,3464
533,6928
534,8282
535,4094
536,7989
537,7740
538,4028
539,3912
540,7944
541,9908
542,7041
543,8052
544,4335
545,8091
546,3539
547,3161
548,7551
549,9845
550,8157
551,6432
552,9534
553,6787
554,1758
555,3981
556,2750
557,4659
558,4848
559,4828
560,1946
561,1887
562,4366
563,9075
564,3477
565,9413
566,6652
567,7326
568,7472
569,2903
570,2736
571,8005
572,6458
573,6856
574,6664
575,1762
576,6556
577,4519
578,7483
579,3766
580,9685
581,2970
582,9467
583,7841
584,6578
585,6343
586,7488
587,7894
588,8173
589,6973
590,9960
591,2754
592,3612
593,3597
594,1870
595,7614
596,5471
597,6143
598,7261
599,9368
600,6658
601,4212
602,2749
603,6763
604,8076
605,3333
606,4027
607,6042
608,6554
609,1401
610,1515
611,5659
612,9765
613,6748
614,9367
615,2715
616,9260
617,5195
618,4046
619,4023
620,6061
621,3847
622,1795
623,4674
624,4118
625,2997
626,9831
627,5463
628,6381
629,3341
630,6091
631,1976
