Symbol,DividendGainPerDay
BHRB,0.019780966877283018
9432,0.004838620710542271
9104,0.0007390225114114929
AIV,0.0006926940823664741
MVO,0.0005827254951559504
PBR,0.0005367691779782271
PBR.A,0.0005286335773658672
9101,0.0005214999741464919
7974,0.00051712981212724
FLNG,0.0005133567684204799
AFG,0.0005043735494609515
CTO,0.0004609653332160052
SJT,0.00042208455582734116
VOC,0.00041633527905009834
VMW,0.0003898975859511776
ELP,0.00035735818067637117
ADX,0.00033162172751752305
9268,0.0003168785850789871
BPT,0.0003026251400419271
DDS,0.0002964174016150894
ICL,0.0002908323994480025
LPG,0.00028861397971148686
BBW,0.0002836624246116525
NRT,0.00028008639663326294
TX,0.00026997850514991336
PRT,0.00026786972459066075
USAC,0.0002678559191869817
4685,0.00026042579774179217
MTR,0.00026006937598307603
KRP,0.0002517781747433142
SBR,0.00024259320284890837
SCD,0.00023682669938220467
CRT,0.00023042861253746576
8103,0.00023035708786486696
INSW,0.0002238472967701987
GGB,0.00021464970405921018
PVL,0.00021220297954845072
5967,0.00021075053611854366
LND,0.0002092091636069844
CAPL,0.0002074041144025801
CCU,0.0002071479374533983
MPLX,0.0002031383105955406
CIG.C,0.00020296509285247
5384,0.00020042055042646616
DKL,0.0001966540252279298
CVI,0.00019560603545138502
7505,0.00019544375360334588
SUN,0.00019429077683692507
AM,0.00019338092659945067
6532,0.00019188168983920648
VCIF,0.00019130481074204118
2986,0.00019068423798412367
GLP,0.00018919861920210058
7175,0.00018312713431959106
ORI,0.0001807795450510685
NRP,0.00017955142444010284
GGN,0.000176830486028735
CIG,0.0001755555996625424
3293,0.0001743796155678764
FSK,0.00017305788800851905
KYN,0.0001721489838453593
MMP,0.00017214581412398672
HESM,0.00017178044028852486
9744,0.0001712253246497039
BSBR,0.0001673232057223888
ENB,0.0001662735092423883
BCC,0.00016461138004138223
ORCC,0.00016459449763906188
PBA,0.00016430361850623915
GPP,0.00016258244908649074
NS,0.00016160831898884393
FEI,0.00016143314019966833
IGD,0.0001603955591979872
FPL,0.00015832083138917684
ETY,0.0001575924096608095
SPH,0.00015470253332433594
DKS,0.0001542356675421638
BSM,0.0001523592661935485
GAM,0.00015210514792281927
6962,0.0001519394594389508
CTR,0.0001519146030077114
7203,0.00015150963885269422
5009,0.000151289059737613
FUND,0.00015062978151012663
ENLC,0.0001497182144711653
SAR,0.00014832221637969088
EPD,0.00014766561022842476
NTG,0.00014724980434811224
EMO,0.00014703604992500287
CEM,0.00014700265757112898
DNP,0.00014660457333291136
TK,0.00014588081929658897
ET,0.00014411149724319724
KMF,0.00014275484137138823
VIV,0.00014244650239274634
ORAN,0.00014203097734961145
VGR,0.00014192043755131142
TYG,0.00014135642813808787
PAA,0.000140320806794388
PAGP,0.00013871947335148408
OKE,0.00013829535200314704
ETRN,0.00013813817360113704
DIG,0.000136709546668314
PIPR,0.00013662416718305756
9110,0.00013535630524675468
BIP,0.00013448040125836017
HEP,0.0001332363458039202
MCN,0.00013309415430477376
TTP,0.00013196271123286588
7414,0.00013125885485764762
NMFC,0.00013012591919312402
TEO,0.00012832994572101539
2914,0.00012752149981034604
GER,0.00012720980601843552
EOG,0.00012645513546805407
FEN,0.00012348049021166407
KMI,0.00012339383999062173
FFA,0.00012338099918695757
MAIN,0.00012332518195615148
WES,0.00012268230117360674
9908,0.00012121920005567177
GNT,0.00012084604658598645
1975,0.00012050363329580434
E,0.00011948901716047997
FIF,0.00011758881513229174
GSL,0.0001166368872622872
3252,0.00011653307984899337
5355,0.00011583512216490638
PXD,0.00011576436628856075
SCM,0.00011559731715563065
8624,0.00011522575106534796
8934,0.00011484178151963794
NDP,0.00011422588795304895
CNQ,0.00011412192446850324
CQP,0.00011299663193823899
CEN,0.00011184958262068529
HIE,0.00011124751780311321
3948,0.00011080261859362668
4979,0.00011071739081090202
PEO,0.00011060548335071221
GSK,0.00011056093076478228
BMO,0.00010951293599525269
3847,0.000109278009889066
WPC,0.00010889765068612924
XOM,0.00010885091670382163
MLPR,0.00010884269312370318
GEL,0.00010846989578441295
NGG,0.00010797117013820202
TPZ,0.0001078036526638404
SFL,0.00010668861670750797
AROC,0.00010644544514615747
3475,0.00010572249058164738
BCE,0.00010567294893457012
PBT,0.00010513015550889723
BGT,0.00010419648351902331
FDEU,0.00010404896329903114
FRA,0.00010359352388808742
9274,0.00010356261497593508
7284,0.00010315158639653738
9369,0.00010276812758085754
DVN,0.00010240174084910357
7494,0.00010215255725544221
3294,0.0001013641917934583
6257,0.00010133406021521402
5969,0.00010130904321774769
DSX,0.00010066452690721851
3848,0.00010050135887284662
PM,0.00010043071720055009
SGU,0.0001002860215323269
DMLP,0.00010000526670732084
CGBD,9.945600499369374e-05
7637,9.931866739980415e-05
EPM,9.922645147983346e-05
CII,9.902460469032081e-05
GTY,9.879109617332986e-05
