,Symbol
0,4716
1,3391
2,3148
3,4272
4,6136
5,1419
6,5310
7,8155
8,2168
9,3201
10,6278
11,1887
12,2734
13,4187
14,2792
15,4714
16,6905
17,4577
18,2462
19,9308
20,7921
21,9837
22,9216
23,7420
24,2153
25,9369
26,4992
27,7600
28,9278
29,2975
30,7879
31,1376
32,7888
33,7725
34,3501
35,8908
36,6489
37,5967
38,4465
39,9765
40,3377
41,7713
42,1430
43,6083
44,3321
45,5942
46,6505
47,9651
48,8887
49,6496
50,7370
51,7434
52,2303
53,7673
54,2796
55,7808
56,8127
57,9265
58,3236
59,4430
60,8940
61,6492
62,2437
63,3892
64,4076
65,9366
66,2179
67,1401
68,4198
69,3645
70,7399
71,3297
72,8886
73,4735
74,4885
75,3035
76,6150
77,4673
