,Symbol
0,EGLE
1,LEU
2,NTES
3,VTLE
4,MNST
5,BAND
6,ZM
7,ARCT
8,AAPL
9,PAGS
10,SPWR
11,NSSC
12,BXC
13,NVRO
14,DAC
15,CHWY
16,UCBI
17,CIEN
18,KNTK
19,HOV
20,FUTU
21,PBF
22,BNTX
23,PDD
24,MRNA
25,VIR
26,CHX
27,GSHD
28,GILD
29,4251
30,HEI
31,CPRT
32,INMD
33,ACLS
34,OVV
35,AVNW
36,HAYN
37,RMR
38,9250
39,LOVE
40,NGVT
41,ARCH
42,SII
43,DAVA
44,DT
45,BABA
46,ZI
47,AVNS
48,9221
49,4074
50,RMAX
51,NGVC
52,ABNB
53,7375
54,6523
55,TW
56,DCBO
57,DOCS
58,ATHM
59,USM
60,EQBK
61,CNXC
62,ONTO
63,5132
64,TASK
65,7011
66,MP
67,BANL
68,CCSI
69,GXO
70,BZ
71,XPEL
72,4258
73,SHLS
74,NVEC
75,9563
76,5035
77,9565
78,5131
79,9227
80,4417
81,4072
82,KTB
83,5527
84,7110
85,9342
86,9562
87,WMG
88,7114
89,BEPC
90,4413
91,ASO
92,ZIM
93,JRVR
94,AZEK
95,4892
96,4447
97,SLVM
98,5126
99,BNRE
100,CRC
101,9552
102,5129
103,5034
104,CHK
105,2998
106,MSGS
107,5125
108,EMBC
109,5240
110,ZURA
111,DOW
112,9204
113,5127
114,ALC
115,LBRDK
116,LBRDA
117,DV
118,ESAB
119,7389
120,SSTK
121,2937
122,9564
123,9558
124,7388
125,9341
126,5461
127,5250
128,6501
129,5137
130,5831
131,7386
132,1444
133,OTIS
134,5139
135,9336
136,6971
137,CABO
138,SWAV
139,ATAT
140,SDRL
141,GEHC
142,NXT
143,KVUE
144,ATMU
145,GDHG
146,SFWL
147,SGE
148,CWD
149,CR
150,LW
151,SEB
152,ICG
153,ENLT
154,RYAN
155,ESMT
156,EE
157,BAM
158,SKWD
159,CLCO
160,AESI
161,C
162,ACDC
163,MSI
164,TPG
165,VTS
166,MCB
167,PYPL
168,MUSA
169,CRBG
170,EDR
171,GS
172,BIPC
173,CMG
174,FSV
175,RACE
176,CDRE
177,MCK
178,IQV
179,ALLE
180,RH
181,BBUC
182,WTW
183,IX
184,HLT
185,THC
186,CHTR
187,SITE
188,META
189,SAIC
190,ABBV
191,IZM
192,AMP
193,ZTS
194,FIVE
195,KIDS
196,MORN
197,CBOE
198,FLT
199,HII
