,Symbol
0,MDRRP
1,BANFP
2,MMU
3,AAT
4,OPBK
5,WAFD
6,OXM
7,JOUT
8,USPH
9,TT
10,VALU
11,GIC
12,GRC
13,FCAP
14,ENSG
15,LCII
16,MKTX
17,SAL
18,HIFS
19,GWW
20,TCI
21,BAFN
22,NC
23,UBP
24,ISDR
25,CBFV
26,TARO
27,DHIL
28,ITIC
29,CPHC
30,FNWB
31,UTMD
32,HURC
33,WASH
34,FNLC
35,FSTR
36,CWBC
37,FRME
38,BHB
39,FCBC
40,AUBN
41,OFLX
42,CVCY
43,PWOD
44,FGBI
45,DOV
46,AMOV
47,BCML
48,OVLY
49,RUSHB
50,HMNF
51,ESQ
52,MTRN
53,MLAB
54,ASA
55,IROQ
56,FNCB
57,LMAT
58,PIPR
59,HBT
60,SMBK
61,MGPI
62,UNTY
63,RVSB
64,MBCN
65,NKSH
66,ERIE
67,EML
68,FRBA
69,SMMF
70,PLPC
71,AMNB
72,WINA
73,SIM
74,HWKN
75,EBMT
76,FBIZ
77,NEU
78,CNMD
79,SXI
80,EBTC
81,BHV
82,BMRC
83,MBWM
84,CRAI
85,THG
86,MMI
87,OPOF
88,EVBN
89,RE
90,IPAR
91,KNSL
92,TCBK
93,ARTNA
94,BWFG
95,WTBA
96,HFBL
97,FSFG
98,UBA
99,RBC
100,MSA
101,CBAN
102,CCBG
103,TRNO
104,CHDN
105,CHCT
106,BBSI
107,LSTR
108,VABK
109,FSBW
110,FRST
111,BSIG
112,ESSA
113,OPY
114,MORN
115,FDBC
116,CSWI
117,CFFI
118,CBT
119,FWRD
120,MCBC
121,MTX
122,BRC
123,SHBI
124,HSTM
125,INBK
126,BCPC
127,MGRC
128,MRBK
129,SJW
130,SCL
131,PLBC
132,FNWD
133,ALTG
134,CNNB
135,BANF
136,CABO
137,AGM
138,NRC
139,LNN
140,GIB
141,TOWN
142,PGC
143,TSBK
144,CMCO
145,VSEC
146,FDS
147,ATR
148,ZIONO
149,PEBK
150,MNSB
151,ALG
152,NEWTL
153,FBMS
154,UNF
155,NWFL
156,CWT
157,SYBT
158,WABC
159,WERN
160,JJSF
161,CHE
162,ALX
163,CZFS
164,ALEX
165,SHOO
166,NRIM
167,TRS
168,GATX
169,ASH
170,HLI
171,KWR
172,AMTB
173,WTS
174,LFUS
175,QCRH
176,RCI
177,CTBI
178,LKFN
179,KFRC
180,IOSP
181,SFBS
182,LXFR
183,FUL
184,OFC
185,ATNI
186,EPAC
187,PCGU
188,PFX
189,ICFI
190,CNOB
191,TFX
192,FBNC
193,OCFC
194,SXT
195,ASTE
196,KAI
197,RUSHA
198,GTY
199,CIGI
