,Symbol
0,1605
1,5480
2,9384
3,8035
4,1662
5,3675
6,6146
7,4980
8,3538
9,6967
10,3034
11,9531
12,6083
13,5757
14,6961
15,9066
16,5019
17,8053
18,5334
19,3132
20,8154
21,3465
22,7599
23,8058
24,8877
25,3371
26,7905
27,6417
28,7740
29,8031
30,9842
31,6516
32,5071
33,5368
34,4694
35,9882
36,9268
37,2491
38,9068
39,2148
40,3291
41,6789
42,3964
43,6616
44,6165
45,3097
46,8015
47,2986
48,1909
49,8032
50,5331
51,9956
52,4044
53,5947
54,4220
55,4433
56,8917
57,4216
58,4360
59,3176
60,4519
61,4202
62,8020
63,5445
64,4189
65,3943
66,8218
67,3280
68,9055
69,1515
70,3405
71,3861
72,5991
73,8130
74,3276
75,7718
76,4395
77,7296
78,7516
79,6652
80,4182
81,3036
82,2924
83,8596
84,9543
85,4977
86,5463
87,9101
88,9070
89,2269
90,1942
91,3050
92,6371
93,6134
94,8871
95,7079
96,7267
97,6877
98,3173
99,9075
100,3449
101,1980
102,4095
103,7944
104,1812
105,5391
106,9513
107,5195
108,9605
109,6292
110,4507
111,9303
112,3201
113,6345
114,5451
115,3834
116,9795
117,9025
118,3539
119,6473
120,4471
121,3562
122,6407
123,5301
124,6188
125,3096
126,6999
127,3941
128,1934
129,8022
130,3105
131,5020
132,3166
133,4544
134,5930
135,6750
136,9099
137,9692
138,4114
139,1959
140,8037
141,6856
142,6653
143,6630
144,9880
145,8227
146,4112
147,4215
148,1946
149,5911
150,4828
151,3649
152,6136
153,6448
154,4272
155,6171
156,3924
157,7545
158,4212
159,2681
160,4626
161,6237
162,1663
163,7646
164,7955
165,1928
166,6718
167,9069
168,6301
169,2685
170,8194
171,9072
172,7739
173,8133
174,9143
175,8060
176,6996
177,3676
178,1941
179,8150
180,6995
181,3156
182,9948
183,7483
184,2975
185,7937
186,3421
187,4401
188,4088
189,6287
190,6988
191,1417
192,1721
193,6247
194,7269
195,3738
196,2602
197,5333
198,7811
199,8841
200,5384
201,8273
202,6332
203,7994
204,6197
205,8214
206,4633
207,6463
208,9145
209,7966
210,5946
211,8140
212,3636
213,6617
214,7282
215,7278
216,6282
217,7751
218,9729
219,6183
220,7976
221,7752
222,9433
223,8155
224,1951
225,7459
226,4732
227,6339
228,4045
229,3902
230,3231
231,7313
232,8068
233,4248
234,3933
235,4390
236,7367
237,4186
238,3640
239,4554
240,2932
241,8281
242,4204
243,7433
244,9432
245,5802
246,7958
247,3569
248,2914
249,9983
250,5201
251,1878
252,9533
253,3191
254,9301
255,4548
256,5108
257,9450
258,5909
259,9684
260,8098
261,6820
262,5857
263,7475
264,6060
265,6741
266,9889
267,8793
268,6201
269,5901
270,8919
271,1982
272,4203
273,7970
274,6914
275,7911
276,5186
277,1802
278,7974
279,7762
280,8276
281,9830
282,5214
283,9755
284,5943
285,8566
286,7259
287,1803
288,4061
289,2899
290,5110
291,7203
292,9386
293,4526
294,9434
295,8217
296,6140
297,5975
298,9787
299,3116
300,3580
301,7226
302,7287
303,4914
304,9672
305,3418
306,7984
307,4206
308,7942
309,3593
310,7240
311,3402
312,9551
313,6470
314,8185
315,2915
316,2354
317,4725
318,6340
319,4547
320,4116
321,4634
322,2613
323,7191
324,2001
325,2503
326,9869
327,4636
328,7224
329,6326
330,2485
331,5444
332,2326
333,7914
334,5122
335,8424
336,5949
337,7940
338,8278
339,7817
340,3802
341,7677
342,4403
343,4506
344,6923
345,8096
346,3168
347,7649
348,6436
349,6806
350,4901
351,2692
352,4246
353,9719
354,2121
355,3167
356,1969
357,7961
358,6368
359,6651
360,6807
361,7128
362,7458
363,3407
364,1979
365,6737
366,8593
367,2874
368,6222
369,2588
370,8056
371,8285
372,4551
373,4578
374,2327
375,6412
376,8802
377,4516
378,8233
379,8706
380,4021
381,3148
382,3391
383,4708
384,6471
385,7222
386,3865
387,6419
388,6264
389,4534
390,9031
391,7239
392,9832
393,8624
394,9697
395,4553
396,5192
397,6762
398,8801
399,9987
400,1961
401,2908
402,3141
403,6273
404,9746
405,9267
406,8905
407,7732
408,4951
409,7775
410,4062
411,7912
412,2784
413,9532
414,2573
415,2206
416,2815
417,4481
418,8086
419,1973
420,9511
421,3648
422,6395
423,9843
424,4005
425,4228
426,3151
427,2186
428,1414
429,8425
430,8242
431,4091
432,9989
433,7279
434,7381
435,4521
436,8279
437,6481
438,9793
439,7186
440,2607
441,8368
442,1377
443,8544
444,6460
445,8283
