,Symbol
0,JPM/PJ
1,JPM/PD
2,JPM/PC
3,JPM/PK
4,JPM/PL
5,JPM/PM
6,BAC/PK
7,BML/PL
8,BML/PJ
9,BAC/PB
10,BAC/PN
11,BAC/PQ
12,MER/PK
13,BAC/PS
14,BAC/PO
15,BML/PH
16,BAC/PM
17,BAC/PE
18,BML/PG
19,BAC/PL
20,BAC/PP
21,DHR/PB
22,WFC/PA
23,WFC/PQ
24,WFC/PZ
25,WFC/PC
26,WFC/PD
27,WFC/PY
28,WFC/PL
29,WFC/PR
30,MS/PF
31,MS/PA
32,MS/PP
33,MS/PK
34,MS/PE
35,MS/PL
36,MS/PI
37,MS/PO
38,SCHW/PJ
39,SCHW/PD
40,NEE/PP
41,NEE/PQ
42,NEE/PR
43,RY/PT
44,T/PA
45,T/PC
46,GS/PC
47,GS/PA
48,GS/PD
49,GS/PJ
50,GS/PK
51,C/PJ
52,C/PK
53,DUK/PA
54,USB/PS
55,USB/PP
56,USB/PH
57,USB/PA
58,USB/PR
59,USB/PQ
60,BSX/PA
61,TFC/PI
62,TFC/PR
63,TFC/PO
64,MET/PE
65,MET/PF
66,MET/PA
67,PSA/PH
68,PSA/PL
69,PSA/PI
70,PSA/PP
71,PSA/PO
72,PSA/PS
73,PSA/PR
74,PSA/PM
75,PSA/PF
76,PSA/PN
77,PSA/PJ
78,PSA/PQ
79,PSA/PG
80,PSA/PK
81,F/PD
82,F/PC
83,F/PB
84,KKR/PC
85,AIG/PA
86,COF/PI
87,COF/PJ
88,COF/PN
89,COF/PL
90,COF/PK
91,SPG/PJ
92,ET/PD
93,ET/PE
94,ET/PC
95,ALL/PI
96,ALL/PG
97,ALL/PB
98,ALL/PH
99,STT/PG
100,STT/PD
101,DLR/PJ
102,DLR/PL
103,DLR/PK
104,APTV/PA
105,MTB/PH
106,FRC/PI
107,FRC/PN
108,FRC/PM
109,FRC/PH
110,FRC/PL
111,FRC/PK
112,FRC/PJ
113,HIG/PG
114,RJF/PA
115,RJF/PB
116,RF/PB
117,RF/PE
118,RF/PC
119,CFG/PE
120,BIP/PB
121,BIP/PA
122,MAA/PI
123,KEY/PI
124,KEY/PK
125,KEY/PL
126,KEY/PJ
127,WRB/PE
128,WRB/PH
129,WRB/PG
130,WRB/PF
131,CMS/PC
132,HWM/P
133,SYF/PA
134,KIM/PL
135,KIM/PM
136,FHN/PE
137,FHN/PC
138,FHN/PB
139,FHN/PF
140,FHN/PD
141,AMH/PH
142,AMH/PG
143,GL/PD
144,EQH/PA
145,EQH/PC
146,REXR/PC
147,REXR/PB
148,NI/PB
149,NLY/PG
150,NLY/PF
151,NLY/PI
152,WBS/PF
153,WBS/PG
154,RNR/PG
155,RNR/PF
156,FRT/PC
157,DCP/PC
158,DCP/PB
159,CFR/PB
160,WAL/PA
161,WCC/PA
162,BEP/PA
163,CLVT/PA
164,VOYA/PB
165,SF/PD
166,SF/PC
167,SF/PB
168,NYCB/PA
169,ADC/PA
170,SNV/PD
171,SNV/PE
172,BC/PA
173,BC/PC
174,BC/PB
175,SRC/PA
176,LNC/PD
177,AXS/PE
178,NSA/PA
179,FNB/PE
180,GTLS/PB
181,CADE/PA
182,AL/PA
183,RITM/PD
184,RITM/PB
185,RITM/PC
186,RITM/PA
187,VNO/PO
188,VNO/PN
189,VNO/PM
190,VNO/PL
191,ATCO/PH
192,ATCO/PI
193,ATCO/PD
194,TRTN/PB
195,TRTN/PC
196,TRTN/PD
197,TRTN/PA
198,TRTN/PE
199,AEL/PB
200,AEL/PA
201,GRP.U
202,SR/PA
203,ASB/PF
204,ASB/PE
205,HL/PB
206,EPR/PE
207,EPR/PC
208,EPR/PG
