,Symbol
0,IWM
1,ZIM
2,CHK
3,JEPQ
4,RTLPO
5,PARAP
6,FRMEP
7,QPFF
8,POWWP
9,NXG
10,XRMI
11,AESC
12,SJIV
13,FTAIN
14,SVOL
15,MHNC
16,FTAIP
17,TANNL
18,ONBPO
19,ZIONL
20,AEPPZ
21,SIHY
22,HISF
23,FTAIO
24,UGIC
25,AQNU
26,SQFTP
27,LQDB
28,RTLPP
29,BWSN
30,DTM
31,TANNI
32,AUVIP
33,NSS
34,TANNZ
35,BOAT
36,ONBPP
37,XOMAO
38,NIMC
39,RBCP
40,STR
41,3808
42,3346
43,2928
44,5343
45,2467
46,6295
47,3047
48,2172
49,3739
50,3032
51,1449
52,5607
53,7870
54,8594
55,3136
56,5356
57,1738
58,3775
59,5342
60,3384
61,4827
62,6439
63,9402
64,1777
65,8559
66,1771
67,3055
68,8554
69,5993
70,8996
71,9359
72,1832
73,3824
74,8190
75,6655
76,3066
77,2976
78,9035
79,6025
80,3504
81,3442
82,4250
83,2137
84,9942
85,3260
86,2058
87,2974
88,3849
89,3057
90,7227
91,8560
92,7533
93,3952
94,8228
95,6076
96,5039
97,9357
98,6846
99,9471
100,7076
101,1869
102,3977
103,4995
104,3830
105,4834
106,6142
107,8398
108,1734
109,5461
110,2902
111,4018
112,6797
113,7441
114,3419
115,9664
116,7488
117,7675
118,7894
119,5953
120,9223
121,2218
122,8540
123,6111
124,8145
125,1999
126,8071
127,1553
128,9040
129,9085
130,9027
131,2919
132,6623
133,1892
134,4349
135,2551
136,5979
137,9407
138,7950
139,7485
140,9643
141,COMS
142,SMMT
143,WISA
144,GOSS
145,COSM
146,STRY
147,VTGN
148,VVNT
149,MULN
150,TQQQ
151,GIIX
152,SOXL
153,AAC
154,KAL
155,SQQQ
156,MEIP
157,CEI
158,TIP
159,FXI
160,EEM
161,NIO
162,OTIC
163,XPEV
164,VMEO
165,CPHI
166,YMM
167,SPY
168,HLBZ
169,BOIL
170,BNGO
171,NUWE
172,RDHL
173,AMZN
174,TMF
175,KOLD
176,QQQ
177,SPXU
178,SFIX
179,TSLA
180,ROCG
