,Symbol
0,7485
1,2928
2,9357
3,6623
4,1869
5,9035
6,9942
7,2902
8,8228
9,9027
10,3830
11,9359
12,7675
13,6076
14,3055
15,9402
16,1832
17,8190
18,9407
19,3504
20,7488
21,7441
22,6797
23,9664
24,7533
25,9085
26,2551
27,8398
28,9471
29,1892
30,5993
31,7227
32,2919
33,8071
34,5607
35,1777
36,3952
37,3057
38,3066
39,9223
40,5979
41,6111
42,8540
43,8560
44,9643
45,5356
46,8554
47,7950
48,6295
49,6142
50,2218
51,8145
52,8594
53,3739
54,5343
55,2058
56,7076
57,8559
58,6655
59,1771
60,2974
61,7894
62,2467
63,4827
64,7870
65,9040
66,3775
67,3419
68,1738
69,5342
70,5075
71,1999
72,2137
73,3849
74,5953
75,3346
76,4018
77,3260
78,6025
79,4834
80,3808
81,4995
82,6439
83,3442
84,3032
85,1734
86,3384
87,2976
88,6846
89,3977
90,3136
91,2172
92,1449
93,3047
94,3824
95,4250
96,BRK.A
97,BRK.B
98,PBR.A
99,BF.A
100,BF.B
101,LEN.B
102,MKC.V
103,HEI.A
104,EBR.B
105,BIO.B
106,WSO.B
107,TAP.A
108,UHAL.B
109,CWEN.A
110,CIG.C
111,GRP.U
112,GEF.B
113,MOG.A
114,MOG.B
115,LGF.A
116,AKO.B
117,AKO.A
118,CVII.U
119,AGM.A
120,PNTM.U
121,APGB.U
122,GTN.A
123,EOCW.U
124,AAC.U
125,CCVI.U
126,FSNB.U
127,CCV.U
128,TRAQ.U
129,HHLA.U
130,AGAC.U
131,BH.A
132,NSTC.U
133,NSTB.U
134,HVT.A
135,BFAC.U
136,PSPC.U
137,MTVC.U
138,FACT.U
139,TRTL.U
140,RONI.U
141,ROSS.U
142,ACRO.U
143,GFX.U
144,FRXB.U
145,TWNI.U
146,SUAC.U
147,VCXB.U
148,CRD.B
149,CRD.A
150,RRAC.U
151,MBSC.U
152,JUN.U
153,GOGN.U
154,CXAC.U
155,BLUA.U
156,FLME.U
157,EVE.U
158,NFNT.U
159,KCGI.U
160,BMAC.U
161,CNDA.U
162,ADEX.U
163,CPTK.U
164,MTAL.U
165,IPVF.U
166,BYN.U
167,AFTR.U
168,INAQ.U
169,CPUH.U
170,STET.U
171,DMYS.U
172,IRRX.U
173,GAQ.U
174,WNNR.U
175,TGR.U
176,RCFA.U
177,SCUA.U
178,KNSW.U
179,PORT.U
180,BRD.U
181,TRIS.U
182,PGSS.U
183,HWKZ.U
184,EGGF.U
185,RJAC.U
186,FZT.U
187,JWSM.U
188,TRCA.U
189,SHAP.U
190,PHYT.U
191,BITE.U
192,SEDA.U
193,QFTA.U
194,OPA.U
195,LOCC.U
196,HMA.U
197,APCA.U
198,MNTN.U
199,BOAC.U
200,TCOA.U
201,GFOR.U
202,CLBR.U
203,BSAQ.U
204,PRPC.U
205,GSQB.U
206,PIAI.U
207,WEL.U
208,LHC.U
209,TLGA.U
210,NYCB/PU
211,GIA.U
212,FLAG.U
213,SBXC.U
214,OSI.U
215,DMYY.U
216,VHAQ.U
217,NM/PG
218,NM/PH
219,PHGE.U
220,CR/I
221,CXT/I
222,NFYS.U
223,NETC.U
224,CORS.U
225,WAVC.U
