,Symbol
0,TQQQ
1,HEXO
2,TLRY
3,SQQQ
4,SOXL
5,KERN
6,LUCY
7,LUCY
8,SPY
9,QQQ
10,ADTX
11,ACB
12,SPXU
13,ATXI
14,UVXY
15,AKAN
16,AKAN
17,NVIV
18,SPXS
19,BGXX
20,BGXX
21,AMD
22,COMS
23,CEI
24,CGC
25,PSTV
26,LABU
27,NIO
28,TWTR
29,MULN
30,SPXL
31,SH
32,SOXS
33,TSLA
34,SLV
35,MICT
36,UPRO
37,QID
38,IWM
39,FNGU
40,DKNG
41,SNDL
42,CLVR
43,BULZ
44,BULZ
45,PBTS
46,LI
47,MSOS
48,HGEN
49,STAB
50,CCNC
51,BBLG
52,BBLG
53,FXI
54,TUEM
55,TUEM
56,SOFI
57,AMZN
58,SDS
59,PSQ
60,CRON
61,KOLD
62,SSO
63,TNA
64,BITO
65,BITO
66,XLF
67,TMF
68,ARKK
69,TLT
70,TZA
71,BTB
72,ZVO
73,XPEV
74,PLTR
75,GDX
76,GGE
77,LABD
78,FFIE
79,META
80,SNTI
81,SNTI
82,AGFY
83,AGFY
84,SNAP
85,MARA
86,TTOO
87,UVIX
88,UVIX
89,LCID
90,RBLX
91,RBLX
92,LFLY
93,NCLH
94,IMPP
95,IMPP
96,SDOW
97,DNA
98,DNA
99,BNGO
100,AVCT
101,AMBC
102,GDXU
103,BOIL
104,XLE
105,IMBI
106,GLD
107,FCEL
108,GOEV
109,OGI
110,AMLX
111,AMLX
112,LYFT
113,GHSI
114,XELA
115,APE
116,APE
117,TMBR
118,VIXY
119,MAPS
120,PLUG
121,SHOP
122,UDOW
123,SPLG
124,QLD
125,IDEX
126,IQ
127,APRN
128,GOOGL
129,EEM
130,ARVL
131,UBER
132,NKLA
133,COIN
134,COIN
135,OPEN
136,DXCM
137,MJ
138,NILE
139,ATER
140,BLUE
141,CVNA
142,GOOG
143,BBIG
144,FLGC
145,FLGC
146,TPGY
147,PTON
148,REVB
149,CSCW
150,ATNX
151,GMBL
152,KTRA
153,NU
154,AFRM
155,AFRM
156,SPTS
157,USO
158,BHAT
159,RIVN
160,RIVN
161,RDHL
162,WTRH
163,VOO
164,FUBO
165,ADMP
166,ZOM
167,KWEB
168,MNST
169,GRWG
170,TBT
171,PSLV
172,BTF
173,BTF
174,UCO
175,SPPI
176,CEAD
177,GNLN
178,IVV
179,HYFM
180,TCBP
181,TCBP
182,IBIO
183,HOOD
184,HOOD
185,AGQ
186,BURL
187,SPRO
188,BABA
189,IONQ
190,TECL
191,UEC
192,FNGR
193,SCO
194,UNG
195,FSR
196,PSNY
197,PSNY
198,U
199,AVYA
200,FAZ
201,ATXG
202,ATXG
203,JBLU
204,DBGI
205,DBGI
206,YANG
207,XBI
208,MF
209,MF
210,PAYO
211,PAYO
212,CHPT
213,OILD
214,OILD
215,DRIP
216,UUP
217,TSLL
218,TSLL
219,EWZ
220,APLT
221,IGC
222,MOTS
223,RSP
224,TBLT
225,EAR
226,MMAT
227,HIBS
228,VEV
229,GRAB
230,ACRX
231,YCBD
232,SVIX
233,SVIX
234,SQ
235,RWM
236,VFF
237,SNOW
238,CRBP
239,NFLX
240,VRM
241,DIA
242,SARK
243,SARK
244,SKLZ
245,SIVR
246,VS
247,TCOM
248,HITI
249,NGD
250,PGY
251,PGY
252,XLK
253,PINS
254,ILAG
255,ILAG
256,TWM
257,AEHR
258,VLTA
259,FWBI
260,ROKU
261,XLRE
262,TARK
263,TARK
264,CPG
265,BERZ
266,BERZ
267,BSGM
268,ME
269,VGSH
270,SMH
271,RUBY
272,DRN
273,HUT
274,BIOR
275,HYG
276,NVTA
277,NMTR
278,PDD
279,TOPS
280,OBSV
281,RDFN
282,ESTE
283,BEAT
284,BEAT
285,STLA
286,TELL
287,DUST
288,ROSE
289,ROSE
290,FAS
291,ASHR
292,VXX
293,SRTY
294,PRTY
295,XLB
296,ASTR
297,WKHS
298,UAL
299,JDST
300,JOBY
301,BEKE
302,EDZ
303,EFA
304,TECS
305,IPOF
306,PYPL
307,CORZ
308,CORZ
309,WEAT
310,SECO
311,QYLD
312,KRBP
313,ARBK
314,ARBK
315,XLU
316,TNXP
317,UPST
318,SMTC
319,BYND
320,ATHX
321,NUTX
322,NUTX
323,QTNT
324,QS
325,WETG
326,WETG
327,CRKN
328,CRKN
329,BHVN
330,CNC
331,XRT
332,RMED
333,GTE
334,QQQM
335,CENN
336,TME
337,PRVB
338,SVXY
339,WKEY
340,VLNS
341,VLNS
342,BILI
343,NVAX
344,YOSH
345,YOSH
346,JWEL
347,JWEL
348,PLX
349,SPDN
350,XOP
351,CPNG
352,CPNG
353,FREY
354,KITT
355,KITT
356,SPCE
357,NRGD
358,CLOV
359,UBX
360,REE
361,REE
362,RLX
363,RLX
364,BXRX
365,WISH
366,DRV
367,PATH
368,PATH
369,TTD
370,ALRN
371,BWV
372,BWV
373,LAC
374,FTCH
375,INDO
376,RUN
377,PALI
378,RCON
379,IMCC
380,VTGN
381,NUGT
382,EPV
383,LAZR
384,RETL
385,GEVO
386,ASAN
387,VGK
388,SPRC
389,SPRC
390,NEXI
391,NEXI
392,SGOL
393,GDXJ
394,MJXL
395,MJXL
396,CHWY
397,AERC
398,AERC
399,GSAT
400,BKKT
401,RMO
402,SRNE
403,PR
404,PR
405,SENS
406,BBAI
407,BBAI
408,GFAI
409,GFAI
410,VIRI
411,REAL
412,BORR
413,MNMD
414,IEF
415,VSTM
416,FNGD
417,OIG
418,SOXX
419,XLV
420,FUTU
421,TSLQ
422,TSLQ
423,ZH
424,ZH
425,PHUN
426,RKLB
427,FSLR
428,SHPH
429,SHPH
430,BRDS
431,BRDS
432,JAGX
433,GOVX
434,LQD
435,NET
436,MCHI
437,XLY
438,IAU
439,PHAS
440,ENPH
441,JMIA
442,CRWD
443,RIDE
444,WBD
445,WBD
446,WEBL
447,UUUU
448,SLI
449,W
450,CND
451,CND
452,SPTI
453,VLDR
454,EWJ
455,MITQ
456,MITQ
457,SU
458,SLQT
459,OPGN
460,HYMC
461,CCJ
462,OCGN
463,LOTZ
464,SOBR
465,SOBR
466,BITF
467,VXRT
468,ASXC
469,XHB
470,MRNA
471,TMC
472,TMC
473,DASH
474,COMP
475,COMP
476,SCHD
477,LICY
478,NUWE
479,EAST
480,QTT
481,IRNT
482,DOCU
483,ZIM
484,JNUG
485,AMV
486,AMV
487,TWLO
488,GRPN
489,HPCO
490,HPCO
491,AGLE
492,TDOC
493,MEGL
494,MEGL
495,BRQS
496,YINN
497,MARK
498,DRUG
499,DRUG
500,GLDG
501,DOG
502,ENVX
503,ENVX
504,SMRT
505,JEPI
506,VERB
507,TRVG
508,BB
509,VTWO
510,NBY
511,EXK
512,SEV
513,SEV
514,LNTH
515,ERX
516,WEBS
517,NKTR
518,FSM
519,CLSK
520,NNDM
521,LASE
522,LASE
523,ISTB
524,BE
525,HTPA
526,HTPA
527,ENSC
528,OSTK
529,LOGC
530,KC
531,XERS
532,ARDX
533,IDV
534,URTY
535,JETS
536,EYEN
537,TECK
538,VGIT
539,FOXO
540,FOXO
541,WNW
542,EQX
543,DNN
544,IOO
545,SUNW
546,DFEN
547,APPH
548,AGRX
549,WINT
550,XOS
551,HZON
552,PHYS
553,YOLO
554,GROM
555,JKS
556,ASTC
557,XLP
558,CFMS
559,IPW
560,IPW
561,EWG
562,LKCO
563,CEMI
564,CMRX
565,SHV
566,AYTU
567,RUM
568,RUM
569,IPOD
570,TDUP
571,TDUP
572,SPTL
573,SDIG
574,SDIG
575,ANY
576,BNKD
577,HSDT
578,CRIS
579,URG
580,ABNB
581,AUMN
582,CRM
583,UAVS
584,HLBZ
585,BITI
586,BITI
587,OBLG
588,UWM
589,PACB
590,REI
591,CLLS
592,VUZI
593,KALA
594,LTRY
595,CYTO
596,SBIG
597,SBIG
598,STNE
599,SCPH
600,AKBA
601,AR
602,VTNR
603,DDOG
604,FCG
605,BNO
606,TVE
607,HTZ
608,HTZ
609,BYFC
610,DAVE
611,DAVE
612,OP
613,ONFO
614,ONFO
615,MQ
616,MQ
617,IVA
618,SJB
619,DNMR
620,PFF
621,CGEN
622,SOLO
623,POWW
624,AZUL
625,OUST
626,KULR
627,INPX
628,VIST
629,ABCL
630,ZM
631,BIMI
632,LTHM
633,SWVL
634,SWVL
635,LDI
636,GUSH
637,ASM
638,WEED
639,WEED
640,QNGY
641,VLD
642,VLD
643,AKAM
644,APPS
645,TLH
646,CDE
647,HILS
648,HILS
649,ACWI
650,OILU
651,OILU
652,CTIC
653,USFR
654,IEMG
655,ACOR
656,VET
657,RGTI
658,RGTI
659,PRPL
660,SAND
661,NCNA
662,AGEN
663,TRVN
664,AMRS
665,OGEN
666,SCHO
667,ALF
668,ALF
669,SAVE
670,ERY
671,RKDA
672,POSH
673,POSH
674,ARKW
675,GLPG
676,LCFY
677,LCFY
678,NEPT
679,Z
680,USEA
681,USEA
682,METX
683,SILV
684,TYDE
685,TYDE
686,WOLF
687,GDXD
688,BLNK
689,TRMR
690,TRMR
