,Symbol
0,T
1,INTC
2,INFY
3,VALE
4,IBN
5,UBS
6,PBR
7,SAN
8,AMX
9,STLA
10,EPD
11,ING
12,F
13,E
14,TAK
15,WDS
16,HMC
17,ITUB
18,ET
19,KMI
20,WBD
21,MFC
22,CVE
23,BCS
24,PCG
25,VOD
26,GOLD
27,HPQ
28,NOK
29,CPNG
30,DB
31,CNHI
32,HBAN
33,RF
34,NU
35,UMC
36,CTRA
37,PPL
38,HPE
39,ERIC
40,CNP
41,PLTR
42,KEY
43,RKT
44,AVTR
45,SNAP
46,EDR
47,AES
48,AMCR
49,SIRI
50,LCID
51,PARAA
52,BEN
53,PHG
54,SJR
55,CCL
56,CRBG
57,VTRS
58,SNN
59,GRAB
60,GEN
61,CCJ
62,CS
63,NI
64,FMS
65,PSNY
66,TEVA
67,ACI
68,AAL
69,ZI
70,AGL
71,WES
72,FLEX
73,IOT
74,XM
75,NWS
76,NWSA
77,COTY
78,TOST
79,LBTYK
80,LBTYA
81,PAA
82,NOV
83,GGB
84,HOOD
85,PATH
86,CX
87,GFI
88,VST
89,IVZ
90,YPF
91,AR
92,BSAC
93,ORI
94,UWMC
95,GPK
96,SKM
97,BEP
98,PSTG
99,CAE
100,AU
101,ONON
102,LEVI
103,CFLT
104,CIB
105,HESM
106,FTI
107,SGFY
108,GNTX
109,STVN
110,FYBR
111,RRC
112,PR
113,ADT
114,NTNX
115,DXC
116,AMKR
117,MAT
118,XP
119,SOFI
120,OGN
121,SWN
122,MLCO
123,BLCO
124,VRT
125,RCM
126,HTZ
127,NWL
128,COLB
129,CNM
130,DISH
131,FLO
132,NYCB
133,VLY
134,REYN
135,APG
136,PPC
137,GME
138,FSK
139,INFA
140,EXEL
141,IGT
142,ENLC
143,ELAN
144,RIG
145,ORCC
146,SNDR
147,AM
148,AUY
149,FNB
150,ESI
151,ONB
152,APP
153,BEPC
154,SHC
155,HOMB
156,MGY
157,DRVN
158,CADE
159,WU
160,KGC
161,WEN
162,GPS
163,S
164,ASAI
165,JHG
166,GLBE
167,DLO
168,ALKS
169,FRSH
170,PYCR
171,MODG
172,YOU
173,LTHM
174,CERE
175,ATCO
176,VNT
177,BMBL
178,FRO
179,UAA
180,MRVI
181,NEOG
182,BOX
183,GTES
184,ZWS
185,MTG
186,TFSL
187,QS
