,Symbol,Sharpe,Sortino
0,MUDS,5.18,26.48
1,ROSE,1.46,3.09
2,MACA,2.37,9.16
3,DCRD,0.7,1.38
4,WEL,1.35,3.14
5,COVA,1.14,2.49
6,FTEV,0.92,1.73
7,GTAC,1.72,2.97
8,WQGA,1.27,2.44
9,AEHA,0.77,1.44
10,PFDR,1.78,3.48
11,FAZE,1.77,33.08
12,INTR,12.42,
13,CNGL,2.61,11.98
14,CFIV,0.68,1.18
15,DTRT,1.1,2.23
16,NOAC,0.74,1.06
17,MEOA,1.09,2.35
18,VELO,0.78,1.39
19,GPCO,4.57,57.19
20,RAM,1.74,29.13
21,ATAK,1.24,2.81
22,PICC,1.03,1.9
23,PNTM,0.89,1.75
24,GSUN,3.21,
25,ARBG,3.03,9.45
26,MAQC,5.9,
27,IPVA,1.41,3.28
28,VCKA,4.21,67.82
29,CLAQ,1.98,27.63
30,NVSA,0.99,1.62
31,LGST,1.89,4.3
32,CLAA,1.43,3.71
33,AKIC,1.13,2.83
34,SCOB,1.27,2.77
35,PFHC,2.21,
36,PV,1.84,4.71
37,KACL,2.24,14.83
38,EVE,1.38,2.72
39,LBBBU,0.42,0.85
40,AGGR,0.62,1.05
41,PTIC,1.04,1.84
42,PMGM,0.95,1.91
43,ARB,1.25,2.6
44,LAAA,0.48,0.79
45,BNRG,14.11,
46,TINV,3.3,19.82
47,AVAC,0.69,1.18
48,PRBM,1.36,3.69
49,FRW,0.4,0.77
50,GBRG,4.6,59.67
51,BENE,3.4,12.86
52,VHNA,2.03,5.0
53,LION,1.74,3.64
54,FNVT,1.0,1.55
55,AUVIP,1.41,2.88
56,PACI,1.55,3.36
57,MNTN,1.46,3.35
58,RXRA,0.44,0.67
59,PPHP,1.83,3.66
60,AIB,2.28,9.5
61,RISR,1.73,4.97
62,IGNY,2.02,5.49
63,ATEK,1.23,2.81
64,SNRH,2.74,5.57
65,AHPA,0.88,1.57
66,SGII,0.49,0.77
67,MCAF,0.42,0.67
68,FXCO,2.8,16.96
69,SQFTP,2.1,3.64
70,LCAA,1.19,2.76
71,SPKB,1.27,2.37
72,AHRN,1.36,2.2
73,TSIB,0.46,0.91
74,CLOE,2.54,9.33
75,HAIA,1.47,2.43
76,OXAC,1.01,1.83
77,SHUA,0.91,2.09
78,EQHA,1.62,5.12
79,HERA,0.65,1.01
80,IBER,1.02,2.04
81,AGAC,1.42,3.62
82,PRLH,1.49,2.41
83,TRCA,1.76,6.89
84,AGBA,1.76,3.52
85,GEEX,2.16,6.85
86,DHCA,1.08,2.46
87,PBAX,1.92,5.7
88,NPAB,1.29,6.02
89,IPAX,0.49,0.77
90,ANAC,0.54,0.8
91,FLAC,2.81,12.55
92,IE,21.86,
93,CHAA,0.66,0.95
94,LIBY,0.76,1.32
95,HMCO,1.12,2.43
96,WINV,1.97,4.3
97,IVCB,1.4,3.19
98,GLHA,0.78,1.41
99,IMAQ,1.97,6.57
100,JWSM,1.25,2.23
101,SCUA,1.98,8.09
102,HCAR,1.13,2.05
103,BLUA,1.16,2.15
104,LHC,1.23,2.23
105,OTEC,1.61,5.24
106,PWUP,1.37,2.59
107,KYCH,1.36,2.9
108,CXAC,1.23,2.72
109,GSQB,0.73,1.56
110,TWLV,1.0,2.32
111,VCXA,2.52,8.41
112,VENA,3.81,18.32
113,HTAQ,2.78,14.61
114,MLAI,0.43,0.67
115,FLAG,3.47,9.54
116,BNIX,4.29,48.62
117,HLAH,0.92,2.16
118,ABGI,0.45,0.78
119,THAC,1.68,2.85
120,CRU,1.75,6.41
121,ARRW,0.8,1.48
122,ARGU,0.47,0.96
123,PCCT,5.76,27.47
124,GWII,2.52,14.69
125,SIER,5.55,
126,NHIC,0.69,1.06
127,PLAOU,0.73,1.13
128,GLEE,1.81,3.43
129,FATP,2.64,8.1
130,IQMD,1.56,8.76
131,DLCA,1.74,5.15
132,AMCI,0.53,1.02
133,FCAX,0.88,2.18
134,MTRY,1.77,3.52
135,FOXW,2.94,10.61
136,ATAQ,1.18,2.41
137,KAIR,0.84,1.55
138,HORI,1.97,4.03
139,ESAC,1.52,3.0
140,AXAC,1.82,5.24
141,FACT,2.01,7.21
142,FSNB,0.99,2.14
143,JOFF,0.61,1.09
144,PFXNL,1.22,2.93
145,HIII,0.52,0.77
146,ACBA,3.21,7.51
147,OCAX,0.47,0.84
148,LATG,0.43,0.93
149,LONZ,3.71,
150,PCX,3.21,8.24
151,MPAC,3.93,52.27
152,CSLM,1.13,2.31
153,PHYT,1.85,5.55
154,GAPA,1.52,3.11
155,AVHI,1.8,6.24
156,OEPW,1.11,2.25
157,FRLA,2.67,5.64
158,PLMI,1.0,1.55
