,Symbol,Sharpe,Sortino
0,ASO,1.26,2.49
1,ARB,1.25,2.6
2,XOMAP,1.29,3.01
3,AMNA,1.65,2.84
4,AMTR,1.66,2.84
5,CHRD,2.06,7.17
6,PTRS,1.34,2.57
7,KRBN,1.58,3.5
8,DEN,1.59,3.8
9,LBAY,1.35,2.64
10,KWT,1.8,3.43
11,FRHC,1.5,4.07
12,DJCB,1.65,2.74
13,PFHD,1.39,3.82
14,CSSEN,1.35,3.01
15,LANDO,1.71,3.73
16,CCAP,1.25,2.13
17,MLPR,1.65,2.81
18,VEL,1.22,3.05
19,CCRV,1.76,3.45
20,KMLM,1.67,4.51
21,PFX,1.24,3.43
22,CCNEP,1.19,1.66
23,USAI,1.54,2.54
24,SCCC,1.84,3.1
25,CRC,1.34,2.84
26,AMND,1.55,2.62
27,OXLCP,1.92,5.17
28,SGML,1.69,5.07
