,Symbol
0,BOIL_20230127_9.0
1,SI_20230127_13.5
2,MARA_20230127_8.0
3,SI_20230127_13.0
4,BOIL_20230127_8.5
5,NVAX_20230127_11.0
6,CVNA_20230127_6.0
7,BBBY_20230203_2.5
8,DWAC_20230127_13.5
9,AFRM_20230127_13.5
10,LMND_20230127_14.5
11,SOXL_20230127_13.5
12,SNAP_20230203_9.5
13,AI_20230127_14.0
14,PTON_20230127_10.5
15,MARA_20230127_7.5
16,PTON_20230203_10.0
17,LABD_20230127_13.0
18,SNAP_20230203_9.0
19,SI_20230127_12.5
20,AFRM_20230127_13.0
21,PTON_20230203_9.5
22,BBBY_20230203_2.0
23,BOIL_20230203_8.0
24,CVNA_20230203_5.5
25,SOXL_20230127_13.0
26,DWAC_20230127_13.0
27,LCID_20230203_8.0
28,RIOT_20230203_5.5
29,BITO_20230127_14.0
30,PCT_20230217_8.0
31,BTCM_20230217_3.0
32,SNAP_20230203_8.5
33,SYM_20230217_15.0
34,FNGR_20230217_3.0
35,SI_20230203_12.0
36,MARA_20230203_7.0
37,PTON_20230203_9.0
38,SOXL_20230203_12.5
39,CABA_20230217_10.0
40,TSLL_20230217_7.0
41,VERU_20230203_5.5
42,NVAX_20230203_10.5
43,BLNK_20230203_12.5
44,BOIL_20230203_7.5
45,RDFN_20230217_5.5
46,LABD_20230203_12.5
47,IMGN_20230217_4.0
48,LABU_20230203_7.5
49,IMNM_20230217_5.0
50,SI_20230203_11.5
51,ASPN_20230217_10.0
52,SFIX_20230203_4.0
53,ICD_20230217_4.0
54,NINE_20230217_11.0
55,BWEN_20230217_5.0
56,UNG_20230203_9.5
57,FTCH_20230203_5.5
58,AFRM_20230203_12.5
59,CEI_20230217_1.5
60,SNAP_20230203_8.0
61,KALV_20230217_7.5
62,FCF_20230217_12.5
63,EVEX_20230217_5.0
64,LCID_20230203_7.5
65,SOXL_20230203_12.0
66,SOFI_20230203_5.0
67,CDLX_20230217_5.0
68,RAIN_20230217_7.5
69,LYFT_20230203_14.5
70,STEM_20230203_9.0
71,RUM_20230203_9.0
72,BBBY_20230210_1.5
73,SPXU_20230203_14.0
74,CVNA_20230203_5.0
75,FSLY_20230203_9.5
76,DKNG_20230203_14.0
77,LAZR_20230203_5.5
78,MARA_20230203_6.5
79,SLDP_20230217_2.5
80,CHPT_20230203_10.5
81,MLCO_20230203_12.5
82,AUPH_20230217_7.0
83,STNE_20230203_10.0
84,GRPN_20230217_8.0
85,NVAX_20230203_10.0
86,VKTX_20230217_8.0
87,WEBL_20230217_7.0
88,NKLA_20230217_2.0
89,CONN_20230217_9.0
90,CBAY_20230217_7.0
91,CVNA_20230210_4.5
92,QS_20230203_7.0
93,SATL_20230217_2.5
94,SUMO_20230217_10.0
95,SI_20230203_11.0
96,AI_20230203_13.5
97,TWND_20230217_5.0
98,NNOX_20230203_8.0
99,LYFT_20230210_13.0
100,PMVP_20230217_7.5
101,AFRM_20230203_12.0
102,MGNI_20230217_10.0
103,DRIP_20230217_12.0
104,MPW_20230203_12.5
105,LMND_20230203_14.0
106,PVBC_20230217_7.5
107,F_20230203_12.0
108,ZIMV_20230217_7.5
109,LBRT_20230217_14.0
110,DISH_20230203_13.5
111,AFRM_20230210_11.0
112,EVGO_20230217_5.0
113,CLAR_20230203_9.0
114,NCLH_20230203_14.5
115,NEON_20230217_7.5
116,BOIL_20230203_7.0
117,PTGX_20230217_10.0
118,FSR_20230203_6.5
119,CCL_20230203_10.0
120,ZYXI_20230217_15.0
121,LYTS_20230217_12.5
122,CMCL_20230217_15.0
123,BLNK_20230203_12.0
124,TGTX_20230217_13.0
125,DNOW_20230217_12.5
126,METC_20230217_10.0
127,RIOT_20230210_5.0
128,EB_20230217_7.5
129,SI_20230203_10.5
130,AG_20230210_7.5
131,PRAX_20230217_2.5
132,PRPL_20230217_5.0
133,CPS_20230217_10.0
134,MVO_20230217_15.0
135,SOXL_20230203_11.5
136,CRK_20230217_12.0
137,SPCE_20230210_4.5
138,BITO_20230203_13.5
139,EBS_20230217_12.5
140,DKNG_20230203_13.5
141,HOOD_20230203_9.0
142,UNG_20230203_9.0
143,CLS_20230217_12.5
144,HCSG_20230217_12.5
145,DRN_20230217_11.0
146,PANL_20230217_5.0
147,IOT_20230217_12.5
148,LABU_20230203_7.0
149,LYFT_20230203_14.0
150,SILJ_20230203_11.0
151,NVAX_20230203_9.5
152,AFRM_20230210_10.5
153,VXX_20230203_11.0
154,ORIC_20230217_5.0
155,BTF_20230217_8.0
156,AEO_20230203_15.0
157,WBD_20230203_12.5
158,RDFN_20230217_5.0
159,TSLL_20230217_6.0
160,COMM_20230217_7.0
161,MARA_20230203_6.0
162,BTCM_20230317_2.0
163,CGEM_20230217_10.0
164,PHAT_20230217_7.5
165,DBRG_20230217_12.0
166,BLU_20230217_7.5
167,S_20230217_13.0
168,PLTR_20230210_6.5
169,LYFT_20230210_12.5
170,VOC_20230217_9.0
171,HOOD_20230210_8.5
172,NOTV_20230217_5.0
173,MRVI_20230217_12.5
174,APP_20230217_10.0
175,ETNB_20230217_10.0
176,YPF_20230217_11.0
177,BIOR_20230317_2.5
178,GLYC_20230317_2.5
179,LCID_20230210_7.0
180,UAA_20230203_11.0
181,MUX_20230217_6.0
182,KMPH_20230317_5.0
183,MARA_20230210_5.5
184,ACET_20230217_7.5
185,UVXY_20230217_4.5
186,FSLY_20230203_9.0
187,KD_20230217_12.0
188,COGT_20230217_12.5
189,AVDX_20230217_10.0
190,YANG_20230217_6.0
191,CENX_20230217_10.0
192,BBBY_20230224_1.0
193,MPW_20230203_12.0
194,STNE_20230210_9.5
195,HBI_20230210_7.5
196,SI_20230203_10.0
197,CHPT_20230203_10.0
198,DISH_20230203_13.0
199,ERJ_20230217_12.5
200,ORGN_20230217_5.0
201,KNOP_20230217_5.0
202,RLMD_20230317_3.5
203,HRT_20230217_10.0
204,BORR_20230217_5.0
205,SPXU_20230203_13.5
206,CVNA_20230210_4.0
207,SCPH_20230217_5.0
208,SLCA_20230217_11.0
209,NVTA_20230317_2.0
210,LPSN_20230217_10.0
211,FRO_20230217_13.0
212,GIII_20230217_15.0
213,NWL_20230217_15.0
214,MAG_20230217_15.0
215,RIG_20230210_5.5
216,FREY_20230217_9.0
217,DO_20230217_11.0
218,AFRM_20230210_10.0
219,CTIC_20230217_5.0
220,AFRM_20230203_11.5
221,ALDX_20230217_5.0
222,COUR_20230217_12.5
223,RIOT_20230217_4.5
224,RDFN_20230217_4.5
225,UPLD_20230217_7.5
226,LWLG_20230217_5.0
227,CVRX_20230217_12.5
228,PBR_20230203_11.0
229,PLBY_20230317_2.5
230,BVN_20230217_8.0
231,MX_20230217_10.0
232,CVNA_20230224_3.5
233,OLPX_20230317_5.0
234,SOXL_20230203_11.0
235,BLNK_20230203_11.5
236,SKIN_20230217_10.0
237,HEAR_20230217_8.0
238,GRFS_20230217_7.5
239,LABU_20230210_6.5
240,CARS_20230217_15.0
241,MQ_20230217_6.0
242,SRTS_20230217_7.5
243,F_20230203_11.5
244,XM_20230217_10.0
245,QS_20230210_6.5
246,ASC_20230217_12.5
247,BIGC_20230217_10.0
248,LYFT_20230203_13.5
249,ARHS_20230217_12.5
250,FSR_20230210_6.0
251,NCLH_20230203_14.0
252,ACMR_20230217_10.0
253,TPIC_20230217_12.5
254,DVAX_20230217_11.0
255,PDSB_20230217_7.5
256,FLWS_20230217_8.0
257,DRN_20230217_10.0
258,MARA_20230210_5.0
259,EXPI_20230217_12.5
260,BITO_20230203_13.0
261,TGTX_20230217_12.0
262,AUPH_20230217_6.0
263,UNG_20230210_8.5
264,DKNG_20230203_13.0
265,HIVE_20230317_2.0
266,SPCE_20230224_4.0
267,PLTR_20230217_6.0
268,FCEL_20230317_3.0
269,ABCL_20230217_9.0
270,PBI_20230317_4.0
271,LC_20230217_9.0
272,DWAC_20230203_12.5
273,RKT_20230210_8.0
274,ENLC_20230217_12.0
275,SYM_20230217_12.5
276,CXW_20230217_10.0
277,CCL_20230210_9.5
278,MPW_20230210_11.5
279,LCID_20230210_6.5
280,WOOF_20230217_10.0
281,WBD_20230210_12.0
282,BCRX_20230217_10.0
283,SA_20230217_13.0
284,OIS_20230217_7.5
285,QS_20230217_6.0
286,HOOD_20230210_8.0
287,RRGB_20230217_7.5
288,BOWL_20230217_12.5
289,GRPN_20230217_7.0
290,MARA_20230224_4.5
291,ROIV_20230217_7.5
292,PATH_20230217_12.5
293,VKTX_20230217_7.0
294,CLNE_20230317_5.0
295,CNK_20230217_10.0
296,LBRT_20230217_13.0
297,AHT_20230317_5.0
298,HA_20230217_11.0
299,ADPT_20230217_7.5
300,ET_20230210_12.5
301,UPWK_20230217_10.0
302,AFRM_20230210_9.5
303,SOXL_20230210_10.5
304,MPW_20230217_11.0
305,MAC_20230217_12.0
306,CRK_20230217_11.0
307,DRIP_20230217_11.0
308,ELAN_20230217_12.0
309,DKNG_20230217_12.0
310,DBI_20230217_9.0
311,FTI_20230217_12.0
312,TRIN_20230217_12.5
313,CCL_20230210_9.0
314,BITO_20230210_12.5
315,BATT_20230217_13.0
316,EVGO_20230317_4.0
317,PAGS_20230317_7.5
318,JBLU_20230217_7.5
319,LCID_20230217_6.0
320,SJT_20230217_10.0
321,BCRX_20230217_9.0
322,RKLB_20230317_4.0
323,GEO_20230217_10.0
324,SKYT_20230317_7.5
325,ATNM_20230217_10.0
326,LABU_20230217_6.0
327,TLRY_20230616_2.5
328,SLCA_20230217_10.0
329,PR_20230317_9.0
330,CABA_20230217_7.5
331,YPF_20230217_10.0
332,GFI_20230217_11.0
333,TDS_20230217_10.0
334,SBSW_20230317_10.0
335,BBBY_20230421_0.5
336,SOFI_20230303_4.5
337,CBAY_20230317_6.0
338,BPT_20230217_10.0
339,DKNG_20230210_12.5
340,LICY_20230317_5.0
341,CLDT_20230217_12.5
342,ICL_20230317_7.5
343,SOXL_20230217_9.5
344,LXU_20230317_10.0
345,SOXL_20230210_10.0
346,FRO_20230217_12.0
347,RDFN_20230317_4.0
348,BITO_20230217_12.0
349,BLDP_20230317_5.0
350,ING_20230217_13.0
351,ING_20230217_12.0
352,BGS_20230217_12.5
353,KD_20230317_11.0
354,CWCO_20230217_12.5
355,WBD_20230217_11.5
356,ESTE_20230217_12.5
357,TGTX_20230217_11.0
358,F_20230217_11.0
359,PUBM_20230217_12.5
360,ATRO_20230217_12.5
361,DKNG_20230217_11.5
362,AMPY_20230317_7.5
363,CRSR_20230217_12.5
364,DEA_20230217_15.0
365,AFCG_20230217_15.0
366,HTGC_20230317_13.0
367,ARI_20230317_10.0
368,UUUU_20230317_6.0
369,NWL_20230217_14.0
370,NEON_20230317_5.0
371,IOVA_20230317_5.0
372,VET_20230317_12.5
373,ORCC_20230317_12.0
374,UMC_20230317_7.0
375,FRO_20230317_11.0
376,SUMO_20230317_7.5
377,WU_20230317_13.0
378,TGTX_20230317_10.0
379,HBAN_20230317_14.0
380,SOXL_20230217_9.0
381,BCS_20230317_8.0
382,SBH_20230317_12.5
383,STLA_20230317_14.0
384,OR_20230317_12.5
385,ET_20230224_12.0
386,AGI_20230616_10.0
387,PFLT_20230317_10.0
388,ABR_20230317_12.5
389,GEO_20230317_9.0
390,CMCL_20230317_12.5
391,AM_20230616_10.0
392,FNB_20230317_12.5
393,PSEC_20230519_7.0
394,BGS_20230519_10.0
