,Symbol
0,NVAX_20230512_8.5
1,WISH_20230512_7.0
2,AFRM_20230512_10.5
3,AUPH_20230519_10.0
4,PTON_20230512_9.0
5,PESI_20230519_7.5
6,DISH_20230512_7.0
7,PLUG_20230512_8.5
8,LYFT_20230512_9.5
9,SNAP_20230512_10.0
10,BLNK_20230512_7.0
11,EDIT_20230512_7.0
12,BIGC_20230519_7.5
13,MAX_20230519_7.5
14,GETY_20230519_5.0
15,QS_20230512_7.0
16,LCID_20230512_7.0
17,PCT_20230519_5.0
18,MUX_20230519_9.0
19,EHTH_20230519_7.5
20,HIMS_20230519_9.0
21,IGMS_20230519_10.0
22,CHPT_20230512_8.0
23,KLXE_20230519_10.0
24,LE_20230519_7.5
25,BEEM_20230519_10.0
26,RUM_20230512_8.5
27,CDLX_20230519_5.0
28,RIG_20230512_6.0
29,RKT_20230512_8.5
30,PLTR_20230512_8.0
31,AMPL_20230519_10.0
32,XAIR_20230519_5.0
33,EVGO_20230519_5.0
34,VTNR_20230519_7.5
35,RAIN_20230519_5.0
36,KOS_20230519_7.0
37,SJT_20230519_10.0
38,PLTK_20230519_10.0
39,WOOF_20230519_9.0
40,VLY_20230519_7.0
41,CCL_20230512_9.0
42,HOOD_20230512_9.0
43,MGI_20230519_10.0
44,AXL_20230519_7.0
45,OWL_20230519_10.0
46,OSCR_20230519_5.0
47,OMER_20230519_5.0
48,FIGS_20230519_5.0
49,SCPH_20230519_7.5
50,COUR_20230519_10.0
51,BCRX_20230519_7.0
52,FOLD_20230519_10.0
53,BRY_20230519_7.5
54,IONQ_20230519_5.0
55,HL_20230512_6.0
56,HNRG_20230519_7.5
57,METC_20230519_7.5
58,UDMY_20230519_7.5
59,LC_20230519_6.0
60,HAYW_20230519_10.0
61,CRK_20230519_10.0
62,SKYT_20230519_7.5
63,YEXT_20230519_7.5
64,DB_20230512_10.0
65,NYCB_20230519_8.0
66,TDS_20230519_10.0
67,YMAB_20230519_5.0
68,INDI_20230519_7.5
69,MGNI_20230519_7.5
70,FNKO_20230519_7.5
71,VTRS_20230519_9.0
72,ALDX_20230519_7.5
73,AM_20230519_10.0
74,GEO_20230519_7.0
75,GEL_20230519_10.0
76,HBAN_20230519_10.0
77,DBI_20230519_8.0
78,SMR_20230519_7.5
79,PAGS_20230519_7.5
80,CXW_20230519_8.0
81,WU_20230519_10.0
82,FNB_20230519_10.0
83,NWBI_20230818_10.0
