,Symbol
0,CVNA_20230203_12.0
1,CVNA_20230203_11.5
2,GOOS_20230203_22.5
3,CVNA_20230203_11.0
4,GOOS_20230203_22.0
5,CVNA_20230203_10.5
6,AI_20230203_20.0
7,GOOS_20230203_21.0
8,CVNA_20230203_10.0
9,UPST_20230203_18.5
10,TQQQ_20230203_22.5
11,AI_20230203_19.5
12,AFRM_20230203_16.0
13,GOOS_20230203_20.0
14,CVNA_20230203_9.5
15,UPST_20230203_18.0
16,PTON_20230203_14.5
17,GME_20230203_20.5
18,APPS_20230203_15.0
19,SOXL_20230203_15.0
20,TQQQ_20230203_22.0
21,GOOS_20230203_18.0
22,CWH_20230203_23.5
23,AFRM_20230210_15.5
24,AFRM_20230210_15.0
25,TZA_20230203_23.5
26,PINS_20230210_25.0
27,LYFT_20230210_15.0
28,APPS_20230210_14.5
29,PINS_20230210_24.5
30,AFRM_20230210_14.5
31,UPST_20230210_17.5
32,BYND_20230210_15.0
33,APPS_20230210_14.0
34,BYND_20230210_14.0
35,AFRM_20230210_14.0
36,AI_20230210_19.0
37,OSTK_20230210_22.5
38,UPST_20230210_17.0
39,PINS_20230210_24.0
40,LYFT_20230210_14.5
41,BYND_20230210_14.5
42,CVNA_20230210_9.0
43,CVNA_20230210_8.5
44,ASAN_20230210_15.0
45,SMMT_20230217_2.0
46,AFRM_20230210_13.5
47,AI_20230210_18.5
48,GME_20230210_20.0
49,PINS_20230210_23.5
50,OSTK_20230210_22.0
51,RIVN_20230210_18.0
52,SPWR_20230210_16.0
53,UPST_20230210_16.5
54,MARA_20230210_6.0
55,LCID_20230210_10.0
56,LYFT_20230210_14.0
57,APPS_20230210_13.5
58,LYFT_20230210_13.5
59,SOXS_20230210_18.5
60,BYND_20230210_13.5
61,APPS_20230210_12.5
62,PINS_20230210_23.0
63,SOXL_20230210_14.5
64,UPST_20230210_16.0
65,AFRM_20230210_13.0
66,TOST_20230217_21.0
67,TGTX_20230210_15.0
68,TSLL_20230217_9.0
69,SOXS_20230210_18.0
70,CVNA_20230210_8.0
71,RIVN_20230210_17.5
72,USD_20230217_21.0
73,NVAX_20230210_9.5
74,GME_20230210_19.5
75,QS_20230217_7.0
76,PINS_20230210_22.5
77,AI_20230210_18.0
78,AAPU_20230217_17.0
79,PLUG_20230210_16.0
80,UAA_20230210_11.0
81,APPS_20230210_13.0
82,LMND_20230217_14.5
83,UPST_20230217_14.0
84,NVAX_20230210_9.0
85,AFRM_20230210_12.5
86,RDFN_20230217_6.0
87,TQQQ_20230210_21.5
88,ZIM_20230210_18.5
89,PTON_20230210_14.0
90,M_20230210_22.0
91,MARA_20230217_5.5
92,LAZR_20230217_5.5
93,CWH_20230210_24.0
94,PINS_20230210_22.0
95,PINS_20230210_21.5
96,BE_20230217_22.0
97,SVIX_20230217_16.0
98,UPST_20230210_15.5
99,VOD_20230210_9.5
100,ITOS_20230217_15.0
101,M_20230210_22.5
102,LABU_20230217_7.0
103,NCLH_20230210_14.5
104,GME_20230210_19.0
105,TOST_20230217_20.0
106,CVNA_20230210_7.0
107,BLNK_20230217_11.5
108,FSLY_20230210_9.0
109,AFRM_20230210_12.0
110,RIVN_20230210_17.0
111,LCID_20230210_9.5
112,SOXL_20230210_14.0
113,CRNC_20230217_20.0
114,DWAC_20230217_13.5
115,BLNK_20230210_12.0
116,PARA_20230210_22.5
117,PCT_20230217_6.0
118,RCUS_20230217_15.0
119,NVAX_20230217_8.5
120,TQQQ_20230210_21.0
121,PARA_20230210_22.0
122,RDFN_20230217_5.5
123,RDFN_20230217_5.0
124,AI_20230210_17.0
125,PTON_20230210_13.5
126,TZA_20230210_23.0
127,DKNG_20230217_14.0
128,RIOT_20230224_5.0
129,LMND_20230210_15.0
130,UPST_20230217_13.0
131,FSR_20230217_6.0
132,CVNA_20230210_7.5
133,RKT_20230217_8.5
134,FDMT_20230217_15.0
135,AEO_20230210_15.0
136,UPST_20230210_15.0
137,BE_20230217_21.0
138,EBIX_20230217_12.5
139,CLF_20230210_20.0
140,RRC_20230210_22.5
141,RIVN_20230210_16.5
142,RIVN_20230210_15.5
143,GOOS_20230210_19.0
144,AFRM_20230210_10.5
145,MARA_20230217_5.0
146,SOXL_20230210_13.5
147,LAZR_20230303_5.0
148,LCID_20230217_9.0
149,RIVN_20230210_16.0
150,HOOD_20230217_9.0
151,OI_20230217_19.0
152,ZIM_20230210_18.0
153,MARA_20230303_4.5
154,SOXL_20230217_13.0
155,LPG_20230217_20.0
156,SVIX_20230217_15.0
157,UPST_20230217_12.5
158,DKNG_20230217_13.5
159,BYND_20230210_13.0
160,AI_20230210_17.5
161,AI_20230210_16.5
162,CVNA_20230303_5.5
163,TOST_20230217_19.0
164,CLF_20230217_19.5
165,PLUG_20230210_15.5
166,PARA_20230217_21.5
167,AFRM_20230210_11.5
168,CVNA_20230224_6.0
169,CVNA_20230224_5.0
170,DKNG_20230210_14.5
171,RIVN_20230210_15.0
172,TQQQ_20230210_20.5
173,NTGR_20230217_18.0
174,UPST_20230210_14.5
175,UPST_20230210_13.5
176,SCO_20230217_22.0
177,MPW_20230217_11.0
178,MPW_20230217_10.5
179,AI_20230217_15.5
180,BITO_20230217_13.0
181,RIOT_20230303_4.5
182,SOXL_20230217_12.5
183,LABU_20230224_6.5
184,WBD_20230217_13.5
185,CVNA_20230217_6.5
186,ZIM_20230224_17.0
187,KD_20230217_12.0
188,NCLH_20230224_13.5
189,PTON_20230217_13.0
190,CWH_20230210_23.0
191,PLTR_20230224_6.5
192,TQQQ_20230210_20.0
193,BUG_20230217_21.68
194,AFRM_20230217_11.0
195,CLF_20230217_18.5
196,CHPT_20230217_10.5
197,M_20230217_21.0
198,LCID_20230224_8.0
199,JWN_20230210_18.0
200,JWN_20230210_17.0
201,TQQQ_20230217_19.5
202,PLUG_20230217_15.0
203,PLUG_20230217_14.0
204,RIVN_20230217_14.5
205,JANX_20230217_12.5
206,NTGR_20230217_17.0
207,RIOT_20230310_4.0
208,DKNG_20230217_13.0
209,CLF_20230217_19.0
210,HOOD_20230224_8.5
211,S_20230217_13.0
212,ITOS_20230217_12.5
213,WBD_20230224_13.0
214,LCID_20230217_8.5
215,AI_20230217_16.0
216,LCID_20230224_7.5
217,PTON_20230217_12.5
218,IGMS_20230217_17.5
219,PARA_20230217_21.0
220,SKIN_20230317_9.0
221,SNAP_20230224_8.5
222,XP_20230217_15.0
223,XP_20230217_14.0
224,CARG_20230217_15.0
225,CARG_20230217_14.0
226,LABU_20230303_6.0
227,TQQQ_20230217_19.0
228,RIVN_20230217_14.0
229,NCLH_20230217_14.0
230,LCID_20230224_7.0
231,SOXL_20230217_12.0
232,CHPT_20230224_10.0
233,KRNT_20230217_20.0
234,BITO_20230217_12.5
235,MPW_20230224_10.0
236,PLUG_20230217_14.5
237,PTON_20230217_12.0
238,CCL_20230224_9.5
239,HOOD_20230303_8.0
240,M_20230217_21.5
241,PARA_20230217_20.5
242,OI_20230217_18.0
243,AI_20230217_15.0
244,ZIM_20230217_17.5
245,AFRM_20230217_10.0
246,DKNG_20230217_12.5
247,PTON_20230224_11.5
248,CHPT_20230303_9.5
249,CCL_20230224_9.0
250,AAL_20230217_15.0
251,SOXL_20230217_11.5
252,PRG_20230217_17.5
253,ISEE_20230217_17.5
254,DKNG_20230224_12.0
255,BXMT_20230217_21.0
256,JWN_20230217_17.5
257,BMBL_20230317_20.0
258,SOXL_20230310_10.0
259,PLUG_20230224_13.5
260,TQQQ_20230217_18.5
261,LCID_20230303_6.5
262,PLTR_20230310_6.0
263,PTON_20230303_11.0
264,PARA_20230217_20.0
265,PTON_20230303_10.5
266,AAL_20230303_14.5
267,CMRE_20230317_9.0
268,CFLT_20230317_17.5
269,LCID_20230303_6.0
270,TQQQ_20230217_18.0
271,F_20230303_12.0
272,RIVN_20230224_13.5
273,TQQQ_20230224_16.0
274,SOXL_20230224_11.0
275,SNAP_20230310_8.0
276,SOXL_20230303_10.5
277,LAC_20230317_17.5
278,TQQQ_20230224_17.5
279,PTON_20230303_10.0
280,GOLD_20230224_18.0
281,PTON_20230310_9.5
282,TQQQ_20230303_16.5
283,SLV_20230310_20.0
284,SLV_20230224_20.5
285,SOXL_20230303_9.5
286,CHGG_20230317_15.0
287,NWL_20230317_13.0
288,TQQQ_20230224_17.0
289,LEVI_20230317_16.0
290,ARCC_20230317_17.0
291,ARCC_20230317_16.0
292,ITOS_20230317_10.0
293,LAC_20230421_15.0
294,KEY_20230616_17.0
