,Symbol
0,LSXMB
1,LBTYB
2,GTN.A
3,MDAI
4,ARL
5,GEF.B
6,ARBB
7,TCI
8,EXPR
9,HVT.A
10,PARAA
11,JTAI
12,FLJ
13,ZIM
14,ACRX
15,SBGI
16,SEPA
17,CTRM
18,9713
19,GRIN
20,APVO
21,LEN.B
22,AONC
23,TBCP
24,RELI
25,MNR
26,GHLD
27,STG
28,CACO
29,VHI
30,BURU
31,CLRO
32,AMTD
33,DISH
34,LDWY
35,TISI
36,IMPP
37,RMGC
38,BRID
39,COCH
40,ELIQ
41,CMRX
42,ARQQ
43,LCA
44,USEA
45,UHAL
46,NISN
47,JWSM
48,CRBG
49,6195
50,PSHG
51,BON
52,NIR
53,MNY
54,NOAH
55,JXN
56,HTZ
57,EDRY
58,METCB
59,BNRE
60,FISK
61,TOPS
62,6334
63,8891
64,6835
65,TORO
66,AGM.A
67,CURV
68,ESEA
69,SDRL
70,HRT
71,CMRE
72,JFIN
73,3205
74,9028
75,IPVF
76,CHR
77,LINK
78,9160
79,3347
80,8699
81,DLNG
82,5527
83,XYF
84,3264
85,NMM
86,JAN
87,3497
88,6094
89,NCPL
90,BPT
91,OSI
92,CRK
93,CONX
94,ASRT
95,7384
96,RAYA
97,9726
98,CPSS
99,RUSHB
100,SPLP
101,1739
102,PPYA
103,CDT
104,ADTH
105,FPAY
106,HHS
107,OBE
108,ULH
109,BACA
110,3350
111,OLPX
112,BYU
113,FGI
114,6034
115,7808
116,SRTS
117,4044
118,7389
119,GLBS
120,2984
121,4365
122,5753
123,LBRDA
124,1850
125,PROC
126,EEX
127,8596
128,PBR.A
129,OGCP
130,GURE
131,6257
132,3440
133,YRD
134,PPYAU
135,LIVE
136,7887
137,BLUA.U
138,GSM
139,ACT
140,LIZI
141,EGLE
142,MOLN
143,2991
144,6635
145,3280
146,1518
147,CLDI
148,7050
149,DQ
150,CWEN.A
151,LICN
152,UI
153,5395
154,ATLC
155,4691
156,HAIA
157,PTSI
158,REPX
159,AMBC
160,4310
161,EAF
162,OCG
163,NL
164,DAC
165,TANH
166,BYTS
167,3080
168,TEDU
169,SB
170,GRNT
171,PNRG
172,9856
173,MKC.V
174,WHLM
175,2389
176,AEAE
177,APWC
178,SJ
179,9107
180,DISA
181,9311
182,9115
183,5078
184,9625
185,ALTU
186,BBUC
187,9823
188,2795
189,9446
190,3640
191,PTVE
192,9232
193,9441
194,9852
195,4437
196,PXS
197,CELU
198,PPC
199,MBAC
200,7940
201,IRAA
202,8032
203,9946
204,GTN
205,KEN
206,7461
207,CPE
208,8772
209,3934
210,3184
211,GTE
212,9110
213,MERC
214,MAQC
215,IFS
216,TDCX
217,REI
218,CQP
219,4781
220,IRS
221,8928
222,AVAL
223,7805
224,6634
225,9274
226,7879
227,PLTK
228,WLYB
229,6190
230,HPK
231,9171
232,5458
233,2981
234,7849
235,7567
236,7112
237,9104
238,NVNI
239,9867
240,3583
241,NSTB
242,ORGN
243,SUP
244,CPTN
245,CIX
246,9101
247,CPLP
248,WTI
249,KCGI
250,SBOW
251,9896
252,5217
253,6428
254,FTCH
255,7509
256,7219
257,1450
258,PBR
259,LAES
260,8225
261,BRBS
262,2424
263,8089
264,VIR
265,SLAC
266,5935
267,CHCI
268,2481
269,BELFA
270,7957
271,PMTS
272,2892
273,1758
274,TRMD
275,3377
276,4031
277,GPRK
278,7946
279,VTLE
280,9428
281,3422
282,2993
283,NC
284,4990
285,9691
286,4100
287,SGE
288,8747
289,3157
290,LXU
291,PBF
292,FSI
293,3991
294,CNDB
295,9355
296,ELA
297,TLSI
298,5697
299,9890
300,2653
301,3540
302,CCLD
303,LU
304,DTCK
305,9791
306,9365
307,ICL
308,KRO
309,8072
310,8040
