,Symbol
0,4541
1,3776
2,8346
3,7615
4,6578
5,9816
6,8714
7,3550
8,7455
9,3137
10,6059
11,9466
12,3929
13,8732
14,7167
15,8550
16,3286
17,8572
18,8600
19,7819
20,7953
21,7161
22,7180
23,8698
24,5070
25,7150
26,9412
27,8604
28,1446
29,3565
30,4386
31,3646
32,4295
33,7670
34,5932
35,6570
36,6986
37,4680
38,5210
39,3965
40,5191
41,8601
42,4492
43,1451
44,9405
45,6555
46,7337
47,3422
48,9504
49,7875
50,6482
51,8708
52,7807
53,2179
54,6239
55,3289
56,3497
57,7066
58,3284
59,8306
60,9078
61,6556
62,5408
63,6349
64,3857
65,7040
66,6905
67,7087
68,9275
69,8541
70,7088
71,4463
72,7196
73,8387
74,7898
75,4420
76,3434
77,7030
78,3863
79,8542
80,1375
81,7059
82,3918
83,7182
84,7198
85,8360
86,6464
87,6178
88,9404
89,4380
90,4676
91,8383
92,5449
93,7804
94,4200
95,4441
96,8344
97,4886
98,8521
99,8707
100,6656
101,7092
102,6640
103,5440
104,3612
105,7812
106,2820
107,7698
108,8151
109,6231
110,7686
111,9409
112,6269
113,7368
114,8362
115,4398
116,7322
117,7036
118,7931
119,2579
120,8364
121,2910
122,3969
123,6817
124,6151
125,3931
126,8395
127,6804
128,4491
129,7860
130,4172
131,8365
132,2309
133,8343
134,3087
135,3688
136,4249
137,8386
138,4171
139,4569
140,8361
141,7417
142,9413
143,8551
144,8345
145,8336
146,8392
147,1379
148,8341
149,6832
150,9783
151,4538
152,3028
153,9613
154,9739
155,7181
156,2372
157,8393
158,7681
159,8367
160,7173
161,9064
162,2768
163,2981
164,7327
165,4109
166,6230
167,3708
168,7073
169,2181
170,8522
171,7451
172,4739
173,4118
174,6278
175,9260
176,6592
177,4887
178,6976
179,4581
180,6971
181,6857
182,6963
183,6758
184,3472
185,4541
186,3776
187,7615
188,8346
189,6578
190,9816
191,8714
192,3550
193,7455
194,3137
195,6059
196,9466
197,3929
198,8732
199,7167
200,8550
201,3286
202,8572
203,8600
204,7819
205,7953
206,7161
207,7180
208,5070
209,8698
210,7150
211,9412
212,8604
213,1446
214,3565
215,4386
216,3646
217,4295
218,7670
219,5932
220,6570
221,4680
222,6986
223,5210
224,3965
225,5191
226,8601
227,4492
228,1451
229,9405
230,6555
231,7337
232,3422
233,9504
234,7875
235,6482
236,8708
237,7807
238,2179
239,6239
240,3289
241,3497
242,7066
243,3284
244,8306
245,9078
246,6556
247,5408
248,6349
249,3857
250,7040
251,6905
252,7087
253,9275
254,8541
255,7088
256,4463
257,7196
258,8387
259,7898
260,4420
261,3434
262,7030
263,3863
264,8542
265,1375
266,7059
267,3918
268,7182
269,7198
270,8360
271,6464
272,6178
273,9404
274,4380
275,4676
276,8383
277,5449
278,7804
279,4200
280,4441
281,8344
282,4886
283,8521
284,8707
285,6656
286,7092
287,6640
288,5440
289,3612
290,7812
291,2820
292,7698
293,8151
294,6231
295,7686
296,9409
297,6269
298,7368
299,8362
300,4398
301,7322
302,7931
303,7036
304,2579
305,8364
306,2910
307,3969
308,6817
309,6151
310,3931
311,8395
312,6804
313,4491
314,7860
315,4172
316,8365
317,2309
318,8343
319,3087
320,3688
321,4249
322,8386
323,4171
324,4569
325,8361
326,7417
327,9413
328,8551
329,8345
330,8336
331,8392
332,1379
333,8341
334,6832
335,9783
336,4538
337,3028
338,9613
339,9739
340,7181
341,2372
342,8393
343,7681
344,8367
345,7173
346,9064
347,2768
348,2981
349,7327
350,4109
351,6230
352,3708
353,7073
354,2181
355,8522
356,7451
357,4739
358,4118
359,6278
360,9260
361,6592
362,4887
363,6976
364,4581
365,6971
366,6857
367,6963
368,6758
369,3472
370,GSK
371,VZ
372,NLY
373,SLG
374,WBA
375,CLM
376,PDI
377,FSK
378,NEM
379,STWD
380,PMT
381,WHR
382,IVR
383,CRF
384,EFC
385,VNO
386,IBM
387,WLKP
388,DOW
389,ECC
390,GRIN
391,ORC
392,TEL
393,R
394,EMN
395,MAIN
396,SWK
397,BGFV
398,AIRC
399,HON
400,LNC
401,ETD
402,EVR
403,OPI
404,AUBAP
405,JCE
406,RILY
407,CEQP
408,UCBIO
409,ELAT
410,STRRP
411,TSLX
412,CCNEP
413,KNOP
414,TWO
415,CHSCP
416,OCCI
417,CIVI
418,CCD
419,AVA
420,FDX
421,OMF
422,SAFT
423,VRTS
424,IFS
425,FGFPP
426,MATV
427,CEM
428,KALU
429,CTR
430,VIASP
431,EMO
432,BR
433,SRV
434,VNOM
435,SMG
436,RA
437,SLMBP
438,TTP
439,CSSEP
440,RSF
441,MVO
442,APAM
443,CCAP
444,SOR
445,KRC
446,PCH
447,LBRDP
448,UVV
449,NTB
450,HTIA
451,TYG
452,GSBD
453,MTBCP
454,NVEC
455,FBIOP
456,RIV
457,AIRTP
458,QRTEP
459,AQNA
460,RILYL
461,EQIX
462,CSSEN
463,LAZ
464,ESGRP
465,NRP
466,KREF
467,RILYP
468,PATI
469,USAC
470,GNK
471,GECC
472,FRGAP
473,GOF
474,CSR
475,LPG
476,PTMN
477,OCFCP
478,CM
479,SWX
480,HIW
481,IP
482,OPP
483,NYMTN
484,WTFCP
485,BEDU
486,WMC
487,PSF
488,AGR
489,KNTK
490,XOMAP
491,NTG
492,RMR
493,GFLU
494,NXST
495,PXSAP
496,AGNCM
497,LAUR
498,AJXA
499,BGS
500,BDXB
501,CQP
502,SABRP
503,MSCI
504,DFP
505,AY
506,IIVIP
507,BSTZ
508,9766
509,BCV
510,NIE
511,ACV
512,RNP
513,VFC
514,AIO
515,4238
516,LDP
517,SACC
518,NREF
519,MBINP
520,6480
521,JPM
522,DVN
523,CTRA
524,NTAP
525,TGT
526,COP
527,SJM
528,ADI
529,PSX
530,LHX
531,COF
532,MMM
533,NGG
534,SWKS
535,USB
536,NTR
537,RTX
538,AB
539,GS
540,D
541,TXN
542,SPG
543,HTGC
544,CVS
545,YY
546,MMC
547,ARCC
548,MPLX
549,AXP
550,AMT
551,CWH
552,DMLP
553,EOG
554,MS
555,OKE
556,FIS
557,BMEZ
558,CBRL
559,AAP
560,UPS
561,CMA
562,BOKF
563,EMR
564,JACK
565,SBAC
566,ALE
567,NUE
568,BMY
569,PNC
570,BG
571,CR
572,ESGRO
573,FCNCA
574,KMB
575,WM
576,ETO
577,AFG
578,SSB
579,PH
580,PRK
581,PPG
582,WELL
583,BXP
584,SON
585,CCI
586,FRT
587,NOC
588,AEP
589,POR
590,NYMTM
591,WINA
592,IFF
593,PIPR
594,AIZ
595,NWN
596,DOV
597,KTH
598,JJSF
599,WTW
600,EIG
601,GPC
602,SNA
603,CPT
604,SBNY
605,MSM
606,CCOI
607,KTB
608,CHSCN
609,CAPL
610,DDT
611,CZFS
612,SRC
613,NSP
614,TRV
615,MSA
616,LFUS
617,TRTN
618,NWE
619,MC
620,EVT
621,HAS
622,FATBP
623,ARE
624,CSWC
625,TT
626,NTRS
627,EQR
628,CABO
629,AGNCN
630,CBU
631,LEG
632,ATO
633,STT
634,WASH
635,MNSBP
636,PEG
637,AEE
638,PLD
639,DUK
640,WSM
641,NSC
642,INGR
643,ROK
644,ALL
645,CE
646,ITIC
647,MBNKP
648,REG
649,NFG
650,QSR
651,BFS
652,HTLFP
653,OXM
654,ED
655,MED
656,GEF
