,Symbol
0,TQQQ
1,SOXL
2,MULN
3,SQQQ
4,TSLA
5,QQQ
6,SOXS
7,COMS
8,XELA
9,DBVT
10,SPXS
11,AMC
12,SPY
13,APRN
14,UVXY
15,BOIL
16,VGFC
17,HGEN
18,SPXU
19,IMMP
20,PSQ
21,LABU
22,AMZN
23,UNG
24,HLBZ
25,AAPL
26,FERG
27,AVYA
28,UPRO
29,TMF
30,SPXL
31,PBTS
32,CCL
33,KOLD
34,NOK
35,SOFI
36,SH
37,SLV
38,NRBO
39,NIO
40,VTGN
41,SDS
42,XPEV
43,PRQR
44,SDOW
45,YANG
46,OPEN
47,NVDA
48,ARVL
49,QID
50,WNW
51,GOTU
52,WISA
53,LCID
54,AMD
55,PLTR
56,F
57,LABD
58,SLMBP
59,TNA
60,IWM
61,ARKK
62,CS
63,SSO
64,FFIE
65,XCUR
66,TLT
67,FXI
68,GOEV
69,IDEX
70,TZA
71,BBBY
72,TAL
73,TBF
74,MARA
75,ARDX
76,IMBI
77,CENN
78,GDX
79,SPCE
80,SNAP
81,STLA
82,LU
83,CVNA
84,BABA
85,IONQ
86,MINT
87,QLD
88,GOOGL
89,TLRY
90,COSM
91,VIXY
92,ATNX
93,XLF
94,CEI
95,CLF
96,BBD
97,CHRS
98,TCDA
99,PBLA
100,NTNX
101,AAL
102,PBR
103,FTCH
104,ACWI
105,GM
106,META
107,EEM
108,WEBL
109,VERO
110,NKLA
111,PLUG
112,DIA
113,PRTY
114,ALVO
115,XLE
116,YGMZ
117,GROM
118,FNGU
119,NCLH
120,BBIG
121,ZOM
122,AVCT
123,CRBP
124,LYFT
125,INTC
126,UDOW
127,UUP
128,SRNE
129,APCX
130,ITUB
131,ATNF
132,SCO
133,SHOP
134,MMAT
135,MSFT
136,AGQ
137,TECL
138,UCO
139,KWEB
140,PBR.A
141,JAGX
142,REED
143,BILI
144,OXY
145,DKNG
146,RDHL
147,NVO
148,RWM
149,CHPT
150,BAC
151,T
152,FUBO
153,GOOG
154,USO
155,OGEN
156,JBLU
157,GLD
158,CFRX
159,CGC
160,GOLD
161,JDST
162,ORIC
163,SOLO
164,IQ
165,WISH
166,VALE
167,HOFV
168,HYMC
169,RIG
170,VOO
171,PARA
172,RIOT
173,TELL
174,AZUL
175,VXX
176,DOG
177,ME
178,RAD
179,VLTA
180,AMTI
181,FCEL
182,TBT
183,SLB
184,JOBY
185,SQ
186,HMY
187,COUP
188,IVV
189,VS
190,UBER
191,TSM
192,OTLK
193,BIOR
194,ET
195,OCGN
196,REAL
197,AEI
198,VKTX
199,ADCT
200,MU
201,TNXP
202,SID
203,SWN
204,PLTM
205,ACB
206,EWZ
207,BNGO
208,EQNR
209,CTXR
210,LYG
211,SKLZ
212,VRM
213,SPDN
214,RSLS
215,DOYU
216,SVXY
217,EXPR
218,SPTL
219,HUT
220,PYPL
221,GOGL
222,GGB
223,DXD
224,ABEV
225,LI
226,DVN
227,WEAT
228,KMX
229,OPGN
230,CANO
231,HIBS
232,NUGT
233,LMNR
234,DIS
235,AG
236,INDA
237,ARR
238,NFLX
239,NYMT
240,AUVI
241,ZSL
242,DAL
243,IRNT
244,TGTX
245,BLI
246,EDU
247,LAZR
248,IAU
249,TDOC
250,NVTA
251,GOL
252,TMDI
253,JEPI
254,MPW
255,PUK
256,GME
257,PLX
258,NILE
259,UPST
260,RIGL
261,URTY
262,SNDL
263,GRAB
264,ROKU
265,CLOV
266,MGTA
267,SMMT
268,XOM
269,FSR
