,Symbol
0,7203
1,6758
2,8306
3,9432
4,6861
5,9983
6,8035
7,9433
8,8058
9,4063
10,8316
11,8001
12,7267
13,9434
14,4661
15,8031
16,7974
17,4519
18,4568
19,6902
20,6098
21,8766
22,9984
23,6367
24,2914
25,4502
26,8411
27,6981
28,7741
29,3382
30,7182
31,6273
32,6178
33,6503
34,5108
35,8053
36,8002
37,6723
38,6954
39,6201
40,7751
41,6702
42,9022
43,6301
44,6857
45,4901
46,6752
47,6594
48,6146
49,4689
50,4503
51,4543
52,8801
53,7269
54,8591
55,8750
56,5401
57,8015
58,2502
59,4578
60,9020
61,2802
62,8113
63,8725
64,1605
65,1925
66,6920
67,8267
68,4452
69,7733
70,9613
71,3659
72,8802
73,4612
74,6326
75,6762
76,7201
77,4307
78,9735
79,4523
80,8630
81,7270
82,6701
83,4507
84,7309
85,7832
86,8309
87,8830
88,6502
89,1928
90,4684
91,7532
92,8308
93,9101
94,2801
95,8604
96,2503
97,9503
98,4911
99,4091
100,9843
101,2413
102,8697
103,5020
104,6869
105,7259
106,7202
107,2897
108,6988
109,5802
110,8795
111,9531
112,2587
113,9202
114,6506
115,9021
116,4716
117,3407
118,9502
119,9104
120,7550
121,4188
122,8593
123,5411
124,4151
125,9143
126,8601
127,4528
128,7272
129,3402
130,9201
131,9532
132,5713
133,6645
134,4755
135,3088
136,2267
137,1812
138,5201
139,9042
140,4768
141,7701
142,7261
143,4324
144,6479
145,1878
146,3003
147,9005
148,9501
149,7181
150,7912
151,9697
152,9009
153,9766
154,6963
155,5019
156,9107
157,7911
158,6586
159,4739
160,4062
161,9435
162,4704
163,1801
164,6383
165,2269
166,1802
167,9064
168,7936
169,6965
170,7735
171,9602
172,6504
173,4204
174,8473
175,3092
176,6305
177,2702
178,9719
179,4185
180,2875
181,9007
182,7186
183,8331
184,9041
185,9001
186,3038
187,6841
188,4183
189,4021
190,4527
191,7276
192,7747
193,1911
194,3064
195,7211
196,3436
197,3626
198,7752
199,6724
200,2651
201,6967
202,8439
203,5334
204,6465
205,5406
206,8354
207,4732
208,9147
209,9962
210,1803
211,3099
212,6361
213,6532
214,2212
215,3289
216,3231
217,6845
218,5332
219,2002
220,3635
221,2768
222,4005
223,6448
224,9684
225,4816
226,3349
227,3291
228,9706
229,4042
230,2670
231,3288
232,4922
233,6753
234,3769
235,5333
236,7951
237,6370
238,3861
239,3697
240,7012
241,2181
242,4403
243,8227
244,8136
245,6806
246,7453
247,1773
248,9008
249,8572
250,3405
251,3141
252,3197
253,4536
254,3391
255,4613
256,5101
257,4385
258,5021
259,1808
260,5938
261,6113
262,3116
263,2784
264,4967
265,4733
266,8111
267,6526
268,6460
269,2593
270,9142
271,8060
272,9989
273,9508
274,4004
275,8252
276,6473
277,6976
278,5110
279,9506
280,7459
281,5929
282,9024
283,2501
284,4182
285,1944
286,3774
287,7731
288,4581
289,7167
290,5444
291,4088
292,2282
293,2331
294,5838
295,5076
296,7013
297,8804
298,6923
299,9513
300,2871
301,5947
302,4202
303,2327
304,6302
305,9401
306,3923
307,2433
308,4751
309,9045
310,8056
311,9048
312,8088
313,8359
314,1963
315,7282
316,3132
317,8905
318,5901
319,6856
320,7649
321,8253
322,3086
323,6324
324,7180
325,1721
326,4912
327,4516
328,9404
329,6471
330,2222
331,9006
332,4530
333,5105
334,7988
335,8304
336,6417
337,2579
338,9831
339,2809
340,9504
341,8424
342,6481
343,9749
344,6028
345,7729
346,2229
347,9468
348,8233
349,8410
350,5344
351,3397
352,7564
353,4927
354,7240
355,4186
356,4676
357,8114
358,2810
359,9076
360,1951
361,7164
362,1414
363,9301
364,9044
365,9987
366,5233
367,9364
368,6005
369,6141
370,6268
371,2371
372,6849
373,6728
374,5711
375,1973
376,1959
377,3563
378,4203
379,8279
380,4812
381,5714
382,1662
383,3549
384,8283
385,4194
386,5830
387,5803
388,7337
389,4666
390,4483
391,6592
392,4401
393,9533
394,6952
395,3107
396,4205
397,8334
398,5214
399,6951
400,2811
401,7071
402,1942
403,7581
404,7205
405,1860
406,8570
407,5991
408,5463
409,6755
410,4921
411,2206
412,9065
413,8174
414,5471
415,8012
416,8273
417,2264
418,6406
419,6807
420,7984
421,9003
422,8341
423,8418
424,7163
425,3401
426,9090
427,6770
428,6368
429,6966
430,9783
431,4980
432,4118
433,9449
434,5706
435,2201
436,7313
437,8129
438,2531
439,7189
440,7458
441,8425
442,4681
443,6055
444,5384
445,8876
446,7716
447,9616
448,3994
449,6436
450,3941
