,Symbol
0,6723
1,8830
2,9503
3,9502
4,9501
5,2651
6,5831
7,3697
8,4385
9,9508
10,6526
11,5901
12,9506
13,4194
14,9404
15,3994
16,4587
17,5830
18,4478
19,8628
20,5032
21,4443
22,9552
23,4180
24,9336
25,4565
26,5832
27,4887
28,9519
29,4480
30,1861
31,1333
32,6080
33,6740
34,3479
35,4485
36,2931
37,7389
38,9509
39,5253
40,3182
41,4384
42,7157
43,9416
44,9204
45,4449
46,4599
47,2109
48,4933
49,7388
50,5461
51,7095
52,7373
53,4880
54,1821
55,4431
56,7342
57,3993
58,6027
59,4371
60,2980
61,7383
62,3694
63,2160
64,3926
65,4080
66,3491
67,4592
68,9726
69,6524
70,4053
71,3660
72,4375
73,6562
74,9424
75,4169
76,7779
77,6521
78,3395
79,4448
80,3825
81,3914
82,2937
83,7003
84,4413
85,5129
86,3984
87,7794
88,2612
89,4477
90,7094
91,8392
92,3773
93,6330
94,8343
95,4419
96,4435
97,5139
98,6955
99,4936
100,9246
101,7931
102,9556
103,6094
104,4801
105,4259
106,4165
107,4310
108,7061
109,9828
110,3900
111,4377
112,9467
113,6572
114,7096
115,9553
116,9227
117,4393
118,2540
119,2884
120,9046
121,3922
122,4475
123,6095
124,6194
125,3915
126,7776
127,8202
128,9990
129,2193
130,9341
131,4563
132,4890
133,7326
134,4376
135,7048
136,2933
137,3221
138,4575
139,4382
140,4772
141,6613
142,4593
143,4442
144,4425
145,7047
146,7774
147,4978
148,6612
149,4263
150,3264
151,4891
152,4434
153,9272
154,7238
155,4493
156,6073
157,4192
158,6232
159,2998
160,5240
161,4579
162,5132
163,4571
164,7133
165,4582
166,4488
167,5337
168,8076
169,4479
170,9257
171,5759
172,3446
173,7562
174,7068
175,3656
176,5137
177,4058
178,3979
179,3655
180,4056
181,3991
182,3990
183,4074
184,4490
185,9262
186,3777
187,6047
188,4446
189,2370
190,4125
191,4875
192,5034
193,9558
194,9713
195,7359
196,5079
197,9248
198,9219
199,4499
200,4651
201,7777
202,4498
203,8789
204,2934
205,5244
206,4934
207,2990
208,3103
209,4418
210,6172
211,6946
212,3963
213,6560
214,9701
215,6835
216,3760
217,2338
218,9563
219,4168
220,8383
221,9218
222,4888
223,9343
224,4176
225,4260
226,5018
227,4594
228,3541
229,3010
230,4777
231,6081
232,9522
233,7494
234,3686
235,7699
236,2138
237,5127
238,7039
239,7481
240,8462
241,4588
242,7078
243,1783
244,4268
245,7367
246,3175
247,1447
248,7082
249,9078
250,9221
251,1850
252,4011
253,4347
254,3989
255,4564
256,2993
257,1491
258,2812
259,1757
260,5527
261,7379
262,4892
263,5250
264,7135
265,6208
266,7063
267,4883
268,4583
269,7114
270,7859
271,9212
272,7110
273,3936
274,4512
275,2391
276,4572
277,8207
278,5078
279,9211
280,4597
281,7086
282,6121
283,4019
284,3692
285,7506
286,9565
287,7386
288,4584
289,3556
290,3652
291,6189
292,7072
293,2970
294,7695
295,2667
296,9560
297,3667
298,3912
299,6034
300,8046
301,2978
302,3981
303,6054
304,4374
305,4598
306,2315
307,3943
308,4360
309,4170
310,4429
311,4576
312,7264
313,6993
314,4256
315,7375
316,7531
317,2984
318,7089
319,3135
320,7091
321,4591
322,9259
323,7795
324,6185
325,6166
326,6176
327,6552
328,7368
329,6927
330,3058
331,9245
332,5125
333,3529
334,2798
335,9554
336,4428
337,4397
338,7372
339,2388
340,4596
341,7353
342,6049
343,5026
344,9263
345,4175
346,4270
347,3271
348,3967
349,9561
350,4447
351,2340
352,9704
353,7603
354,3851
355,9760
356,7857
357,5033
358,5128
359,4889
360,4264
361,9446
362,4075
363,6031
364,4496
365,8894
366,7694
367,7378
368,7134
369,3653
370,8783
371,4379
372,4060
373,2483
374,4884
375,4476
376,5476
377,7069
378,4069
379,3680
380,6193
381,2291
382,4014
383,5031
384,4167
385,5035
386,7351
387,4881
388,4262
389,7111
390,6039
391,6819
392,3998
393,4414
394,3719
395,3521
396,7034
397,7064
398,6840
399,9564
400,4412
401,7049
402,6721
403,4370
404,4372
405,9876
406,3917
407,7080
408,3224
409,6346
410,4387
411,9318
412,9720
413,7992
414,8518
415,4422
416,9252
417,2397
418,4177
419,4484
420,4586
421,3999
422,4068
423,6046
424,6634
425,3674
426,3753
427,6580
428,8107
429,6494
430,4173
431,9326
432,4258
433,7044
434,9557
435,3823
436,5781
437,7127
438,5028
439,6038
440,7035
441,3557
442,7625
443,2404
444,7208
445,5216
446,6577
447,6090
448,4570
449,7126
450,5131
451,4076
452,2983
453,9969
454,2795
455,3970
456,6327
457,9342
458,6599
459,4437
460,3858
461,7031
462,7916
463,7318
464,4424
465,4015
466,4052
467,3350
468,9258
469,5103
470,3905
471,9973
472,9250
473,4438
474,4261
475,6563
476,6032
477,2656
478,5721
479,6549
480,4017
481,4882
482,4178
483,3358
484,3726
485,7360
486,6181
487,9012
488,7361
489,4487
490,2334
491,3664
492,3372
493,9256
494,3691
495,7041
496,5704
497,2999
498,4381
499,7084
500,6579
501,3672
502,3935
503,5126
504,3907
505,3927
506,6803
507,4450
508,3985
509,7791
510,3928
511,4444
512,4247
513,6775
514,7746
515,4057
516,9220
517,3071
518,6558
519,7836
520,3840
521,3782
522,4378
523,7356
524,4833
525,4199
526,4222
527,7709
528,2961
529,2321
530,3624
531,4415
532,4196
533,4937
534,3083
535,4678
536,4391
537,3111
538,3815
539,8996
540,3727
541,6048
542,6550
543,4445
544,2402
545,4814
546,3987
547,7804
548,9214
549,7140
550,3747
551,2215
552,2408
553,5134
554,6548
555,4679
556,9254
557,2776
558,3976
559,1711
560,6557
561,3185
562,2901
563,3930
564,8256
565,3202
566,5029
567,7362
568,4770
569,3070
570,2743
571,7093
572,8247
573,4166
574,7793
575,6664
576,3961
577,9685
578,7090
579,5341
580,1444
581,3920
582,4265
583,2330
584,6969
585,3409
586,6696
587,4416
588,2586
589,6190
590,3237
591,8013
592,4020
593,8946
594,9635
595,8836
596,2687
597,4255
598,9240
599,7077
600,7771
601,7363
602,4240
603,7689
604,5025
605,9242
606,7376
607,7062
608,3639
609,3787
610,7067
611,4918
612,7139
613,4930
614,3802
615,9941
616,6898
617,6942
618,6545
619,7138
620,7369
621,3416
622,9978
623,2721
624,9562
625,3908
626,1400
627,8254
628,6786
629,7601
630,2134
631,3490
632,4016
633,9213
634,9244
635,7357
636,9425
637,7345
638,9215
639,4179
640,6731
641,7886
642,9812
643,4316
644,4059
645,7131
646,6380
647,6659
648,3913
649,7083
650,7074
651,9878
652,9271
653,6085
654,3779
655,6573
656,8209
657,2459
658,7719
659,2673
660,6574
661,2323
662,6177
663,9399
664,9241
665,3223
666,3803
667,9610
668,2997
669,6836
670,6416
671,3370
672,7997
673,5251
674,GOOGL
675,GOOG
676,AMZN
677,TSLA
678,META
679,BABA
680,CRM
681,TM
682,TMUS
683,ADBE
684,AMD
685,NFLX
686,ELV
687,SONY
688,BKNG
689,PDD
690,REGN
691,ISRG
692,NOW
693,PYPL
694,VRTX
695,ABNB
696,FISV
697,BSX
698,UBER
699,MELI
700,PANW
701,MRNA
702,SHOP
703,SNPS
704,CDNS
705,MNST
706,BIDU
707,SMFG
708,CHTR
709,TAK
710,ORLY
711,FTNT
712,ANET
713,WDAY
714,EW
715,SE
716,CMG
717,AZO
718,DXCM
719,SNOW
720,LULU
721,ADSK
722,IDXX
723,TEAM
724,WDS
725,BIIB
726,SQ
727,HLN
728,SGEN
729,GFS
730,IQV
731,WBD
732,GEHC
733,CPRT
734,CNC
735,ILMN
736,ON
737,MTD
