,Symbol
0,HEXO
1,TLRY
2,SQQQ
3,KERN
4,ADTX
5,ACB
6,SPXU
7,ATXI
8,UVXY
9,NVIV
10,SPXS
11,COMS
12,CEI
13,PSTV
14,LABU
15,TWTR
16,MULN
17,SH
18,SOXS
19,MICT
20,QID
21,SNDL
22,CLVR
23,PBTS
24,PEGY
25,LI
26,MSOS
27,HGEN
28,STAB
29,CCNC
30,SOFI
31,SDS
32,PSQ
33,CRON
34,KOLD
35,TZA
36,BTB
37,AAL
38,ZVO
39,RIG
40,XPEV
41,PLTR
42,GDX
43,GGE
44,CS
45,LABD
46,FFIE
47,SNAP
48,MARA
49,TTOO
50,AMC
51,LFLY
52,NCLH
53,SDOW
54,BNGO
55,AVCT
56,AMBC
57,GDXU
58,BOIL
59,IMBI
60,FCEL
61,GOEV
62,OGI
63,LYFT
64,GHSI
65,XELA
66,HMY
67,TMBR
68,VIXY
69,MAPS
70,PLUG
71,RIOT
72,IDEX
73,LEVI
74,IQ
75,APRN
76,ARVL
77,UBER
78,NKLA
79,OPEN
80,MJ
81,NILE
82,ATER
83,BLUE
84,BBIG
85,TPGY
86,PTON
87,REVB
88,PSHG
89,CSCW
90,ATNX
91,GMBL
92,KTRA
93,USO
94,BHAT
95,RDHL
96,WTRH
97,FUBO
98,ADMP
99,DB
100,ZOM
101,KWEB
102,TBT
103,PSLV
104,UCO
105,SPPI
106,CEAD
107,GNLN
108,HYFM
109,IBIO
110,AGQ
111,SPRO
112,BABA
113,IONQ
114,CUK
115,FNGR
116,SCO
117,UNG
118,FSR
119,U
120,AVYA
121,FAZ
122,JBLU
123,YANG
124,DRIP
125,HL
126,APLT
127,IGC
128,MOTS
129,TBLT
130,EAR
131,MMAT
132,HIBS
133,VEV
134,GRAB
135,ACRX
136,YCBD
137,RWM
138,VFF
139,SNOW
140,CRBP
141,VRM
142,WTI
143,SKLZ
144,VS
145,HITI
146,NGD
147,TWM
148,VLTA
149,FWBI
150,CPG
151,BSGM
152,ME
153,LYG
154,RUBY
155,AMTD
156,BIOR
157,NVTA
158,NMTR
159,TOPS
160,OBSV
161,RDFN
162,TELL
163,DUST
164,ARR
165,VXX
166,SRTY
167,PRTY
168,KGC
169,ASTR
170,WKHS
171,UAL
172,LU
173,JDST
174,JOBY
175,BEKE
176,EDZ
177,TECS
178,IPOF
179,WEAT
180,SECO
181,KRBP
182,TNXP
183,UPST
184,BYND
185,ATHX
186,QTNT
187,MT
188,QS
189,RMED
190,GTE
191,QQQM
192,CENN
193,TME
194,WKEY
195,NVAX
196,PLX
197,SPDN
198,XOP
199,FNHC
200,SPCE
201,NRGD
202,CLOV
203,UBX
204,BXRX
205,WISH
206,DRV
207,ALRN
208,FTCH
209,INDO
210,PALI
211,RCON
212,IMCC
213,VTGN
214,NUGT
215,EPV
216,LAZR
217,GEVO
218,ASAN
219,CVE
220,GDXJ
221,IVR
222,GSAT
223,BKKT
224,RMO
225,SRNE
226,SENS
227,VIRI
228,REAL
229,BORR
230,GOGL
231,MNMD
232,VEON
233,VSTM
234,FNGD
235,OIG
236,PHUN
237,RKLB
238,JAGX
239,GOVX
240,PHAS
241,JMIA
242,RIDE
243,NWG
244,WEBL
245,UUUU
246,DM
247,VLDR
248,SLQT
249,OPGN
250,HYMC
251,HUSA
252,OCGN
253,LOTZ
254,VXRT
255,ASXC
256,DASH
257,LICY
258,NUWE
259,EAST
260,QTT
261,IRNT
262,JNUG
