,Symbol
0,4541
1,3776
2,6578
3,7615
4,8346
5,9816
6,3550
7,8714
8,7455
9,6059
10,9466
11,8732
12,3929
13,3137
14,8550
15,7167
16,3286
17,8572
18,8600
19,7819
20,7953
21,7161
22,7180
23,8698
24,5070
25,7150
26,3565
27,8604
28,9412
29,1446
30,3646
31,4386
32,4295
33,4680
34,7670
35,5932
36,6986
37,5210
38,8601
39,3965
40,5191
41,6570
42,1451
43,4492
44,7337
45,6555
46,9405
47,9504
48,7875
49,4541
50,3776
51,6578
52,7615
53,8346
54,9816
55,3550
56,8714
57,7455
58,9466
59,6059
60,8732
61,3929
62,3137
63,8550
64,7167
65,3286
66,8572
67,8600
68,7819
69,7953
70,7161
71,7180
72,8698
73,5070
74,7150
75,3565
76,8604
77,9412
78,1446
79,3646
80,4386
81,4295
82,4680
83,7670
84,5932
85,6986
86,5210
87,8601
88,3965
89,5191
90,6570
91,1451
92,4492
93,7337
94,6555
95,9405
96,9504
97,7875
98,3422
99,7807
100,6482
101,7066
102,8708
103,2179
104,3497
105,3289
106,6556
107,6239
108,8306
109,3284
110,5408
111,3857
112,9078
113,7040
114,6349
115,8541
116,7088
117,7196
118,4463
119,7087
120,8387
121,9275
122,7898
123,6905
124,4420
125,7030
126,4441
127,3434
128,3863
129,8542
130,1375
131,7198
132,7059
133,6464
134,3918
135,4380
136,8360
137,7182
138,9404
139,6178
140,4676
141,5449
142,8383
143,4200
144,7804
145,8344
146,6656
147,7092
148,8521
149,5440
150,7812
151,4886
152,3612
153,8707
154,6640
155,7686
156,2820
157,6231
158,9409
159,8151
160,7698
161,6269
162,4398
163,8362
164,7368
165,3969
166,7322
167,7931
168,3931
169,2579
170,7036
171,8364
172,2910
173,6817
174,4491
175,6151
176,8395
177,4238
178,7860
179,6804
180,4172
181,3688
182,8365
183,2309
184,3087
185,4171
186,4249
187,8386
188,4569
189,8361
190,8343
191,9413
192,8392
193,8345
194,8551
195,1379
196,8336
197,6832
198,8341
199,7417
200,4538
201,3028
202,9783
203,9613
204,9739
205,7181
206,8393
207,8367
208,9064
209,7173
210,2372
211,2981
212,7681
213,7327
214,4109
215,6230
216,7073
217,3708
218,2181
219,8522
220,4739
221,7451
222,4118
223,6278
224,9260
225,6592
226,4887
227,6976
228,4581
229,9766
230,6971
231,6857
232,6963
233,6758
234,3472
235,GSK
236,LNC
237,CLM
238,FSK
239,WBA
240,DOW
241,CRF
242,AY
243,HON
244,NLY
245,ECC
246,IVR
247,ORC
248,VFC
249,GNK
250,EFC
251,LPG
252,SLG
253,BSTZ
254,TWO
255,MVO
256,RA
257,BGS
258,IP
259,CEQP
260,KALU
261,MATV
262,CM
263,STWD
264,GOF
265,OPI
266,PMT
267,VNO
268,APAM
269,VRTS
270,AIRC
271,RIV
272,GSBD
273,CIVI
274,RILY
275,KREF
276,VNOM
277,KNTK
278,TEL
279,OCCI
280,BGFV
281,EQIX
282,SAFT
283,OMF
284,LAUR
285,MAIN
286,BMEZ
287,AIO
288,AQNA
289,PDI
290,ESGRP
291,CCNEP
292,PSF
293,CEM
294,JCE
295,SMG
296,CQP
297,IIVIP
298,CSSEN
299,OCFCP
300,PXSAP
301,RILYL
302,RMR
303,CSSEP
304,LBRDP
305,RILYP
306,SABRP
307,HTIA
308,VIASP
309,MBNKP
310,PATI
311,GRIN
312,STRRP
313,KNOP
314,FGFPP
315,AGNCM
316,NRP
317,MTBCP
318,NYMTN
319,WMC
320,BR
321,NREF
322,NVEC
323,CHSCP
324,NIE
325,TYG
326,BCV
327,NXST
328,XOMAP
329,ELAT
330,CTR
331,IFS
332,FRGAP
333,FBIOP
334,QRTEP
335,MSCI
336,DFP
337,ETD
338,MBINP
339,EVR
340,TTP
341,CHSCN
342,PTMN
343,GECC
344,GFLU
345,SRV
346,BEDU
347,LDP
348,NTG
349,AIRTP
350,WTFCP
351,CCAP
352,RNP
353,EMO
354,ACV
355,TSLX
356,SOR
357,RSF
358,WLKP
359,CCD
360,2768
361,LHX
362,AJXA
363,6480
364,AB
365,CWH
366,MNSBP
367,WHF
368,6074
369,SRC
370,CAPL
371,FATBP
372,2982
373,3928
374,7044
375,4935
376,4013
377,7081
378,7358
379,4072
380,CMCTP
381,FITBP
382,FITBI
383,RC
384,AFCG
385,OPP
386,MFA
387,TRIN
388,HCDIP
389,WTFCM
390,AGNCO
391,CPZ
392,CGBD
393,AGNCP
394,NYMTM
395,DVN
396,5819
397,4432
398,8979
399,CDZIP
400,CZFS
401,1887
402,9422
403,8795
404,6267
405,ESGRO
406,6546
407,NYC
408,8570
409,GNL
410,RILYM
411,HROWL
412,RILYT
413,OXLCM
414,RILYN
415,9265
416,PTA
417,RILYO
418,OCSL
419,SLRC
420,4174
421,7097
422,WES
423,WSBCP
424,BANR
425,CRT
426,FTHY
427,6249
428,5915
429,9890
430,NS
431,7857
432,5923
433,4728
434,7883
435,JHG
436,2170
437,7840
438,PNFPP
439,7679
440,SHEL
441,IBM
442,BDXB
443,FDX
444,NEM
445,FE
446,AGR
447,ZION
448,R
449,KRC
450,HRI
451,LAZ
452,UCBIO
453,SLMBP
454,HTLFP
455,NTB
456,CSR
457,EOS
458,OPINL
459,GOODN
460,HCI
461,INBKZ
462,FGBIP
463,NRT
464,BBCB
465,BBHY
466,IIVI
467,JPM
468,VZ
469,UPS
470,T
471,GS
472,CVS
473,AMT
474,WM
475,CCI
476,NTR
477,IFF
478,SWK
479,DOX
480,BXP
481,EMN
482,WBS
483,HAS
484,WHR
485,SBNY
486,SSB
487,SON
488,AXS
489,MSM
490,SWX
491,PCH
492,ALE
493,SXT
494,AVA
495,HIW
496,PIPR
497,NUS
498,NWN
499,JACK
500,UVV
501,BFS
502,LANDO
503,CAC
504,OXSQZ
505,SACC
506,AIC
507,CTBB
508,MS
509,BMY
510,AXP
511,ADI
512,NOC
513,EOG
514,PNC
515,MMM
516,NSC
517,PSX
518,NGG
519,EMR
520,AEP
521,PH
522,ADM
523,TRV
524,FIS
525,MPLX
526,ALL
527,PPG
528,STT
529,ARE
530,AEE
531,CFG
532,CTRA
533,QSR
534,SWKS
535,SJM
536,BG
537,SNA
538,AFG
539,REG
540,FCNCA
541,CUBE
542,RRX
543,CMA
544,FRT
545,DCP
546,CR
547,INGR
548,LFUS
549,AGNCN
550,MSA
551,NFG
552,LEG
553,POR
554,CABO
555,GEF
556,KWR
557,NWE
558,CBU
559,OTTR
560,KTB
561,PRK
562,USAC
563,UZD
564,CEIX
565,OXM
566,YY
567,WABC
568,EIG
569,WINA
570,UTL
571,WASH
572,CATC
573,ETO
574,PFIS
575,EVT
576,DDT
577,COP
578,USB
579,DUK
580,D
581,COF
582,PEG
583,WTW
584,HWCPZ
585,MC
586,ATLCP
587,BPYPP
588,BPYPO
589,QVCD
590,ZIONO
591,WY
592,HIG
593,VMC
594,ORI
595,XOM
596,MRK
597,PFE
598,COST
599,TXN
600,RTX
601,LMT
602,MMC
603,TGT
604,APD
605,MCK
606,TT
607,NUE
608,KMB
609,AJG
610,ROK
611,PCGU
612,ED
613,OKE
614,MTB
615,GPC
616,MLM
617,DOV
618,NTRS
619,STE
620,BBY
621,DRI
622,ATO
623,NTAP
624,CE
625,LNT
626,NDSN
627,RPM
628,RGA
629,WSM
630,AAP
631,BOKF
632,HESM
633,AIZ
634,PDCE
635,THO
636,NSP
637,TRTN
638,FIBK
639,CCOI
640,BCC
641,JJSF
642,CBRL
643,MED
644,DMLP
645,CSWC
646,NKSH
647,WMT
648,PG
649,LLY
650,KO
651,PM
652,UNP
653,DE
654,INTU
655,TD
656,SPGI
657,GILD
658,CB
659,ETN
660,LRCX
661,CL
662,MCO
663,AFL
664,RSG
665,PCAR
666,SYY
667,GWW
668,TROW
669,EFX
670,DTE
671,CINF
672,OMC
673,IEX
674,RE
675,CSL
676,PKG
677,WSO
678,CHRW
679,ERIE
680,LEA
681,ATR
682,VMI
683,NEP
684,OGS
685,CNS
686,MGEE
687,MGRC
688,DKL
