,Symbol
0,MAXR
1,CS
2,AMC
3,AAL
4,RIG
5,CUK
6,RIOT
7,CETX
8,LU
9,MT
10,KOS
11,DS
12,JOB
13,KGC
14,DB
15,BNTC
16,GOGL
17,DM
18,HL
19,ETRN
20,ARR
21,QRTEA
22,MUFG
23,WTI
24,EXPR
25,NYMT
26,CIM
27,BTU
28,NWG
29,MNSO
30,KHC
31,UNIT
32,UWMC
33,GNW
34,AI
35,AHT
36,SABR
37,MOMO
38,ZEPP
39,GOL
40,BGCP
41,LGF.B
42,TIGO
43,SB
44,MFGP
45,ITCB
46,CLRO
47,RAD
48,IVR
49,CX
50,BAM
51,HMY
52,CCO
53,AGI
54,KEP
55,ERJ
56,SBLK
57,IAG
58,BRMK
59,ESRT
60,ORC
61,PPBI
62,AXL
63,DHT
64,GNK
65,LEVI
66,EDF
67,MGI
68,SLCA
69,TRIP
70,NCMI
71,TUP
72,SHIP
73,PDM
74,UCBI
75,MLCO
76,IVC
77,EAF
78,ACCO
79,FANH
80,ATUS
81,DBD
82,SNMP
83,BRSP
84,DSX
85,ATHM
86,BUR
87,COWN
88,PAGP
89,KT
90,RKT
91,NMRK
92,NGL
93,ROCC
94,NETI
95,OPI
96,PGRE
97,AMTD
98,CAAS
99,SDHY
100,BIOL
101,BHFAN
102,REVG
103,JNPR
104,COTY
105,KSPN
106,BSBR
107,CIVI
108,SPR
109,SSSS
110,CANG
111,RILY
112,WW
113,ARCO
114,UE
115,LYG
116,DBRG
117,TK
118,AMPY
119,EPM
120,RTL
121,SXC
122,USEG
123,CSTR
124,CSTE
125,OUT
126,STNG
127,GPMT
128,AAN
129,HUSA
130,XPRO
131,CYH
132,HOUS
133,BZH
134,KNTK
135,NOG
136,VEON
137,TNK
138,LOMA
139,MUX
140,CHMI
141,AROC
142,NA
143,TDW
144,CCLP
145,DLNG
146,RBB
147,UTI
148,EBIX
149,RBCN
150,FOX
151,QRTEB
152,BALY
153,TPC
154,GSM
155,CBD
156,BCAT
157,ORCC
158,BARK
159,BSY
160,FSP
161,HAYN
162,SQFT
163,WF
164,NLS
165,VNT
166,PK
167,KINS
168,LPL
169,SALM
170,BKD
171,DHC
172,QUAD
173,LGF.A
174,ENIC
175,BHR
176,FEI
177,SOHO
178,NOAH
179,REPX
180,SIFY
181,UFI
182,BMA
183,SWI
184,BMEZ
185,NYC
186,CPF
187,ARNC
188,EDI
189,IPI
190,SOI
191,HAPP
192,WMG
193,TAST
194,BEDU
195,HWCPZ
196,WHLM
197,YRD
198,AGNCM
199,NML
200,CETXP
201,CBIO
202,FEIM
203,PVL
204,MBINO
205,APWC
206,RCG
207,AFGB
208,CPLP
209,ARKO
210,WMC
211,FINS
212,NTG
213,TRIB
214,AWRE
215,PFH
216,FITBP
217,WHLRD
218,CSSE
219,ADES
220,NMM
221,NNBR
222,KELYB
223,PTA
224,SFE
225,FHB
226,SBBA
227,SRG
228,TMST
229,SIGIP
230,LINC
231,HBB
232,PCYG
233,RYAM
234,AAME
235,JVA
236,EMO
237,SMLP
238,AGNCP
239,KIRK
240,TUSK
241,MCHX
242,UZD
243,AP
244,AFGC
245,CXW
246,DXC
247,BBDO
248,JBGS
249,CMSD
250,TEO
251,PANL
252,EMKR
253,NDP
254,LFVN
255,GCI
256,NM
257,HRTG
258,IGIC
259,TEDU
260,KIQ
261,RAIL
262,FCRD
263,TV
264,CPAC
265,BPYPP
266,CURO
267,COHN
268,JILL
269,PTMN
270,NHTC
271,RMBI
272,RMM
273,OPINL
274,NVEC
275,UIHC
276,AVAL
277,STG
278,SBT
279,BSMX
280,CCZ
281,QRTEP
282,IMH
283,EMAN
284,RFL
285,CTR
286,VERY
287,SVVC
288,MFG
289,AXR
290,AQNB
291,ESEA
292,UFAB
293,JHG
294,GBLI
295,DNB
296,SABRP
297,CEM
298,ELLO
299,CTRN
300,ELAT
301,LEE
302,SYPR
303,FENG
304,NDMO
305,XBIT
306,DLY
307,SII
308,JRSH
309,BBGI
310,CLWT
311,FTHY
312,FISK
313,MDRR
314,EIC
315,NTZ
316,BXC
317,GHL
318,MMX
319,DCOMP
320,PATI
321,MGR
322,LMST
323,GFL
324,CVEO
325,GCMG
326,GHLD
327,SOHON
328,PPSI
329,EDD
330,VIOT
331,HY
332,BKTI
333,OGCP
334,CCM
335,PTE
336,MIXT
337,VHC
338,IRS
339,FINV
340,OCC
341,FCNCP
342,PCTI
343,MLP
344,SCU
345,SCX
346,EGLE
347,AENZ
348,SNT
349,ARC
350,RPRX
351,PME
352,III
353,GYRO
354,SBNYP
355,CARV
356,MACK
357,GHG
358,NEXA
359,RFM
360,GFLU
361,KMF
362,EEX
363,FAT
364,GLOP
365,FEDU
366,SUPV
367,ESBA
368,NMCO
369,HSON
370,OXBR
371,AHG
372,ECVT
373,GE/I
374,AUDC
375,IFS
376,CLMT
377,CFBK
378,TAIT
379,SAY
380,EQS
381,PINC
382,BPYPN
383,ALT
384,NRUC
385,STRR
386,RILYP
387,BPYPO
388,WHLRP
389,USDP
390,ADNT
391,MSBI
392,CEPU
393,OSG
394,EVC
395,TTSH
396,LBRDP
397,SRV
398,DAC
399,FWP
400,SIVBP
401,TSQ
402,LFT
403,LRFC
404,ILPT
405,FPL
406,OTRKP
407,SRT
408,MSN
409,AIRI
410,STEP
411,BEPC
412,TTP
413,ATH/PE
414,SOJD
415,AUD
416,VBFC
417,STAF
418,SWAG
419,WTFCP
420,CMCM
421,RAND
422,PTVE
423,AFGD
424,NTRSO
425,CGA
426,PNBK
427,ATTO
428,RRBI
429,SST
430,GGAL
431,MINDP
432,MWA
433,PWP
434,CEN
435,IHT
436,RMAX
437,NGVC
438,BBW
439,AAIC
440,GER
441,JAKK
442,GOODN
443,SRL
444,IIVIP
445,AEHL
446,RGS
447,BNH
448,USAU
449,GSL
450,GECC
451,DRD
452,WHLR
453,MITT
454,TRTX
455,FITBO
456,BWG
457,LEJU
458,FULTP
459,BBAR
460,BVH
461,OSW
462,AACG
463,ITP
464,TATT
465,AMS
466,PRTK
467,WMPN
468,GIFI
469,ACR
470,SMFG
471,SPNS
472,CRESY
473,DTB
474,BNL
475,BWMX
476,CORR
477,NMR
478,XYF
479,PSHG
480,XIN
481,MTEX
482,ZIONP
483,BFIN
484,KZIA
485,GILT
486,PAHC
487,CLPR
