Symbol,Expir,Strike,Type,Ask
QQQ,20230630,290.0,C,73.09
LABD,20230707,13.0,C,1.05
JNUG,20230630,32.0,C,1.15
UPRO,20230630,40.0,C,4.7
UVIX,20230630,5.0,C,0.35
TQQQ,20230630,37.5,C,2.07
NUGT,20230630,34.0,C,1.2
XLC,20230630,59.5,C,7.2
SPXL,20230630,100.0,C,0.15
JDST,20230707,7.0,C,0.55
KOLD,20230630,100.0,C,0.05
LABU,20230630,10.5,C,0.01
SPY,20230707,340.0,C,94.14
ARKG,20230630,30.0,C,2.95
BITO,20230630,17.0,C,0.79
SOXS,20230630,11.0,C,0.65
TNA,20230630,31.0,C,1.35
TSLL,20230630,16.5,C,0.95
VXX,20230707,26.0,C,1.36
UNG,20230630,7.5,C,0.31
SQQQ,20230630,20.0,C,0.58
GOOG,20230630,102.0,C,22.85
ENPH,20230630,145.0,C,14.95
JMIA,20230707,3.0,C,0.38
LCID,20230630,10.0,C,0.02
SOFI,20230630,11.5,C,0.02
META,20230630,240.0,C,49.7
OSTK,20230630,21.0,C,3.4
CGC,20230630,0.5,C,0.06
FSR,20230714,5.0,C,0.51
AAPL,20230630,155.0,C,31.95
NCLH,20230630,19.0,C,0.8
HOOD,20230630,12.0,C,0.02
PATH,20230630,15.5,C,0.6
AXSM,20230630,100.0,C,0.85
TWLO,20230630,100.0,C,0.01
NIO,20230630,12.5,C,0.02
AMC,20230630,10.0,C,0.02
MPW,20230714,8.5,C,0.56
FUBO,20230714,1.5,C,0.45
SQ,20230630,54.0,C,9.1
SBUX,20230630,119.0,C,0.02
W,20230630,57.0,C,2.51
CHPT,20230630,10.0,C,0.01
NVDA,20230630,360.0,C,63.6
MSTR,20230630,315.0,C,20.5
PLUG,20230630,11.0,C,0.05
XPEV,20230630,12.0,C,0.05
FCEL,20230630,2.0,C,0.25
ENVX,20230630,13.0,C,1.05
UCAR,20230630,10.0,C,0.45
ZIM,20230630,12.0,C,0.47
RIVN,20230630,13.5,C,0.53
SNOW,20230630,177.5,C,7.15
TLRY,20230630,1.5,C,0.09
BABA,20230630,105.0,C,0.03
COIN,20230714,60.0,C,5.45
PLTR,20230630,14.0,C,0.52
IONQ,20230630,10.0,C,0.3
