Symbol,Expir,Strike,Type
ARKK,20230630,47.5,P
SPXU,20230707,13.0,P
XLI,20230630,106.0,P
WEAT,20230630,7.5,P
DPST,20230707,50.0,P
XME,20230630,50.0,P
QQQ,20230630,290.0,C
DPST,20230630,57.0,P
DPST,20230714,50.0,P
WEAT,20230707,7.5,P
DPST,20230630,50.0,P
SPY,20230630,255.0,C
YINN,20230707,35.5,P
UPRO,20230630,40.0,C
DPST,20230630,51.0,P
KRE,20230707,44.5,P
XME,20230630,50.5,P
DIA,20230630,380.0,P
DPST,20230630,52.0,P
DIA,20230630,370.0,P
DPST,20230630,56.0,P
QQQ,20230630,270.0,C
YINN,20230630,36.0,P
YINN,20230630,34.5,P
XLC,20230630,59.5,C
SPXL,20230630,100.0,C
JDST,20230707,7.0,C
YINN,20230630,35.0,P
XLU,20230630,67.0,P
SPY,20230707,340.0,C
XLP,20230630,75.0,P
YINN,20230630,34.0,P
BITO,20230630,16.0,C
ARKG,20230630,30.0,C
BITO,20230630,17.0,C
BITO,20230707,16.5,C
SPXS,20230630,20.0,P
DPST,20230630,55.0,P
YINN,20230630,33.5,P
YINN,20230630,35.5,P
DPST,20230630,60.0,P
WAL,20230707,36.0,P
UPST,20230714,31.0,P
ASTS,20230714,7.0,P
ENPH,20230630,130.0,C
GOOG,20230630,102.0,C
JD,20230630,40.0,P
SOUN,20230630,4.5,P
AMD,20230714,70.0,P
BABA,20230630,108.0,C
AAPL,20230707,150.0,C
U,20230707,38.0,P
AFRM,20230714,18.0,P
ENPH,20230630,145.0,C
JMIA,20230707,3.0,C
FTCH,20230630,5.5,P
SOUN,20230630,5.0,P
DISH,20230630,7.0,P
BABA,20230630,107.0,C
MVIS,20230630,5.5,P
BABA,20230630,102.0,C
NVDA,20230707,350.0,C
AAPL,20230630,100.0,C
META,20230630,240.0,C
AMD,20230714,75.0,P
OSTK,20230630,21.0,C
WAL,20230630,36.5,P
COIN,20230630,52.0,C
NKE,20230630,112.0,P
CGC,20230630,0.5,C
BILI,20230630,15.5,P
AMD,20230714,80.0,P
SPCE,20230707,4.5,P
BILI,20230630,15.0,P
LI,20230630,35.0,P
AAPL,20230630,155.0,C
CVNA,20230714,22.0,P
MULN,20230630,0.5,P
NCLH,20230630,19.0,C
UPST,20230630,32.0,P
CGC,20230707,0.5,C
PTON,20230714,7.5,P
UPST,20230630,34.5,P
HOOD,20230630,12.0,C
META,20230630,165.0,C
AXSM,20230630,100.0,C
SMCI,20230630,232.5,P
TWLO,20230630,100.0,C
HOOD,20230714,11.0,C
AMD,20230630,85.0,P
QS,20230630,7.5,P
T,20230630,17.0,P
GETY,20230630,5.0,P
IQ,20230630,5.5,P
SNOW,20230630,172.5,C
HOOD,20230707,11.5,C
MPW,20230714,8.5,C
USB,20230630,32.0,P
CVNA,20230707,25.0,P
CVNA,20230714,24.0,P
FUBO,20230714,1.5,C
XPEV,20230707,10.5,C
LAZR,20230630,6.5,P
DISH,20230630,6.5,P
RAD,20230630,2.0,P
UPST,20230630,32.5,P
SQ,20230630,54.0,C
SBUX,20230630,119.0,C
ASTS,20230707,7.0,P
LUMN,20230630,2.0,P
SQ,20230630,53.0,C
MMM,20230630,85.0,P
AMD,20230630,123.0,P
U,20230630,40.0,P
W,20230630,57.0,C
PTON,20230630,7.5,P
NKE,20230630,97.0,P
UPST,20230630,33.0,P
NVDA,20230630,360.0,C
MSTR,20230630,315.0,C
NKE,20230630,90.0,P
WAL,20230630,35.5,P
RUN,20230630,18.0,P
NVDA,20230630,350.0,C
SMCI,20230630,230.0,P
NLY,20230630,20.5,P
CVNA,20230714,23.0,P
XPEV,20230630,12.0,C
BLNK,20230630,6.0,P
FCEL,20230630,2.0,C
CVNA,20230630,22.5,P
HUT,20230707,3.0,P
NKE,20230630,98.0,P
CVNA,20230707,24.0,P
AFRM,20230707,15.0,P
ENVX,20230630,13.0,C
NKE,20230630,93.0,P
COIN,20230630,55.0,C
HOOD,20230707,11.0,C
W,20230630,54.0,C
MU,20230630,65.5,P
SPCE,20230630,4.5,P
UCAR,20230630,10.0,C
SOUN,20230630,4.0,P
NKE,20230630,85.0,P
COIN,20230630,56.0,C
CVNA,20230630,26.0,P
CVNA,20230630,25.5,P
UPST,20230707,31.0,P
XPEV,20230630,11.0,C
HOOD,20230630,11.0,C
COIN,20230630,45.0,C
CVNA,20230707,24.5,P
EOSE,20230630,4.0,P
SNOW,20230707,175.0,C
UPST,20230630,30.5,P
UPST,20230630,31.5,P
SPCE,20230630,6.0,P
ZIM,20230630,12.0,C
CVNA,20230630,25.0,P
AMD,20230630,93.0,P
GTLB,20230630,50.0,P
WBA,20230630,31.5,P
NVAX,20230630,7.0,P
LYFT,20230630,10.5,P
SNOW,20230630,177.5,C
TLRY,20230630,1.5,C
CVNA,20230707,22.0,P
CVNA,20230630,22.0,P
COIN,20230630,57.0,C
BABA,20230630,105.0,C
SPCE,20230630,5.0,P
COIN,20230714,60.0,C
RUN,20230630,17.5,P
HOOD,20230630,10.5,C
CVNA,20230630,23.0,P
IONQ,20230630,10.0,C
