,Symbol
0,MULN
1,TQQQ
2,COMS
3,AGCB
4,RIGL
5,SQQQ
6,SOXL
7,AVXL
8,SPY
9,QQQ
10,EOSE
11,SOXS
12,UVXY
13,WISA
14,SPXU
15,CS
16,TMF
17,SPXS
18,CEI
19,OTIC
20,TSLA
21,AMZN
22,LABU
23,MARA
24,AMC
25,XELA
26,KOLD
27,SHLS
28,CCL
29,RDHL
30,SDOW
31,ARKK
32,TLRY
33,FXI
34,FTCH
35,BOIL
36,GOEV
37,AAPL
38,SLV
39,SH
40,LCID
41,SOFI
42,SPXL
43,TLT
44,AMD
45,VV
46,NVDA
47,TZA
48,AAL
49,VIXY
50,PATH
51,IWM
52,UPRO
53,SDS
54,QID
55,GDX
56,ASAN
57,UVIX
58,BBBY
59,UUP
60,F
61,CGC
62,SHOP
63,TCDA
64,MRVL
65,HEXO
66,META
67,PSQ
68,XLF
69,CRBP
70,TNA
71,DUST
72,SNAP
73,YANG
74,RBLX
75,PBR
76,CORZ
77,CVNA
78,AGLE
79,SWN
80,FFIE
81,CANO
82,NOK
83,UNG
84,MMAT
85,GOOGL
86,TBT
87,KWEB
88,EEM
89,JDST
90,DNA
91,SSO
92,XLE
93,CHPT
94,UBS
95,OPEN
96,PLTR
97,GLD
98,AFRM
99,UBER
100,LABD
101,QLD
102,JAGX
103,ZS
104,PLUG
105,BAC
106,OBSV
107,NKLA
108,BITO
109,EWZ
110,ACB
111,NCLH
112,U
113,RIOT
114,WISH
115,FUBO
116,HGEN
117,GOOG
118,WEBL
119,BP
120,VXX
121,CRM
122,INTC
123,GRAB
124,COIN
125,TCRT
126,GOLD
127,DKNG
128,TSLL
129,UEC
130,RIDE
131,HOOD
132,SCHO
133,BRFS
134,AGNC
135,MSFT
136,LYFT
137,SNOW
138,MSOS
139,UCO
140,NILE
141,UPST
142,FSR
143,BNGO
144,ACWI
145,SHY
146,VALE
147,BX
148,ITUB
149,HMY
150,APRN
151,PTON
152,CUK
153,REED
154,NU
155,PSNY
156,RIVN
157,SARK
158,SCO
159,CRWD
160,PYCR
161,BBIG
162,LOTZ
163,SESN
164,AGQ
165,NFLX
166,SVIX
167,OXY
168,HIBS
169,REAL
170,NVTA
171,IDEX
172,RIG
173,SQ
174,SNDL
175,VAPO
176,NRBO
177,YINN
178,BCS
179,TBF
180,TSM
181,W
182,IVV
183,AKBA
184,XOP
185,GSAT
186,GDXJ
187,AUY
188,PYPL
189,ZIM
190,SI
191,QYLD
192,GDRX
193,GFI
194,HUT
195,ARDX
196,IMPP
197,DIS
198,FREY
199,ABEV
200,CENN
201,RIO
202,UDOW
203,NEON
204,DVN
205,AU
206,NNDM
207,ROKU
208,USO
209,CLOV
210,IOT
211,STM
212,NEM
213,GOVT
214,AVCT
215,RKLB
216,DASH
217,PHG
218,FERG
219,TECL
220,MU
221,SID
222,DIA
223,OKTA
224,FAZ
225,AZN
226,AG
227,IAU
228,VOO
229,KGC
230,NTNX
231,NGD
232,IONQ
233,RETL
234,AZUL
235,NOVN
236,XLK
237,PD
238,BB
239,SPDN
240,HL
241,CSCO
242,SKLZ
243,SEEL
244,XOM
245,SMH
246,SPCE
247,FUTU
248,WFC
249,EVGO
250,ET
251,GM
252,VTGN
253,FRO
254,BIOR
255,T
256,CDE
257,KOS
258,FCEL
259,LAZR
260,TBLA
261,WOOF
262,TECS
263,PINS
264,SBSW
265,SHEL
266,VLD
267,CLF
268,VRM
269,ARR
270,STLA
271,GIII
272,MTTR
273,TWM
274,JBLU
275,HYMC
276,QS
277,GME
278,THTX
279,IEMG
280,DB
281,SPB
282,CLSK
283,M
284,VOD
285,TSLQ
286,S
287,WBD
288,SABR
289,CSX
290,SIVR
291,GMBL
292,HYFM
293,XBI
294,PAAS
295,NET
296,RWM
297,NAT
298,TELL
299,VLTA
300,VLDR
301,JPM
302,JMIA
303,PAGS
304,PRTY
305,JOBY
306,ZSL
307,BRDS
308,INSG
309,SENS
310,LGHL
311,JEPI
312,ARVL
313,RCL
314,GOL
315,CSIQ
316,DAL
317,DNN
318,GSK
319,BITF
320,SGOL
321,TIGR
322,AR
323,WKHS
324,SPLG
325,PHUN
326,PACB
327,BKSY
328,RDFN
329,SMAR
330,XRT
331,MAPS
332,MQ
333,ASAP
334,XLI
335,PARA
336,FLNG
337,EFA
338,XLV
339,TTCF
340,TWLO
341,ZM
342,CAT
343,GOGL
344,SAN
345,NRGV
346,VZ
347,GRWG
348,BHP
349,QQQM
350,CTRM
351,BYND
352,JNUG
353,SLDP
354,CPNG
355,SILJ
356,ABNB
357,QRTEA
358,ABB
359,C
360,TDOC
361,VTI
362,SVXY
363,DRIP
364,BBD
365,CWEB
366,MRO
367,NUGT
368,SAP
369,SPOT
370,AVYA
371,SDIG
372,SFT
373,X
374,VTNR
375,SCHE
376,BTG
377,DDOG
378,ATER
379,KOPN
380,CGEN
381,VERU
382,SAND
383,ING
384,CHWY
385,WEAT
386,SSG
387,ENSC
388,FAS
389,SE
390,HZNP
391,STAB
392,TTD
393,SRNE
394,UMC
395,ATVI
396,AGI
397,PANW
398,BA
399,STNE
400,SUNW
401,GEVO
402,SCHA
403,ME
404,XLU
405,GLBS
406,MLCO
407,HYG
408,VSTM
409,OCGN
410,SCHC
411,BEAM
412,EAR
413,MO
414,NAIL
415,SOL
416,VTWO
417,FCX
418,AA
419,KIRK
420,MPW
421,XLRE
422,UL
423,TMV
424,CMCSA
425,GGB
426,WEBS
427,CTRA
428,CFRX
429,BTI
430,NVAX
431,OBE
432,YXI
433,ENVX
434,ASHR
435,SRTY
436,SEV
437,IEF
438,MT
439,CBIO
440,VLO
441,EXK
442,ASAI
443,DOG
444,LVS
445,HSBC
446,OIG
447,RUN
448,DMTK
449,CLVS
450,LUMN
451,SCHF
452,SIRI
453,ASML
454,CZOO
455,MGNI
456,BORR
