,Symbol
0,KEN
1,BST
2,FDUS
3,STK
4,AMSF
5,FLNG
6,DKL
7,MDRRP
8,QQQX
9,CHSCL
10,EVA
11,MMP
12,OXLCP
13,IIPR
14,CHSCM
15,HESM
16,CHK
17,ENB
18,SUN
19,GLP
20,BCC
21,BANFP
22,HCXY
23,ZIONO
24,IIVI
25,BME
26,TROW
27,FIBK
28,FANG
29,CHCT
30,NEP
31,LYB
32,PCGU
33,CNQ
34,GILD
35,EGBN
36,CSCO
37,GEF.B
38,NDAQ
39,CNS
40,AMGN
41,PKG
42,PCAR
43,OGS
44,AZN
45,AGM
46,PAYX
47,QCOM
48,CINF
49,CHRW
50,PDCE
51,HII
52,MGEE
53,LKFN
54,HLNE
55,RGA
56,RHI
57,DFS
58,SBUX
59,ETN
60,ERIE
61,AWK
62,BAH
63,YUM
64,LSTR
65,MGRC
66,LANC
67,LECO
68,LRCX
69,AMP
70,STZ
71,DKS
72,TSCO
73,LIN
74,JKHY
75,PRI
76,KLAC
77,ABC
78,ESLT
79,STE
80,HIFS
81,NDSN
82,MSFT
83,POOL
84,DG
85,FDS
86,MKTX
87,RMD
88,VMI
89,V
90,INTU
91,MA
92,MPWR
